clip_title,clip_order,Nishant_participant_arousal,Nishant_clip_arousal,Nishant_impact_arousal,debjit2001_participant_arousal,debjit2001_clip_arousal,debjit2001_impact_arousal,pranjal123_participant_arousal,pranjal123_clip_arousal,pranjal123_impact_arousal,aritra_participant_arousal,aritra_clip_arousal,aritra_impact_arousal,sayantankuila_participant_arousal,sayantankuila_clip_arousal,sayantankuila_impact_arousal,ajaycc17_participant_arousal,ajaycc17_clip_arousal,ajaycc17_impact_arousal
AboutTime_000.mp4,0,4,4,4,4,4,4,5,5,4,3,2,1,5,4,3,5,3,3
AboutTime_001.mp4,1,4,3,3,4,5,3,4,5,4,1,4,4,3,3,3,3,3,3
AboutTime_002.mp4,2,3,3,3,3,5,5,4,5,4,4,3,3,3,4,5,3,3,3
AboutTime_003.mp4,3,3,3,3,5,4,3,4,5,3,3,2,2,5,4,5,3,2,2
AboutTime_004.mp4,4,3,2,3,3,4,3,3,5,4,2,2,2,5,4,4,2,4,4
AboutTime_005.mp4,5,3,4,4,3,4,3,4,5,5,2,1,2,4,5,5,4,3,4
AboutTime_006.mp4,6,4,3,3,3,4,3,5,3,2,2,1,1,5,5,5,4,3,3
AboutTime_007.mp4,7,3,3,4,3,2,3,2,3,3,1,1,1,5,3,4,3,4,3
AboutTime_008.mp4,8,4,4,4,3,3,3,3,2,2,1,1,1,4,3,4,3,2,2
AboutTime_009.mp4,9,4,1,1,3,3,2,2,3,2,1,4,4,4,3,3,2,4,3
AboutTime_010.mp4,10,1,2,2,2,5,3,2,4,3,4,2,2,3,4,4,3,4,3
AboutTime_011.mp4,11,2,4,4,3,5,4,3,5,5,2,3,3,4,3,4,3,2,2
AboutTime_012.mp4,12,4,3,3,4,4,3,5,4,3,3,1,1,4,4,5,2,2,3
AboutTime_013.mp4,13,3,2,1,3,3,2,3,4,1,1,2,2,5,3,3,3,2,1
AboutTime_014.mp4,14,1,4,4,2,5,3,1,4,3,2,4,4,3,3,3,1,4,3
AboutTime_015.mp4,15,4,4,5,3,5,4,3,5,3,4,3,2,3,5,5,3,5,5
AboutTime_016.mp4,16,5,4,3,4,5,4,3,5,5,2,1,1,5,3,3,5,3,2
AboutTime_017.mp4,17,3,3,5,4,3,3,5,4,4,1,2,2,3,3,4,2,2,3
AboutTime_018.mp4,18,5,4,3,3,3,2,4,4,3,2,3,3,4,4,3,3,4,4
AboutTime_019.mp4,19,3,3,3,2,2,2,3,4,3,3,2,2,3,4,5,4,3,3
AboutTime_020.mp4,20,3,4,4,2,3,2,3,4,4,2,1,1,5,4,5,3,3,4
AboutTime_021.mp4,21,4,4,3,2,2,3,4,3,2,1,1,1,5,3,3,4,2,1
AboutTime_022.mp4,22,3,4,4,3,3,3,2,4,2,1,4,2,3,4,5,1,3,3
AboutTime_024.mp4,23,4,4,3,3,4,3,2,4,3,2,2,1,5,3,4,3,3,4
AboutTime_031.mp4,24,3,3,4,3,2,2,3,4,2,1,2,2,4,4,4,4,4,4
AboutTime_032.mp4,25,4,4,4,2,5,3,2,5,5,2,3,3,4,3,3,4,4,4
AboutTime_035.mp4,26,4,3,2,3,3,2,5,4,3,3,2,1,3,2,3,4,4,2
AboutTime_038.mp4,27,2,2,3,2,3,2,3,4,3,1,3,1,3,4,3,2,5,4
AboutTime_042.mp4,28,3,4,3,2,5,5,3,5,4,1,4,4,3,5,5,4,4,4
AboutTime_046.mp4,29,3,4,4,5,4,4,4,4,4,4,3,3,5,4,5,4,3,2
AboutTime_048.mp4,30,4,4,5,4,4,3,4,4,5,3,4,4,5,5,5,2,4,4
AboutTime_052.mp4,31,5,4,4,3,4,4,5,5,5,4,3,3,5,4,4,4,3,3
AboutTime_056.mp4,32,4,3,4,4,4,4,5,4,4,3,1,1,4,5,3,3,2,3
AboutTime_066.mp4,33,4,4,4,4,5,5,4,5,5,1,5,5,3,5,4,3,5,4
AboutTime_068.mp4,34,4,4,4,5,5,3,5,5,5,5,4,1,4,5,4,4,4,4
AboutTime_069.mp4,35,4,4,4,3,5,4,5,5,4,1,4,1,4,5,5,4,5,5
AboutTime_071.mp4,36,4,5,5,4,5,5,4,5,5,1,4,1,5,5,5,5,4,4
AboutTime_073.mp4,37,5,4,3,5,5,4,5,5,5,1,5,3,5,4,4,4,5,5
AboutTime_075.mp4,38,3,3,4,4,4,3,5,3,2,3,2,2,4,3,4,5,2,3
AboutTime_077.mp4,39,4,3,4,3,3,3,2,3,2,2,1,1,4,3,4,3,3,2
AboutTime_085.mp4,40,4,2,2,3,2,1,2,4,3,1,1,1,4,3,3,2,2,2
AboutTime_086.mp4,41,2,4,4,1,3,4,3,5,5,1,1,1,3,4,4,2,2,2
AboutTime_091.mp4,42,4,3,3,4,5,5,5,4,4,1,4,5,4,5,5,2,5,4
AboutTime_095.mp4,43,3,3,3,5,4,4,4,5,5,5,3,3,5,4,4,4,3,3
AboutTime_117.mp4,44,3,2,2,4,2,3,5,3,3,3,1,1,4,2,2,3,3,2
AboutTime_120.mp4,45,2,3,4,3,3,1,3,3,2,1,1,1,2,4,5,2,1,3
AboutTime_130.mp4,46,4,3,2,1,4,3,2,4,4,1,3,2,5,3,4,3,3,2
AboutTime_131.mp4,47,2,2,3,3,4,4,4,5,4,2,2,2,4,3,3,2,2,3
AboutTime_132.mp4,48,3,2,3,4,4,3,4,5,4,2,1,1,3,2,2,3,4,3
AboutTime_133.mp4,49,3,4,3,3,3,3,4,4,2,1,1,1,2,4,5,3,3,4
AboutTime_134.mp4,50,3,3,3,3,4,4,2,4,3,1,2,1,5,4,4,4,3,3
AboutTime_135.mp4,51,3,3,3,4,4,4,3,5,5,1,2,1,4,5,4,3,4,4
AboutTime_136.mp4,52,3,4,4,4,4,3,5,4,3,1,2,1,4,4,4,4,3,3
Gifted_041.mp4,53,4,2,2,3,2,2,3,3,3,1,1,1,4,3,4,3,3,3
Gifted_045.mp4,54,2,3,3,2,2,3,3,4,3,1,1,1,4,3,5,3,3,4
Gifted_049.mp4,55,3,3,3,3,3,1,3,4,3,1,2,1,5,3,4,4,3,4
LadyBird_001.mp4,56,3,4,3,1,4,2,3,3,2,1,1,1,4,3,5,4,2,2
LadyBird_003.mp4,57,3,4,3,2,4,1,2,4,2,1,3,2,5,2,2,2,3,4
LadyBird_005.mp4,58,3,4,4,1,4,3,2,4,2,2,4,4,2,5,5,4,5,4
LadyBird_011.mp4,59,4,3,3,3,5,5,2,5,5,4,2,2,5,4,4,4,2,2
LadyBird_013.mp4,60,3,3,3,5,4,2,5,5,3,2,2,1,4,4,5,2,3,3
LadyBird_017.mp4,61,3,3,4,2,3,3,3,5,5,1,2,1,5,3,3,3,4,3
LadyBird_019.mp4,62,4,2,3,3,4,3,5,3,3,1,1,1,3,3,3,3,1,1
LadyBird_024.mp4,63,3,3,3,3,3,3,3,4,3,1,2,1,3,4,5,1,3,4
LadyBird_030.mp4,64,3,3,3,3,5,5,3,4,3,1,4,4,5,4,3,4,4,4
LadyBird_031.mp4,65,3,3,4,5,4,3,3,3,2,4,2,1,3,2,3,4,3,2
LadyBird_045.mp4,66,4,4,4,3,4,3,2,5,4,1,3,2,3,4,4,2,4,3
LadyBird_048.mp4,67,4,4,3,3,1,1,4,4,2,2,1,1,4,2,3,3,1,2
LadyBird_054.mp4,68,3,3,3,1,5,5,2,5,5,1,2,2,3,5,5,2,4,4
LadyBird_055.mp4,69,3,4,3,5,3,2,5,4,3,2,1,1,5,3,4,4,3,2
LadyBird_056.mp4,70,3,3,2,2,3,3,3,4,3,1,2,2,4,4,5,2,3,3
LadyBird_057.mp4,71,2,3,3,3,2,1,3,4,2,2,3,3,5,3,3,3,2,2
LadyBird_066.mp4,72,3,3,3,1,3,2,2,4,4,3,3,2,3,5,5,2,3,3
LadyBird_068.mp4,73,3,2,2,2,2,1,4,4,3,2,2,1,5,2,1,3,1,2
LadyBird_069.mp4,74,2,4,4,1,5,3,3,4,2,1,3,4,1,3,2,2,4,5
LadyBird_077.mp4,75,4,3,4,3,5,3,2,5,4,4,3,1,2,5,4,5,2,2
LadyBird_080.mp4,76,4,4,3,3,5,4,4,4,2,1,4,4,4,4,3,2,4,3
LadyBird_081.mp4,77,3,4,4,4,4,3,2,3,1,4,3,3,3,4,4,3,3,3
LadyBird_088.mp4,78,4,4,5,3,2,3,1,4,4,3,2,2,4,3,4,3,2,2
LadyBird_092.mp4,79,5,2,2,3,3,3,4,3,1,2,1,1,4,3,3,2,1,2
LadyBird_093.mp4,80,2,3,2,3,3,4,1,3,1,1,2,2,3,4,5,2,3,3
LadyBird_099.mp4,81,2,2,2,4,4,3,1,4,2,2,2,1,5,2,2,3,2,2
LadyBird_104.mp4,82,2,4,4,3,4,2,2,4,3,1,2,1,2,3,3,2,3,2
LadyBird_109.mp4,83,4,2,2,2,4,2,3,4,2,1,2,1,3,3,3,2,3,2
LadyBird_110.mp4,84,2,3,3,2,4,3,2,5,3,1,1,1,3,3,2,2,2,2
TheBlindSide_000.mp4,85,3,3,4,3,5,5,3,5,4,1,4,4,2,5,5,2,5,4
TheBlindSide_001.mp4,86,4,4,4,5,4,3,4,5,3,4,2,1,5,5,4,4,3,3
TheBlindSide_002.mp4,87,4,3,3,3,4,3,3,3,2,1,1,1,4,3,3,3,4,4
TheBlindSide_003.mp4,88,3,2,2,3,3,4,2,4,3,1,2,1,3,3,3,4,2,2
TheBlindSide_004.mp4,89,2,3,3,4,4,3,3,4,3,1,3,3,3,4,4,2,4,4
TheBlindSide_005.mp4,90,3,4,3,3,5,4,3,4,4,3,2,1,4,4,3,4,2,3
TheBlindSide_006.mp4,91,3,2,2,4,2,2,4,3,2,1,2,2,3,3,4,3,2,1
TheBlindSide_007.mp4,92,2,3,2,2,2,3,2,4,2,2,1,2,4,3,3,1,2,2
TheBlindSide_008.mp4,93,2,2,2,3,3,2,2,3,1,2,2,2,3,2,3,2,3,2
TheBlindSide_009.mp4,94,2,1,1,2,3,2,1,3,2,2,1,1,3,3,4,2,1,1
TheBlindSide_010.mp4,95,1,3,3,2,4,5,2,4,3,1,1,1,4,4,3,1,2,2
TheBlindSide_011.mp4,96,3,1,1,5,3,2,3,4,2,1,1,1,3,3,3,2,3,3
TheBlindSide_012.mp4,97,1,3,4,2,4,4,2,4,3,1,2,2,3,3,4,3,2,2
TheBlindSide_013.mp4,98,4,2,2,4,3,3,3,4,2,2,2,1,4,2,3,2,3,3
TheBlindSide_014.mp4,99,2,2,2,3,2,3,2,3,2,1,1,1,3,4,3,3,2,2
TheBlindSide_015.mp4,100,2,2,2,3,1,1,2,4,4,1,1,1,3,4,3,2,3,3
TheBlindSide_016.mp4,101,2,3,2,1,5,3,4,4,2,1,1,3,3,4,4,3,4,3
TheBlindSide_017.mp4,102,2,4,4,3,5,4,2,4,5,3,3,3,4,4,3,3,3,3
TheBlindSide_018.mp4,103,4,2,3,4,4,3,5,4,2,3,2,2,3,3,3,3,3,2
TheBlindSide_019.mp4,104,3,4,3,3,2,3,2,4,4,2,2,2,3,4,5,2,3,4
TheBlindSide_020.mp4,105,3,4,4,3,4,4,4,4,2,2,3,2,5,4,4,4,2,2
TheBlindSide_021.mp4,106,4,3,2,4,3,2,2,4,2,2,2,1,4,4,4,2,1,2
TheBlindSide_022.mp4,107,2,4,3,2,3,2,2,3,2,1,3,3,4,3,3,2,3,2
TheBlindSide_024.mp4,108,3,4,3,2,2,3,2,4,2,3,1,1,3,3,3,2,1,1
TheBlindSide_025.mp4,109,3,3,3,3,3,2,2,3,3,1,2,2,3,3,4,1,2,2
TheBlindSide_027.mp4,110,3,3,2,2,3,2,3,4,3,2,1,1,4,4,4,2,3,2
TheBlindSide_028.mp4,111,2,2,2,2,2,3,3,4,3,1,1,1,4,2,2,2,1,2
TheBlindSide_029.mp4,112,2,3,3,3,4,3,3,4,2,1,3,3,2,2,2,2,1,1
TheBlindSide_031.mp4,113,3,5,5,3,3,3,2,3,2,3,2,2,2,3,4,1,1,2
TheBlindSide_032.mp4,114,5,3,2,3,3,2,2,3,2,2,4,4,4,3,4,2,2,2
TheBlindSide_033.mp4,115,2,2,1,2,3,4,2,4,3,4,2,2,4,3,2,2,3,3
TheBlindSide_034.mp4,116,1,3,2,4,4,4,3,3,3,2,3,2,2,3,3,3,4,3
TheBlindSide_035.mp4,117,2,4,3,4,3,3,3,3,2,2,3,3,3,3,3,3,2,2
TheBlindSide_036.mp4,118,3,3,3,3,4,3,2,4,3,3,1,1,3,3,2,2,3,3
