clip_id,expressed_value
AboutTime_002,4.4
AboutTime_003,4.52
AboutTime_005,4.52
AboutTime_006,4.52
AboutTime_007,4.52
AboutTime_008,4.0
AboutTime_010,4.12
AboutTime_011,4.52
AboutTime_012,3.76
AboutTime_013,3.96
AboutTime_014,4.12
AboutTime_015,4.16
AboutTime_016,3.88
AboutTime_018,4.12
AboutTime_019,2.24
AboutTime_020,4.12
AboutTime_021,3.96
AboutTime_022,4.0
AboutTime_035,4.12
AboutTime_038,3.76
AboutTime_042,4.24
AboutTime_052,4.12
AboutTime_056,1.76
AboutTime_068,3.96
AboutTime_069,4.76
AboutTime_071,4.52
AboutTime_073,4.52
AboutTime_075,3.88
AboutTime_085,4.12
AboutTime_086,4.12
AboutTime_095,2.0
AboutTime_117,2.0
AboutTime_130,1.48
AboutTime_132,3.96
AboutTime_133,1.76
AboutTime_135,1.48
AboutTime_136,1.76
Gifted_041,3.96
Gifted_045,4.12
LadyBird_001,4.52
LadyBird_003,4.12
LadyBird_017,4.52
LadyBird_024,2.52
LadyBird_030,2.52
LadyBird_031,4.4
LadyBird_048,4.12
LadyBird_055,4.16
LadyBird_068,3.24
LadyBird_069,3.88
LadyBird_077,4.12
LadyBird_080,3.56
LadyBird_088,3.96
LadyBird_092,3.88
LadyBird_099,3.0
LadyBird_104,4.52
TheBlindSide_000,4.52
TheBlindSide_001,4.52
TheBlindSide_002,3.96
TheBlindSide_003,3.76
TheBlindSide_004,4.12
TheBlindSide_005,3.24
TheBlindSide_006,4.52
TheBlindSide_007,4.12
TheBlindSide_008,3.0
TheBlindSide_009,4.12
TheBlindSide_012,4.12
TheBlindSide_013,4.52
TheBlindSide_014,4.12
TheBlindSide_015,4.12
TheBlindSide_018,4.12
TheBlindSide_019,4.12
TheBlindSide_020,4.52
TheBlindSide_021,4.52
TheBlindSide_022,4.12
TheBlindSide_024,4.12
TheBlindSide_025,4.12
TheBlindSide_027,4.12
TheBlindSide_028,4.12
TheBlindSide_029,2.52
TheBlindSide_031,3.96
TheBlindSide_032,4.12
TheBlindSide_033,4.52
TheBlindSide_034,3.76
TheBlindSide_035,4.12
TheBlindSide_036,4.12
TheBlindSide_037,4.52
TheBlindSide_038,4.12
TheBlindSide_039,3.88
TheBlindSide_040,2.76
TheBlindSide_043,3.96
TheBlindSide_044,4.12
TheBlindSide_046,4.12
TheBlindSide_049,4.12
TheBlindSide_050,4.52
TheBlindSide_053,2.24
TheBlindSide_054,4.4
TheBlindSide_055,4.52
TheBlindSide_057,4.12
TheBlindSide_058,4.12
TheBlindSide_059,3.48
TheBlindSide_060,4.0
TheBlindSide_062,4.12
TheBlindSide_063,4.12
TheBlindSide_064,4.52
TheBlindSide_066,3.24
TheBlindSide_067,3.96
TheBlindSide_068,3.76
TheBlindSide_069,4.12
TheBlindSide_071,3.48
TheBlindSide_072,3.0
TheBlindSide_073,2.52
TheBlindSide_076,4.52
TheBlindSide_077,4.12
TheBlindSide_078,3.96
TheBlindSide_079,2.52
TheBlindSide_081,4.12
TheBlindSide_082,4.52
TheBlindSide_083,3.88
TheBlindSide_084,4.12
TheBlindSide_086,3.88
TheBlindSide_087,3.96
TheBlindSide_088,4.12
TheBlindSide_089,4.12
TheBlindSide_091,3.24
TheBlindSide_092,4.12
TheFaultInOurStars_002,2.52
TheFaultInOurStars_003,3.24
TheFaultInOurStars_004,4.52
TheFaultInOurStars_005,3.76
TheFaultInOurStars_006,3.76
TheFaultInOurStars_007,3.0
TheFaultInOurStars_008,3.24
TheFaultInOurStars_010,4.12
TheFaultInOurStars_011,4.12
TheFaultInOurStars_012,3.0
TheFaultInOurStars_013,3.0
TheFaultInOurStars_014,4.52
TheFaultInOurStars_015,3.76
TheFaultInOurStars_016,4.52
TheFaultInOurStars_018,4.04
TheFaultInOurStars_019,5.0
TheFaultInOurStars_020,2.76
TheFaultInOurStars_022,1.48
TheFaultInOurStars_023,1.76
TheFaultInOurStars_024,4.12
TheFaultInOurStars_025,4.12
TheFaultInOurStars_026,2.52
TheFaultInOurStars_027,2.24
TheFaultInOurStars_028,4.52
TheFaultInOurStars_030,4.76
TheFaultInOurStars_031,2.24
TheFaultInOurStars_032,3.76
TheFaultInOurStars_033,2.52
TheFaultInOurStars_034,2.24
TheFaultInOurStars_035,3.24
TheFaultInOurStars_036,4.24
TheFaultInOurStars_037,3.24
TheFaultInOurStars_040,3.0
TheFaultInOurStars_041,1.48
TheFaultInOurStars_043,3.96
TheFaultInOurStars_045,4.52
TheFaultInOurStars_048,3.0
TheFaultInOurStars_049,2.24
TheFaultInOurStars_050,1.76
TheFaultInOurStars_051,4.0
TheFaultInOurStars_052,4.52
TheFaultInOurStars_054,4.12
TheFaultInOurStars_058,1.24
TheFaultInOurStars_060,4.12
TheFaultInOurStars_061,3.48
TheFaultInOurStars_062,2.0
TheFaultInOurStars_063,4.12
TheFaultInOurStars_067,4.12
TheFaultInOurStars_069,1.76
TheFaultInOurStars_070,4.12
TheFaultInOurStars_071,3.96
TheFaultInOurStars_074,2.24
TheFaultInOurStars_075,1.76
TheFaultInOurStars_076,3.24
TheSpectacularNow_023,4.4
TheTheoryOfEverything_003,4.12
TheTheoryOfEverything_005,3.96
TheTheoryOfEverything_016,4.52
TheTheoryOfEverything_018,2.52
TheTheoryOfEverything_022,4.52
TheTheoryOfEverything_037,4.52
TheTheoryOfEverything_039,2.76
TheTheoryOfEverything_041,2.76
TheTheoryOfEverything_042,3.76
TheTheoryOfEverything_048,4.12
TheTheoryOfEverything_054,3.0
TheTheoryOfEverything_057,4.12
