clip_id,p_value,e_value,i_value
AboutTime_002,3.833,4.4,3.833
AboutTime_005,3.667,4.52,3.833
AboutTime_010,3.5,4.12,2.833
AboutTime_011,3.667,4.52,3.667
AboutTime_012,3.0,3.76,3.0
AboutTime_014,4.0,4.12,3.333
AboutTime_015,4.5,4.16,4.0
AboutTime_016,3.5,3.88,3.0
AboutTime_018,3.667,4.12,3.0
AboutTime_019,3.0,2.24,3.0
AboutTime_020,3.167,4.12,3.333
AboutTime_022,3.667,4.0,3.167
AboutTime_038,3.5,3.76,2.667
AboutTime_042,4.5,4.24,4.167
AboutTime_052,3.833,4.12,3.833
AboutTime_068,4.5,3.96,3.5
AboutTime_069,4.667,4.76,3.833
AboutTime_071,4.667,4.52,4.167
AboutTime_073,4.667,4.52,4.0
AboutTime_086,3.167,4.12,3.333
AboutTime_117,2.167,2.0,2.167
AboutTime_132,3.0,3.96,2.667
LadyBird_003,3.333,4.12,2.333
LadyBird_024,3.167,2.52,3.167
LadyBird_069,3.833,3.88,3.333
LadyBird_077,3.833,4.12,3.0
LadyBird_080,4.167,3.56,3.167
LadyBird_099,2.667,3.0,2.0
TheBlindSide_000,4.5,4.52,4.333
TheBlindSide_001,3.833,4.52,3.0
TheBlindSide_002,3.0,3.96,2.667
TheBlindSide_004,3.667,4.12,3.333
TheBlindSide_005,3.5,3.24,3.0
TheBlindSide_008,2.5,3.0,2.0
TheBlindSide_019,3.167,4.12,3.5
TheBlindSide_022,3.167,4.12,2.5
TheBlindSide_029,2.833,2.52,2.333
TheBlindSide_034,3.333,3.76,2.833
TheBlindSide_038,3.833,4.12,3.333
TheBlindSide_039,3.333,3.88,3.0
TheBlindSide_040,2.333,2.76,2.333
TheBlindSide_046,3.5,4.12,3.5
TheBlindSide_049,3.167,4.12,2.667
TheBlindSide_055,4.167,4.52,4.0
TheBlindSide_058,3.167,4.12,3.167
TheBlindSide_059,3.833,3.48,3.667
TheBlindSide_060,4.167,4.0,3.5
TheBlindSide_062,3.667,4.12,3.333
TheBlindSide_063,3.333,4.12,3.0
TheBlindSide_064,4.333,4.52,4.5
TheBlindSide_066,2.667,3.24,2.333
TheBlindSide_068,4.167,3.76,4.0
TheBlindSide_069,3.833,4.12,3.667
TheBlindSide_071,2.833,3.48,3.167
TheBlindSide_072,2.5,3.0,2.167
TheBlindSide_073,2.667,2.52,2.333
TheBlindSide_081,3.5,4.12,2.667
TheBlindSide_083,3.0,3.88,2.667
TheBlindSide_087,3.167,3.96,3.0
TheBlindSide_091,3.667,3.24,3.5
TheBlindSide_092,3.167,4.12,2.667
TheFaultInOurStars_002,3.333,2.52,3.5
TheFaultInOurStars_003,3.5,3.24,3.0
TheFaultInOurStars_005,3.5,3.76,3.667
TheFaultInOurStars_006,4.0,3.76,3.833
TheFaultInOurStars_007,3.0,3.0,2.833
TheFaultInOurStars_008,3.833,3.24,3.333
TheFaultInOurStars_011,3.167,4.12,3.333
TheFaultInOurStars_012,3.833,3.0,3.667
TheFaultInOurStars_013,3.333,3.0,3.333
TheFaultInOurStars_015,4.167,3.76,3.833
TheFaultInOurStars_016,4.333,4.52,3.333
TheFaultInOurStars_018,4.0,4.04,3.833
TheFaultInOurStars_019,4.0,5.0,4.167
TheFaultInOurStars_020,3.333,2.76,3.667
TheFaultInOurStars_024,4.0,4.12,3.5
TheFaultInOurStars_025,3.833,4.12,3.5
TheFaultInOurStars_026,3.5,2.52,3.833
TheFaultInOurStars_030,4.167,4.76,4.167
TheFaultInOurStars_031,3.167,2.24,3.5
TheFaultInOurStars_032,3.5,3.76,3.167
TheFaultInOurStars_033,3.0,2.52,3.167
TheFaultInOurStars_035,3.5,3.24,3.667
TheFaultInOurStars_036,4.167,4.24,4.333
TheFaultInOurStars_037,3.167,3.24,2.667
TheFaultInOurStars_040,3.667,3.0,3.833
TheFaultInOurStars_043,3.833,3.96,3.667
TheFaultInOurStars_048,3.667,3.0,3.667
TheFaultInOurStars_051,3.5,4.0,3.667
TheFaultInOurStars_054,4.0,4.12,4.667
TheFaultInOurStars_061,2.833,3.48,2.0
TheFaultInOurStars_062,2.333,2.0,1.667
TheFaultInOurStars_067,4.0,4.12,4.0
TheFaultInOurStars_069,2.667,1.76,2.833
TheFaultInOurStars_071,3.833,3.96,3.333
TheFaultInOurStars_074,2.667,2.24,2.167
TheFaultInOurStars_076,3.0,3.24,2.833
TheTheoryOfEverything_005,3.167,3.96,2.5
TheTheoryOfEverything_016,4.5,4.52,4.333
TheTheoryOfEverything_018,2.0,2.52,1.833
TheTheoryOfEverything_022,3.833,4.52,3.667
TheTheoryOfEverything_039,2.0,2.76,2.167
TheTheoryOfEverything_041,3.167,2.76,2.5
TheTheoryOfEverything_054,3.167,3.0,3.0
