clip_title,clip_order,Nishant_participant_valence,Nishant_clip_valence,Nishant_impact_valence,debjit2001_participant_valence,debjit2001_clip_valence,debjit2001_impact_valence,pranjal123_participant_valence,pranjal123_clip_valence,pranjal123_impact_valence,aritra_participant_valence,aritra_clip_valence,aritra_impact_valence,sayantankuila_participant_valence,sayantankuila_clip_valence,sayantankuila_impact_valence,ajaycc17_participant_valence,ajaycc17_clip_valence,ajaycc17_impact_valence
AboutTime_000.mp4,0,5,3,4,4,5,4,5,4,4,4,2,1,4,4,3,4,3,3
AboutTime_001.mp4,1,4,4,4,4,4,4,4,5,4,1,4,4,3,4,3,3,5,4
AboutTime_002.mp4,2,4,3,3,4,5,5,4,5,4,4,3,3,3,5,4,4,5,5
AboutTime_003.mp4,3,3,4,4,5,5,5,4,5,4,3,2,2,4,5,4,5,4,4
AboutTime_004.mp4,4,4,3,3,5,5,4,4,5,4,2,3,2,4,4,4,4,3,3
AboutTime_005.mp4,5,3,4,4,4,3,3,4,5,4,2,2,2,4,5,5,3,2,3
AboutTime_006.mp4,6,4,4,3,3,4,4,4,5,5,2,2,1,5,4,4,3,4,4
AboutTime_007.mp4,7,3,4,4,4,3,3,5,4,3,1,2,2,4,3,3,4,3,4
AboutTime_008.mp4,8,4,4,5,3,4,3,3,3,2,2,2,1,3,3,4,4,3,4
AboutTime_009.mp4,9,5,3,2,3,4,3,2,3,2,1,3,3,4,3,3,4,4,3
AboutTime_010.mp4,10,2,3,3,3,4,4,2,5,3,3,2,2,3,4,4,3,3,3
AboutTime_011.mp4,11,3,3,3,4,4,3,3,5,5,2,3,3,4,4,4,3,3,3
AboutTime_012.mp4,12,3,4,4,3,4,3,5,4,3,3,2,1,4,5,4,3,3,3
AboutTime_013.mp4,13,4,2,1,3,4,3,3,4,3,1,2,2,4,3,2,3,2,3
AboutTime_014.mp4,14,1,3,3,3,4,3,3,5,3,2,3,3,2,3,3,3,4,4
AboutTime_015.mp4,15,3,4,5,3,4,4,3,4,3,3,1,1,3,4,5,4,5,5
AboutTime_016.mp4,16,5,3,3,4,4,4,3,5,5,1,3,1,5,4,3,5,5,5
AboutTime_017.mp4,17,3,4,4,4,4,4,5,4,4,1,3,3,3,3,3,5,4,4
AboutTime_018.mp4,18,4,3,4,4,4,4,4,5,5,3,3,3,3,4,3,4,5,5
AboutTime_019.mp4,19,4,4,4,4,5,4,5,4,4,3,3,3,3,4,5,5,5,4
AboutTime_020.mp4,20,4,3,4,4,3,3,4,4,3,3,2,1,5,4,4,4,4,4
AboutTime_021.mp4,21,4,4,3,3,3,3,3,4,3,1,2,2,4,3,3,4,3,3
AboutTime_022.mp4,22,3,5,5,3,5,4,3,4,3,2,5,5,3,5,5,3,5,5
AboutTime_024.mp4,23,5,4,4,4,3,3,3,5,4,5,3,3,5,4,4,5,2,1
AboutTime_031.mp4,24,4,4,3,3,4,3,4,4,3,3,3,2,4,5,5,1,5,4
AboutTime_032.mp4,25,3,3,4,3,4,4,3,5,4,2,2,2,5,4,4,4,4,3
AboutTime_035.mp4,26,4,3,3,4,4,3,4,5,4,2,2,1,4,2,2,3,3,2
AboutTime_038.mp4,27,3,3,3,3,4,4,4,4,3,1,3,1,2,4,3,2,4,4
AboutTime_042.mp4,28,3,4,3,4,5,5,3,5,5,1,4,4,3,4,4,4,5,5
AboutTime_046.mp4,29,3,4,4,5,5,5,5,4,4,4,4,4,4,4,4,5,5,5
AboutTime_048.mp4,30,4,5,5,5,4,4,4,5,5,4,4,4,4,5,5,5,3,4
