clip_id,audio_useful,video_useful
AboutTime_000,0,0
AboutTime_001,0,0
AboutTime_002,1,0
AboutTime_003,1,0
AboutTime_004,0,0
AboutTime_005,0,1
AboutTime_006,1,0
AboutTime_007,1,0
AboutTime_008,1,1
AboutTime_009,0,0
AboutTime_010,1,0
AboutTime_011,0,1
AboutTime_012,0,1
AboutTime_013,1,0
AboutTime_014,1,0
AboutTime_015,1,0
AboutTime_016,1,0
AboutTime_017,0,0
AboutTime_018,1,0
AboutTime_019,0,1
AboutTime_020,1,0
AboutTime_021,1,0
AboutTime_022,1,1
AboutTime_023,0,1
AboutTime_024,0,0
AboutTime_025,0,1
AboutTime_026,0,0
AboutTime_027,1,1
AboutTime_028,1,0
AboutTime_029,0,0
AboutTime_030,0,0
AboutTime_031,0,0
AboutTime_032,0,0
AboutTime_033,0,1
AboutTime_034,1,1
AboutTime_035,1,0
AboutTime_036,1,0
AboutTime_037,1,0
AboutTime_038,1,0
AboutTime_039,0,0
AboutTime_040,0,1
AboutTime_041,0,1
AboutTime_042,0,1
AboutTime_043,1,0
AboutTime_044,1,0
AboutTime_045,0,1
AboutTime_046,0,0
AboutTime_047,0,0
AboutTime_048,0,0
AboutTime_049,1,0
AboutTime_050,0,0
AboutTime_051,1,0
AboutTime_052,1,0
AboutTime_053,1,0
AboutTime_054,0,1
AboutTime_055,0,0
AboutTime_056,0,1
AboutTime_057,0,1
AboutTime_058,1,0
AboutTime_059,1,0
AboutTime_060,1,1
AboutTime_061,1,1
AboutTime_062,0,0
AboutTime_063,0,1
AboutTime_064,0,1
AboutTime_065,1,0
AboutTime_066,0,0
AboutTime_067,0,0
AboutTime_068,1,0
AboutTime_069,1,1
AboutTime_070,1,1
AboutTime_071,0,1
AboutTime_072,0,1
AboutTime_073,0,1
AboutTime_074,0,0
AboutTime_075,1,0
AboutTime_076,1,1
AboutTime_077,0,0
AboutTime_078,0,1
AboutTime_079,0,0
AboutTime_080,0,0
AboutTime_081,0,0
AboutTime_082,1,0
AboutTime_083,0,1
AboutTime_084,0,1
AboutTime_085,1,0
AboutTime_086,1,1
AboutTime_087,1,1
AboutTime_088,0,0
AboutTime_089,0,0
AboutTime_090,0,1
AboutTime_091,0,0
AboutTime_092,0,0
AboutTime_093,1,0
AboutTime_094,0,0
AboutTime_095,0,1
AboutTime_096,1,0
AboutTime_097,1,1
