participant,clip_title,timestamp,avg_bpm,bpm_drift,max_bpm,hr_sequence,self_reported_valence,self_reported_arousal,V_Cognitive_Alignment,V_Emotional_Resonance,V_Avg_Drift,A_Cognitive_Alignment,A_Emotional_Resonance,A_Avg_Drift,movie_name
Nishant,AboutTime_000.mp4,2025-10-17 09:55:54.068,80.06,1,84,"[82, 81, 82, 79, 78, 76, 78, 80, 80, 78, 78, 79, 79, 81, 83, 84, 83]",4,4,31.75,60.95,-1.266,44.16,61.31,-0.836,AboutTime
debjit2001,AboutTime_000.mp4,2025-10-23 14:30:05.218,62.95,-10,69,"[69, 68, 65, 65, 64, 64, 62, 61, 62, 61, 63, 64, 63, 63, 60, 60, 61, 62, 59]",4,4,41.61,59.49,-0.62,36.86,33.94,-1.42,AboutTime
aritra,AboutTime_000.mp4,2025-11-06 10:39:24.897,74.17,1,82,"[69, 71, 71, 70, 70, 71, 72, 74, 79, 81, 82, 82, 81, 78, 75, 70, 69, 70]",1,1,23.72,65.69,-1.073,18.25,70.8,-1.482,AboutTime
sayantankuila,AboutTime_000.mp4,2025-11-20 08:10:56.409,80.53,8,88,"[80, 76, 78, 81, 80, 79, 78, 77, 78, 78, 79, 80, 81, 79, 80, 84, 86, 88, 88]",3,3,43.43,67.88,-0.69,41.97,49.64,-1.201,AboutTime
ajaycc17,AboutTime_000.mp4,2025-12-09 12:37:08.879,104.29,4,107,"[103, 102, 103, 103, 103, 105, 107, 105, 103, 104, 104, 104, 104, 105, 105, 106, 107]",3,3,40.15,68.25,-0.409,36.86,55.47,-1.566,AboutTime
debjit2001,AboutTime_001.mp4,2025-10-15 17:14:07.640,70.18,-17,84,"[84, 81, 73, 71, 68, 67, 66, 71, 72, 73, 70, 68, 69, 67, 65, 66, 69, 70, 68, 69, 70, 67]",4,3,41.61,59.49,-0.62,36.86,33.94,-1.42,AboutTime
Nishant,AboutTime_001.mp4,2025-10-17 10:02:51.152,78.43,0,83,"[80, 81, 81, 82, 81, 83, 82, 79, 77, 76, 75, 76, 75, 76, 77, 75, 76, 78, 79, 78, 80]",4,3,31.75,60.95,-1.266,44.16,61.31,-0.836,AboutTime
aritra,AboutTime_001.mp4,2025-11-06 10:55:11.890,78.35,-1,83,"[76, 77, 80, 79, 80, 79, 78, 79, 78, 77, 77, 77, 81, 83, 79, 76, 77, 79, 80, 75]",4,4,23.72,65.69,-1.073,18.25,70.8,-1.482,AboutTime
sayantankuila,AboutTime_001.mp4,2025-11-21 12:51:39.998,92.44,-4,97,"[94, 97, 92, 91, 90, 89, 90, 92, 93, 94, 94, 93, 93, 94, 95, 91, 92, 90]",3,3,43.43,67.88,-0.69,41.97,49.64,-1.201,AboutTime
ajaycc17,AboutTime_001.mp4,2025-12-25 12:06:09.101,98.27,-7,105,"[105, 101, 101, 103, 102, 100, 98, 96, 97, 99, 100, 104, 103, 100, 99, 93, 89, 90, 92, 95, 97, 98]",4,3,40.15,68.25,-0.409,36.86,55.47,-1.566,AboutTime
debjit2001,AboutTime_002.mp4,2025-10-15 17:38:33.187,66.72,9,74,"[63, 65, 69, 71, 66, 64, 65, 64, 63, 62, 62, 63, 66, 68, 70, 74, 74, 72]",5,5,41.61,59.49,-0.62,36.86,33.94,-1.42,AboutTime
Nishant,AboutTime_002.mp4,2025-10-17 09:23:29.100,82.91,4,88,"[84, 83, 82, 81, 83, 84, 83, 86, 86, 85, 85, 84, 85, 84, 82, 79, 77, 78, 79, 80, 86, 88]",3,3,31.75,60.95,-1.266,44.16,61.31,-0.836,AboutTime
aritra,AboutTime_002.mp4,2025-11-06 08:56:26.901,78.6,8,83,"[73, 75, 72, 76, 82, 83, 82, 80, 82, 81, 80, 79, 78, 76, 75, 77, 78, 80, 82, 81]",3,3,23.72,65.69,-1.073,18.25,70.8,-1.482,AboutTime
sayantankuila,AboutTime_002.mp4,2025-11-20 07:53:42.117,78.71,-1,83,"[80, 83, 81, 80, 82, 79, 76, 75, 75, 76, 78, 80, 80, 78, 78, 78, 79]",4,5,43.43,67.88,-0.69,41.97,49.64,-1.201,AboutTime
ajaycc17,AboutTime_002.mp4,2025-12-25 12:17:08.113,97.19,-5,108,"[98, 100, 108, 107, 101, 101, 100, 96, 97, 98, 99, 98, 94, 96, 98, 95, 89, 92, 90, 91, 93]",5,3,40.15,68.25,-0.409,36.86,55.47,-1.566,AboutTime
Nishant,AboutTime_003.mp4,2025-10-17 10:07:53.722,81.24,0,85,"[83, 84, 85, 84, 83, 81, 78, 77, 78, 80, 81, 80, 79, 80, 81, 84, 83]",4,3,31.75,60.95,-1.266,44.16,61.31,-0.836,AboutTime
debjit2001,AboutTime_003.mp4,2025-10-23 14:48:30.800,65.82,-2,73,"[66, 68, 70, 71, 73, 70, 63, 65, 68, 66, 64, 63, 61, 62, 62, 63, 64]",5,3,41.61,59.49,-0.62,36.86,33.94,-1.42,AboutTime
pranjal123,AboutTime_003.mp4,2025-10-29 11:35:48.020,75.87,-3,79,"[78, 79, 78, 77, 77, 75, 74, 73, 74, 75, 76, 76, 76, 75, 75]",4,3,32.12,35.77,-1.38,23.72,30.29,-1.741,AboutTime
aritra,AboutTime_003.mp4,2025-11-06 10:29:44.389,78.35,8,86,"[78, 76, 77, 76, 80, 81, 79, 78, 78, 79, 80, 77, 75, 75, 76, 81, 86]",2,2,23.72,65.69,-1.073,18.25,70.8,-1.482,AboutTime
sayantankuila,AboutTime_003.mp4,2025-11-21 13:41:20.358,101.0,-3,108,"[98, 98, 97, 100, 98, 94, 99, 102, 101, 100, 101, 102, 103, 105, 107, 108, 107, 107, 105, 99, 96, 95]",4,5,43.43,67.88,-0.69,41.97,49.64,-1.201,AboutTime
ajaycc17,AboutTime_003.mp4,2025-12-25 12:19:36.632,94.05,3,101,"[92, 91, 90, 91, 93, 96, 99, 101, 96, 94, 93, 95, 97, 95, 94, 94, 93, 89, 93, 95]",4,2,40.15,68.25,-0.409,36.86,55.47,-1.566,AboutTime
debjit2001,AboutTime_004.mp4,2025-10-15 17:12:25.770,73.94,4,87,"[69, 68, 65, 66, 66, 65, 66, 68, 71, 76, 78, 83, 82, 83, 87, 84, 81, 73]",4,3,41.61,59.49,-0.62,36.86,33.94,-1.42,AboutTime
Nishant,AboutTime_004.mp4,2025-10-17 09:10:33.759,88.86,0,102,"[87, 85, 85, 88, 89, 90, 91, 92, 95, 91, 102, 101, 94, 89, 82, 81, 84, 85, 81, 83, 93, 87]",3,3,31.75,60.95,-1.266,44.16,61.31,-0.836,AboutTime
pranjal123,AboutTime_004.mp4,2025-10-29 11:03:36.367,78.94,5,87,"[82, 78, 77, 76, 77, 76, 77, 78, 77, 76, 75, 76, 80, 82, 83, 85, 87]",4,4,32.12,35.77,-1.38,23.72,30.29,-1.741,AboutTime
aritra,AboutTime_004.mp4,2025-11-06 08:26:25.795,80.89,6,84,"[78, 77, 78, 79, 80, 82, 80, 79, 80, 81, 82, 81, 81, 83, 84, 84, 83, 84]",2,2,23.72,65.69,-1.073,18.25,70.8,-1.482,AboutTime
sayantankuila,AboutTime_004.mp4,2025-11-20 07:55:11.161,79.44,1,84,"[78, 78, 78, 79, 77, 78, 78, 78, 80, 83, 84, 83, 80, 79, 79, 80, 79, 79]",4,4,43.43,67.88,-0.69,41.97,49.64,-1.201,AboutTime
ajaycc17,AboutTime_004.mp4,2025-12-09 13:26:00.694,101.81,-3,106,"[105, 105, 101, 102, 101, 103, 101, 102, 101, 101, 102, 101, 97, 98, 100, 100, 101, 104, 106, 105, 102]",3,4,40.15,68.25,-0.409,36.86,55.47,-1.566,AboutTime
Nishant,AboutTime_005.mp4,2025-10-17 08:52:20.282,83.57,0,87,"[84, 83, 82, 83, 82, 83, 84, 84, 84, 84, 83, 85, 86, 87, 85, 79, 83, 84, 85, 81, 84]",4,4,31.75,60.95,-1.266,44.16,61.31,-0.836,AboutTime
debjit2001,AboutTime_005.mp4,2025-10-23 15:23:08.550,64.33,-9,69,"[69, 68, 67, 66, 67, 65, 64, 65, 64, 63, 63, 64, 62, 61, 62, 64, 64, 60]",3,3,41.61,59.49,-0.62,36.86,33.94,-1.42,AboutTime
pranjal123,AboutTime_005.mp4,2025-10-29 11:49:41.050,79.56,-2,84,"[81, 79, 79, 80, 81, 83, 84, 81, 80, 79, 78, 76, 77, 78, 80, 79, 78, 79]",4,5,32.12,35.77,-1.38,23.72,30.29,-1.741,AboutTime
aritra,AboutTime_005.mp4,2025-11-06 08:27:18.215,83.06,0,87,"[80, 81, 82, 81, 81, 83, 84, 84, 83, 84, 86, 87, 86, 84, 84, 82, 80]",2,2,23.72,65.69,-1.073,18.25,70.8,-1.482,AboutTime
sayantankuila,AboutTime_005.mp4,2025-11-20 07:47:29.172,79.95,1,85,"[76, 77, 78, 79, 80, 80, 81, 80, 79, 78, 79, 83, 84, 85, 84, 83, 80, 78, 78, 77]",5,5,43.43,67.88,-0.69,41.97,49.64,-1.201,AboutTime
ajaycc17,AboutTime_005.mp4,2025-12-09 13:49:08.498,101.95,-6,106,"[104, 104, 103, 104, 105, 106, 105, 101, 99, 103, 106, 105, 104, 102, 98, 100, 94, 99, 101, 100, 98]",3,4,40.15,68.25,-0.409,36.86,55.47,-1.566,AboutTime
