clip_id,Nishant,ajaycc17,aritra,debjit2001,pranjal123,sayantankuila,avg_inferred_arousal
AboutTime_000,4.0,5.0,4.0,1.0,,4.0,3.6
AboutTime_001,2.0,1.0,2.0,1.0,,2.0,1.6
AboutTime_002,4.0,2.0,4.0,3.0,,2.0,3.0
AboutTime_003,3.0,4.0,4.0,1.0,2.0,2.0,2.6666666666666665
AboutTime_004,4.0,2.0,4.0,4.0,5.0,4.0,3.8333333333333335
AboutTime_005,2.0,2.0,3.0,1.0,2.0,4.0,2.3333333333333335
AboutTime_006,4.0,2.0,4.0,1.0,3.0,2.0,2.6666666666666665
AboutTime_007,,4.0,1.0,2.0,,2.0,2.25
AboutTime_008,,3.0,4.0,1.0,,2.0,2.5
AboutTime_009,3.0,3.0,2.0,2.0,2.0,3.0,2.5
AboutTime_010,1.0,2.0,2.0,1.0,,2.0,1.6
AboutTime_011,4.0,4.0,4.0,1.0,3.0,3.0,3.1666666666666665
AboutTime_012,1.0,5.0,4.0,1.0,,3.0,2.8
AboutTime_013,2.0,2.0,4.0,2.0,3.0,2.0,2.5
AboutTime_014,3.0,,2.0,1.0,,4.0,2.5
AboutTime_015,,4.0,4.0,4.0,,2.0,3.5
AboutTime_016,,4.0,4.0,4.0,2.0,4.0,3.6
AboutTime_017,,4.0,4.0,3.0,,4.0,3.75
AboutTime_018,,4.0,4.0,1.0,2.0,3.0,2.8
AboutTime_019,2.0,4.0,4.0,2.0,,5.0,3.4
AboutTime_020,2.0,4.0,4.0,2.0,2.0,2.0,2.6666666666666665
AboutTime_021,,4.0,4.0,4.0,,2.0,3.5
AboutTime_022,2.0,4.0,2.0,2.0,,3.0,2.6
AboutTime_024,,4.0,4.0,2.0,2.0,4.0,3.2
AboutTime_031,,5.0,2.0,2.0,,2.0,2.75
AboutTime_032,,2.0,4.0,4.0,1.0,2.0,2.6
AboutTime_035,2.0,3.0,3.0,2.0,2.0,2.0,2.3333333333333335
AboutTime_038,2.0,3.0,2.0,5.0,,4.0,3.2
AboutTime_042,2.0,4.0,4.0,2.0,3.0,4.0,3.1666666666666665
AboutTime_046,3.0,4.0,5.0,2.0,,4.0,3.6
AboutTime_048,,2.0,4.0,1.0,2.0,4.0,2.6
AboutTime_052,3.0,2.0,2.0,4.0,2.0,4.0,2.8333333333333335
AboutTime_056,3.0,,1.0,3.0,,4.0,2.75
AboutTime_066,3.0,4.0,3.0,2.0,4.0,4.0,3.3333333333333335
AboutTime_068,2.0,2.0,4.0,2.0,,2.0,2.4
AboutTime_069,4.0,3.0,2.0,1.0,,2.0,2.4
AboutTime_071,4.0,5.0,2.0,2.0,,4.0,3.4
AboutTime_073,2.0,4.0,2.0,4.0,,2.0,2.8
AboutTime_075,,2.0,2.0,2.0,2.0,2.0,2.0
AboutTime_077,1.0,4.0,5.0,2.0,2.0,4.0,3.0
AboutTime_085,2.0,2.0,4.0,2.0,,2.0,2.4
AboutTime_086,2.0,2.0,2.0,1.0,,2.0,1.8
AboutTime_091,,4.0,2.0,2.0,2.0,4.0,2.8
AboutTime_095,,4.0,2.0,2.0,,2.0,2.5
AboutTime_117,2.0,2.0,2.0,2.0,4.0,2.0,2.3333333333333335
AboutTime_120,,4.0,4.0,4.0,4.0,4.0,4.0
AboutTime_130,5.0,,3.0,2.0,4.0,2.0,3.2
AboutTime_131,1.0,2.0,2.0,4.0,4.0,5.0,3.0
AboutTime_132,4.0,,2.0,2.0,,2.0,2.5
AboutTime_133,,2.0,3.0,4.0,,2.0,2.75
AboutTime_134,3.0,3.0,2.0,2.0,,2.0,2.4
AboutTime_135,2.0,3.0,2.0,3.0,,3.0,2.6
AboutTime_136,3.0,2.0,3.0,2.0,2.0,3.0,2.5
Gifted_041,2.0,2.0,2.0,2.0,,2.0,2.0
Gifted_045,,,2.0,2.0,2.0,3.0,2.25
Gifted_049,2.0,2.0,3.0,3.0,,4.0,2.8
LadyBird_001,,4.0,2.0,2.0,2.0,2.0,2.4
LadyBird_003,,3.0,2.0,2.0,3.0,2.0,2.4
LadyBird_005,,2.0,3.0,2.0,,3.0,2.5
LadyBird_011,3.0,2.0,2.0,2.0,4.0,2.0,2.5
LadyBird_013,3.0,4.0,3.0,2.0,,3.0,3.0
LadyBird_017,,3.0,3.0,2.0,2.0,3.0,2.6
LadyBird_019,3.0,2.0,2.0,2.0,3.0,2.0,2.3333333333333335
LadyBird_024,2.0,3.0,3.0,2.0,,2.0,2.4
LadyBird_030,2.0,3.0,3.0,2.0,2.0,2.0,2.3333333333333335
LadyBird_031,,2.0,3.0,4.0,,2.0,2.75
LadyBird_045,2.0,2.0,2.0,4.0,2.0,3.0,2.5
LadyBird_048,,,2.0,2.0,,3.0,2.3333333333333335
LadyBird_054,,2.0,2.0,2.0,,3.0,2.25
LadyBird_055,,2.0,2.0,2.0,3.0,2.0,2.2
LadyBird_056,2.0,2.0,2.0,2.0,,3.0,2.2
LadyBird_057,2.0,2.0,3.0,3.0,,2.0,2.4
LadyBird_066,,,2.0,2.0,3.0,2.0,2.25
LadyBird_068,3.0,2.0,2.0,2.0,2.0,2.0,2.1666666666666665
LadyBird_069,3.0,3.0,3.0,2.0,,2.0,2.6
LadyBird_077,2.0,2.0,,3.0,,3.0,2.5
LadyBird_080,,3.0,2.0,3.0,,3.0,2.75
LadyBird_081,,2.0,2.0,3.0,3.0,2.0,2.4
LadyBird_088,3.0,3.0,2.0,2.0,2.0,4.0,2.6666666666666665
LadyBird_092,3.0,3.0,2.0,4.0,2.0,3.0,2.8333333333333335
LadyBird_093,,2.0,3.0,2.0,2.0,2.0,2.2
LadyBird_099,2.0,2.0,2.0,2.0,,3.0,2.2
LadyBird_104,,2.0,2.0,2.0,,2.0,2.0
LadyBird_109,3.0,2.0,2.0,2.0,2.0,3.0,2.3333333333333335
LadyBird_110,2.0,2.0,,2.0,2.0,2.0,2.0
TheBlindSide_000,,3.0,4.0,3.0,,3.0,3.25
TheBlindSide_001,2.0,3.0,3.0,3.0,2.0,2.0,2.5
TheBlindSide_002,2.0,3.0,2.0,3.0,2.0,2.0,2.3333333333333335
TheBlindSide_003,3.0,3.0,3.0,4.0,,3.0,3.2
