clip_id,p_value,e_value
AboutTime_002,3.833,4.4
AboutTime_005,3.667,4.52
AboutTime_010,3.5,4.12
AboutTime_011,3.667,4.52
AboutTime_012,3.0,3.76
AboutTime_014,4.0,4.12
AboutTime_015,4.5,4.16
AboutTime_016,3.5,3.88
AboutTime_018,3.667,4.12
AboutTime_019,3.0,2.24
AboutTime_020,3.167,4.12
AboutTime_022,3.667,4.0
AboutTime_038,3.5,3.76
AboutTime_042,4.5,4.24
AboutTime_052,3.833,4.12
AboutTime_068,4.5,3.96
AboutTime_069,4.667,4.76
AboutTime_071,4.667,4.52
AboutTime_073,4.667,4.52
AboutTime_086,3.167,4.12
AboutTime_117,2.167,2.0
AboutTime_132,3.0,3.96
LadyBird_003,3.333,4.12
LadyBird_024,3.167,2.52
LadyBird_069,3.833,3.88
LadyBird_077,3.833,4.12
LadyBird_080,4.167,3.56
LadyBird_099,2.667,3.0
TheBlindSide_000,4.5,4.52
TheBlindSide_001,3.833,4.52
TheBlindSide_002,3.0,3.96
TheBlindSide_004,3.667,4.12
TheBlindSide_005,3.5,3.24
TheBlindSide_008,2.5,3.0
TheBlindSide_019,3.167,4.12
TheBlindSide_022,3.167,4.12
TheBlindSide_029,2.833,2.52
TheBlindSide_034,3.333,3.76
TheBlindSide_038,3.833,4.12
TheBlindSide_039,3.333,3.88
TheBlindSide_040,2.333,2.76
TheBlindSide_046,3.5,4.12
TheBlindSide_049,3.167,4.12
TheBlindSide_055,4.167,4.52
TheBlindSide_058,3.167,4.12
TheBlindSide_059,3.833,3.48
TheBlindSide_060,4.167,4.0
TheBlindSide_062,3.667,4.12
TheBlindSide_063,3.333,4.12
TheBlindSide_064,4.333,4.52
TheBlindSide_066,2.667,3.24
TheBlindSide_068,4.167,3.76
TheBlindSide_069,3.833,4.12
TheBlindSide_071,2.833,3.48
TheBlindSide_072,2.5,3.0
TheBlindSide_073,2.667,2.52
TheBlindSide_081,3.5,4.12
TheBlindSide_083,3.0,3.88
TheBlindSide_087,3.167,3.96
TheBlindSide_091,3.667,3.24
TheBlindSide_092,3.167,4.12
TheFaultInOurStars_002,3.333,2.52
TheFaultInOurStars_003,3.5,3.24
TheFaultInOurStars_005,3.5,3.76
TheFaultInOurStars_006,4.0,3.76
TheFaultInOurStars_007,3.0,3.0
TheFaultInOurStars_008,3.833,3.24
TheFaultInOurStars_011,3.167,4.12
TheFaultInOurStars_012,3.833,3.0
TheFaultInOurStars_013,3.333,3.0
TheFaultInOurStars_015,4.167,3.76
TheFaultInOurStars_016,4.333,4.52
TheFaultInOurStars_018,4.0,4.04
TheFaultInOurStars_019,4.0,5.0
TheFaultInOurStars_020,3.333,2.76
TheFaultInOurStars_024,4.0,4.12
TheFaultInOurStars_025,3.833,4.12
TheFaultInOurStars_026,3.5,2.52
TheFaultInOurStars_030,4.167,4.76
TheFaultInOurStars_031,3.167,2.24
TheFaultInOurStars_032,3.5,3.76
TheFaultInOurStars_033,3.0,2.52
TheFaultInOurStars_035,3.5,3.24
TheFaultInOurStars_036,4.167,4.24
TheFaultInOurStars_037,3.167,3.24
TheFaultInOurStars_040,3.667,3.0
TheFaultInOurStars_043,3.833,3.96
TheFaultInOurStars_048,3.667,3.0
TheFaultInOurStars_051,3.5,4.0
TheFaultInOurStars_054,4.0,4.12
TheFaultInOurStars_061,2.833,3.48
TheFaultInOurStars_062,2.333,2.0
TheFaultInOurStars_067,4.0,4.12
TheFaultInOurStars_069,2.667,1.76
TheFaultInOurStars_071,3.833,3.96
TheFaultInOurStars_074,2.667,2.24
TheFaultInOurStars_076,3.0,3.24
TheTheoryOfEverything_005,3.167,3.96
TheTheoryOfEverything_016,4.5,4.52
TheTheoryOfEverything_018,2.0,2.52
TheTheoryOfEverything_022,3.833,4.52
TheTheoryOfEverything_039,2.0,2.76
TheTheoryOfEverything_041,3.167,2.76
TheTheoryOfEverything_054,3.167,3.0
