clip_id,p_value,e_value,i_inferred_value
AboutTime_002,3.833,4.4,3.0
AboutTime_011,3.667,4.52,3.1666666666666665
AboutTime_012,3.0,3.76,2.8
AboutTime_015,4.5,4.16,3.5
AboutTime_016,3.5,3.88,3.6
AboutTime_018,3.667,4.12,2.8
AboutTime_019,3.0,2.24,3.4
AboutTime_020,3.167,4.12,2.6666666666666665
AboutTime_038,3.5,3.76,3.2
AboutTime_052,3.833,4.12,2.833333333333333
AboutTime_117,2.167,2.0,2.333333333333333
AboutTime_132,3.0,3.96,2.5
LadyBird_003,3.333,4.12,2.4
LadyBird_024,3.167,2.52,2.4
LadyBird_099,2.667,3.0,2.2
TheBlindSide_002,3.0,3.96,2.333333333333333
TheBlindSide_008,2.5,3.0,2.6666666666666665
TheBlindSide_019,3.167,4.12,2.75
TheBlindSide_029,2.833,2.52,2.6
TheBlindSide_039,3.333,3.88,3.0
TheBlindSide_040,2.333,2.76,2.2
TheBlindSide_046,3.5,4.12,4.0
TheBlindSide_049,3.167,4.12,3.6
TheBlindSide_055,4.167,4.52,4.2
TheBlindSide_058,3.167,4.12,3.0
TheBlindSide_059,3.833,3.48,3.75
TheBlindSide_060,4.167,4.0,3.8
TheBlindSide_062,3.667,4.12,3.333333333333333
TheBlindSide_063,3.333,4.12,2.6
TheBlindSide_066,2.667,3.24,3.333333333333333
TheBlindSide_068,4.167,3.76,4.6
TheBlindSide_069,3.833,4.12,3.8
TheBlindSide_071,2.833,3.48,3.0
TheBlindSide_072,2.5,3.0,3.083333333333333
TheBlindSide_073,2.667,2.52,3.5
TheBlindSide_081,3.5,4.12,3.333333333333333
TheBlindSide_083,3.0,3.88,3.25
TheBlindSide_087,3.167,3.96,3.5
TheBlindSide_091,3.667,3.24,4.0
TheBlindSide_092,3.167,4.12,3.4
TheFaultInOurStars_002,3.333,2.52,3.5
TheFaultInOurStars_003,3.5,3.24,3.0
TheFaultInOurStars_005,3.5,3.76,3.125
TheFaultInOurStars_006,4.0,3.76,3.0
TheFaultInOurStars_007,3.0,3.0,3.2
TheFaultInOurStars_011,3.167,4.12,2.333333333333333
TheFaultInOurStars_013,3.333,3.0,3.333333333333333
TheFaultInOurStars_016,4.333,4.52,3.4
TheFaultInOurStars_020,3.333,2.76,3.0
TheFaultInOurStars_024,4.0,4.12,3.0
TheFaultInOurStars_025,3.833,4.12,3.2
TheFaultInOurStars_026,3.5,2.52,2.833333333333333
TheFaultInOurStars_031,3.167,2.24,2.6
TheFaultInOurStars_032,3.5,3.76,3.0
TheFaultInOurStars_033,3.0,2.52,2.6666666666666665
TheFaultInOurStars_037,3.167,3.24,2.5
TheFaultInOurStars_043,3.833,3.96,3.0
TheFaultInOurStars_048,3.667,3.0,3.2
TheFaultInOurStars_051,3.5,4.0,3.1666666666666665
TheFaultInOurStars_061,2.833,3.48,3.25
TheFaultInOurStars_062,2.333,2.0,2.0
TheFaultInOurStars_069,2.667,1.76,2.625
TheFaultInOurStars_071,3.833,3.96,3.0
TheFaultInOurStars_074,2.667,2.24,3.25
TheFaultInOurStars_076,3.0,3.24,2.25
TheTheoryOfEverything_018,2.0,2.52,3.0
TheTheoryOfEverything_022,3.833,4.52,4.0
TheTheoryOfEverything_039,2.0,2.76,3.0
TheTheoryOfEverything_041,3.167,2.76,3.6666666666666665
TheTheoryOfEverything_054,3.167,3.0,3.8
