clip_id,p_value,e_value,i_value
AboutTime_002,4.333,3.52,4.0
AboutTime_003,4.167,4.2,3.833
AboutTime_005,3.5,3.36,3.5
AboutTime_006,3.833,4.2,3.5
AboutTime_008,3.167,3.0,3.167
AboutTime_010,3.5,3.68,3.167
AboutTime_011,3.667,4.52,3.5
AboutTime_012,3.667,3.64,3.0
AboutTime_013,2.833,3.8,2.333
AboutTime_014,3.667,4.2,3.167
AboutTime_015,3.667,3.28,3.833
AboutTime_016,4.0,3.8,3.5
AboutTime_018,4.0,3.68,4.0
AboutTime_019,4.167,4.12,4.0
AboutTime_020,3.333,3.68,3.167
AboutTime_021,3.167,3.8,2.833
AboutTime_022,4.833,4.36,4.5
AboutTime_038,3.667,3.48,3.0
AboutTime_042,4.5,4.36,4.333
AboutTime_052,4.167,3.68,4.0
AboutTime_056,4.5,4.36,4.0
AboutTime_068,4.167,3.8,3.667
AboutTime_069,4.5,4.76,4.167
AboutTime_071,4.5,4.64,4.0
AboutTime_073,4.5,4.36,3.833
AboutTime_085,3.333,3.68,2.833
AboutTime_086,4.333,3.68,4.0
AboutTime_095,4.167,4.52,4.167
AboutTime_130,4.0,4.0,4.167
AboutTime_132,4.167,3.8,3.667
AboutTime_133,4.0,4.52,4.0
AboutTime_135,4.667,4.64,4.167
AboutTime_136,4.667,4.88,4.167
Gifted_041,3.0,3.8,2.667
LadyBird_001,3.333,4.2,2.833
LadyBird_017,3.667,4.2,3.167
LadyBird_030,4.333,4.24,4.333
LadyBird_031,2.667,3.52,2.5
LadyBird_055,3.667,3.72,3.5
LadyBird_068,2.167,1.88,1.833
LadyBird_077,4.167,3.68,3.5
LadyBird_088,3.167,3.8,3.333
LadyBird_092,3.0,3.8,2.5
TheBlindSide_000,3.333,4.2,3.0
TheBlindSide_001,3.333,4.2,2.833
TheBlindSide_002,3.667,3.8,3.5
TheBlindSide_003,3.333,3.48,3.167
TheBlindSide_004,4.167,3.68,3.833
TheBlindSide_005,4.0,3.64,3.667
TheBlindSide_008,3.167,2.24,2.833
TheBlindSide_012,3.667,3.68,3.5
TheBlindSide_013,3.833,4.2,3.5
TheBlindSide_014,3.0,3.68,2.5
TheBlindSide_019,4.167,3.68,3.667
TheBlindSide_020,4.333,4.2,3.833
TheBlindSide_021,3.833,4.2,3.667
TheBlindSide_022,4.0,4.2,3.333
TheBlindSide_024,3.0,3.68,2.333
TheBlindSide_025,3.667,3.68,3.667
TheBlindSide_027,3.0,3.68,2.5
TheBlindSide_029,2.5,3.24,2.5
TheBlindSide_031,4.0,3.8,3.333
TheBlindSide_032,3.833,3.68,3.167
TheBlindSide_033,4.0,4.2,3.5
TheBlindSide_034,3.833,3.48,3.667
TheBlindSide_035,3.667,3.68,3.333
TheBlindSide_036,3.333,3.68,3.167
TheBlindSide_037,3.333,4.2,3.333
TheBlindSide_038,4.5,3.68,4.333
TheBlindSide_039,3.333,3.8,3.0
TheBlindSide_040,3.667,3.0,3.333
TheBlindSide_043,3.667,3.8,3.5
TheBlindSide_044,3.0,3.68,3.0
TheBlindSide_046,4.5,3.68,3.833
TheBlindSide_049,4.167,4.2,3.833
TheBlindSide_050,4.0,4.2,3.833
TheBlindSide_053,3.5,3.24,2.667
TheBlindSide_054,4.0,3.52,3.833
TheBlindSide_055,4.333,4.2,4.0
TheBlindSide_057,3.667,3.68,3.167
TheBlindSide_058,4.0,3.68,4.0
TheBlindSide_059,4.333,4.76,4.333
TheBlindSide_060,4.833,4.88,4.5
TheBlindSide_062,3.833,3.68,3.833
TheBlindSide_063,3.833,3.68,3.333
TheBlindSide_064,4.5,4.64,4.5
TheBlindSide_066,3.333,2.36,3.0
TheBlindSide_068,3.5,3.48,3.5
TheBlindSide_069,4.167,3.68,3.667
TheBlindSide_071,3.333,2.52,3.333
TheBlindSide_072,3.667,2.88,3.0
TheBlindSide_073,3.167,3.12,2.667
TheBlindSide_077,4.167,3.68,3.5
TheBlindSide_078,4.0,3.8,3.5
TheBlindSide_079,4.667,4.88,4.5
TheBlindSide_083,3.0,3.2,2.667
TheBlindSide_084,4.0,3.68,3.167
TheBlindSide_086,3.5,3.2,2.667
TheBlindSide_087,3.667,3.8,3.833
TheBlindSide_088,4.333,3.68,3.833
TheBlindSide_089,4.167,3.68,3.667
TheBlindSide_091,4.0,4.0,3.833
TheBlindSide_092,4.167,3.68,4.167
TheFaultInOurStars_002,4.5,4.36,4.5
TheFaultInOurStars_003,4.167,4.0,4.333
TheFaultInOurStars_004,3.833,4.2,3.333
TheFaultInOurStars_005,4.333,3.88,3.5
TheFaultInOurStars_006,3.667,3.48,3.333
TheFaultInOurStars_007,4.0,3.76,4.167
TheFaultInOurStars_008,2.833,3.76,3.333
TheFaultInOurStars_010,4.167,3.68,4.0
TheFaultInOurStars_011,3.833,3.68,4.0
TheFaultInOurStars_012,4.5,4.36,4.333
TheFaultInOurStars_013,4.167,4.52,4.0
