clip_title,clip_order,Nishant_participant_arousal,Nishant_clip_arousal,Nishant_impact_arousal,debjit2001_participant_arousal,debjit2001_clip_arousal,debjit2001_impact_arousal,pranjal123_participant_arousal,pranjal123_clip_arousal,pranjal123_impact_arousal,aritra_participant_arousal,aritra_clip_arousal,aritra_impact_arousal,sayantankuila_participant_arousal,sayantankuila_clip_arousal,sayantankuila_impact_arousal,ajaycc17_participant_arousal,ajaycc17_clip_arousal,ajaycc17_impact_arousal,Expressed_Consensus,Nishant_match_E_P,Nishant_match_P_I,Nishant_drift,debjit2001_match_E_P,debjit2001_match_P_I,debjit2001_drift,pranjal123_match_E_P,pranjal123_match_P_I,pranjal123_drift,aritra_match_E_P,aritra_match_P_I,aritra_drift,sayantankuila_match_E_P,sayantankuila_match_P_I,sayantankuila_drift,ajaycc17_match_E_P,ajaycc17_match_P_I,ajaycc17_drift
AboutTime_000.mp4,0,4,4,4,4,4,4,5,5,4,3,2,1,5,4,3,5,3,3,4.0,True,True,0,True,True,0,False,False,-1,False,False,-2,True,False,-2,False,True,-2
AboutTime_001.mp4,1,4,3,3,5,5,3,5,5,4,3,4,4,5,3,3,4,3,3,3.5,False,True,-1,False,False,-2,False,False,-1,False,True,1,False,True,-2,False,True,-1
AboutTime_002.mp4,2,4,3,3,5,5,5,5,5,4,3,3,3,5,4,5,4,3,3,3.5,False,True,-1,False,True,0,False,False,-1,False,True,0,False,False,0,False,True,-1
AboutTime_003.mp4,3,4,3,3,4,4,3,5,5,3,3,2,2,5,4,5,4,2,2,3.5,False,True,-1,False,False,-1,False,False,-2,False,True,-1,False,False,0,False,True,-2
AboutTime_004.mp4,4,4,2,3,5,4,3,5,5,4,3,2,2,5,4,4,5,4,4,4.0,False,False,-1,True,False,-2,False,False,-1,False,True,-1,True,True,-1,True,True,-1
AboutTime_005.mp4,5,4,4,4,4,4,3,5,5,5,3,1,2,5,5,5,5,3,4,4.0,True,True,0,True,False,-1,False,True,0,False,False,-1,False,True,0,False,False,-1
AboutTime_006.mp4,6,4,3,3,4,4,3,5,3,2,3,1,1,5,5,5,5,3,3,3.0,True,True,-1,False,False,-1,True,False,-3,False,True,-2,False,True,0,True,True,-2
AboutTime_007.mp4,7,4,3,4,4,2,3,5,3,3,3,1,1,5,3,4,5,4,3,3.0,True,False,0,False,False,-1,True,True,-2,False,True,-2,True,False,-1,False,False,-2
AboutTime_008.mp4,8,4,4,4,4,3,3,5,2,2,3,1,1,5,3,4,4,2,2,2.5,False,True,0,False,True,-1,False,True,-3,False,True,-2,False,False,-1,False,True,-2
AboutTime_009.mp4,9,4,1,1,4,3,2,5,3,2,3,4,4,5,3,3,5,4,3,3.0,False,True,-3,True,False,-2,True,False,-3,False,True,1,True,True,-2,False,False,-2
AboutTime_010.mp4,10,4,2,2,5,5,3,5,4,3,3,2,2,5,4,4,4,4,3,4.0,False,True,-2,False,False,-2,True,False,-2,False,True,-1,True,True,-1,True,False,-1
AboutTime_011.mp4,11,4,4,4,4,5,4,5,5,5,3,3,3,5,3,4,5,2,2,3.5,False,True,0,False,False,0,False,True,0,False,True,0,False,False,-1,False,True,-3
AboutTime_012.mp4,12,4,3,3,4,4,3,5,4,3,3,1,1,5,4,5,4,2,3,3.5,False,True,-1,False,False,-1,False,False,-2,False,True,-2,False,False,0,False,False,-1
AboutTime_013.mp4,13,4,2,1,4,3,2,5,4,1,3,2,2,5,3,3,5,2,1,2.5,False,False,-3,False,False,-2,False,False,-4,False,True,-1,False,True,-2,False,False,-4
AboutTime_014.mp4,14,4,4,4,5,5,3,5,4,3,4,4,4,5,3,3,4,4,3,4.0,True,True,0,False,False,-2,True,False,-2,True,True,0,False,True,-2,True,False,-1
