clip_id,Nishant_valence,debjit2001_valence,pranjal123_valence,aritra_valence,sayantankuila_valence,ajaycc17_valence,avg_valence
AboutTime_000.mp4,3,5,4,2,4,3,3.5
AboutTime_001.mp4,4,4,5,4,4,5,4.333
AboutTime_002.mp4,3,5,5,3,5,5,4.333
AboutTime_003.mp4,4,5,5,2,5,4,4.167
AboutTime_004.mp4,3,5,5,3,4,3,3.833
AboutTime_005.mp4,4,3,5,2,5,2,3.5
AboutTime_006.mp4,4,4,5,2,4,4,3.833
AboutTime_007.mp4,4,3,4,2,3,3,3.167
AboutTime_008.mp4,4,4,3,2,3,3,3.167
AboutTime_009.mp4,3,4,3,3,3,4,3.333
AboutTime_010.mp4,3,4,5,2,4,3,3.5
AboutTime_011.mp4,3,4,5,3,4,3,3.667
AboutTime_012.mp4,4,4,4,2,5,3,3.667
AboutTime_013.mp4,2,4,4,2,3,2,2.833
AboutTime_014.mp4,3,4,5,3,3,4,3.667
AboutTime_015.mp4,4,4,4,1,4,5,3.667
AboutTime_016.mp4,3,4,5,3,4,5,4.0
AboutTime_017.mp4,4,4,4,3,3,4,3.667
AboutTime_018.mp4,3,4,5,3,4,5,4.0
AboutTime_019.mp4,4,5,4,3,4,5,4.167
AboutTime_020.mp4,3,3,4,2,4,4,3.333
AboutTime_021.mp4,4,3,4,2,3,3,3.167
AboutTime_022.mp4,5,5,4,5,5,5,4.833
AboutTime_024.mp4,4,3,5,3,4,2,3.5
AboutTime_031.mp4,4,4,4,3,5,5,4.167
AboutTime_032.mp4,3,4,5,2,4,4,3.667
AboutTime_035.mp4,3,4,5,2,2,3,3.167
AboutTime_038.mp4,3,4,4,3,4,4,3.667
AboutTime_042.mp4,4,5,5,4,4,5,4.5
AboutTime_046.mp4,4,5,4,4,4,5,4.333
AboutTime_048.mp4,5,4,5,4,5,3,4.333
AboutTime_052.mp4,4,4,5,3,5,4,4.167
AboutTime_056.mp4,4,5,5,4,5,4,4.5
AboutTime_066.mp4,4,5,5,5,5,5,4.833
AboutTime_068.mp4,4,4,5,2,5,5,4.167
AboutTime_069.mp4,5,4,5,3,5,5,4.5
AboutTime_071.mp4,4,5,5,4,5,4,4.5
AboutTime_073.mp4,4,5,5,3,5,5,4.5
AboutTime_075.mp4,4,5,5,5,4,5,4.667
AboutTime_077.mp4,3,5,5,3,4,2,3.667
AboutTime_085.mp4,3,4,4,2,4,3,3.333
AboutTime_086.mp4,3,5,5,4,4,5,4.333
AboutTime_091.mp4,4,4,2,1,4,1,2.667
AboutTime_095.mp4,3,4,5,4,4,5,4.167
AboutTime_117.mp4,3,3,4,2,2,4,3.0
AboutTime_120.mp4,4,2,4,1,5,2,3.0
AboutTime_130.mp4,2,5,5,3,4,5,4.0
AboutTime_131.mp4,3,5,5,2,4,5,4.0
AboutTime_132.mp4,3,5,5,3,4,5,4.167
AboutTime_133.mp4,3,5,4,3,5,4,4.0
AboutTime_134.mp4,4,4,5,4,5,5,4.5
AboutTime_135.mp4,4,5,5,4,5,5,4.667
AboutTime_136.mp4,3,5,5,5,5,5,4.667
Gifted_041.mp4,3,3,4,2,3,3,3.0
Gifted_045.mp4,4,3,4,1,3,3,3.0
Gifted_049.mp4,4,5,5,5,5,5,4.833
LadyBird_001.mp4,4,3,4,1,5,3,3.333
LadyBird_003.mp4,3,2,3,2,1,2,2.167
LadyBird_005.mp4,4,3,3,2,1,2,2.5
LadyBird_011.mp4,4,5,5,3,5,4,4.333
LadyBird_013.mp4,4,4,4,4,4,4,4.0
LadyBird_017.mp4,4,4,5,2,4,3,3.667
LadyBird_019.mp4,3,4,3,1,2,2,2.5
LadyBird_024.mp4,4,5,4,4,5,4,4.333
LadyBird_030.mp4,3,5,4,5,4,5,4.333
LadyBird_031.mp4,3,3,3,2,3,2,2.667
LadyBird_045.mp4,3,4,5,1,4,4,3.5
LadyBird_048.mp4,4,3,3,1,2,2,2.5
LadyBird_054.mp4,4,5,5,3,4,4,4.167
LadyBird_055.mp4,3,4,5,3,3,4,3.667
LadyBird_056.mp4,3,5,4,2,5,5,4.0
LadyBird_057.mp4,2,3,4,2,3,2,2.667
LadyBird_066.mp4,3,3,4,5,4,2,3.5
LadyBird_068.mp4,3,3,3,2,1,1,2.167
LadyBird_069.mp4,4,3,3,1,1,2,2.333
LadyBird_077.mp4,4,5,5,3,4,4,4.167
LadyBird_080.mp4,3,4,4,1,2,2,2.667
LadyBird_081.mp4,3,3,4,2,3,3,3.0
LadyBird_088.mp4,4,3,5,3,3,1,3.167
LadyBird_092.mp4,4,3,4,2,3,2,3.0
LadyBird_093.mp4,3,4,4,3,4,4,3.667
LadyBird_099.mp4,3,3,4,2,3,2,2.833
LadyBird_104.mp4,3,3,4,2,1,2,2.5
LadyBird_109.mp4,3,3,5,2,3,3,3.167
LadyBird_110.mp4,3,4,4,2,3,3,3.167
TheBlindSide_000.mp4,3,4,4,2,3,4,3.333
TheBlindSide_001.mp4,4,3,5,2,3,3,3.333
TheBlindSide_002.mp4,3,4,5,3,4,3,3.667
TheBlindSide_003.mp4,3,4,4,3,3,3,3.333
TheBlindSide_004.mp4,4,5,4,3,4,5,4.167
TheBlindSide_005.mp4,3,4,5,3,5,4,4.0
TheBlindSide_006.mp4,3,4,3,2,3,2,2.833
TheBlindSide_007.mp4,3,3,3,2,3,2,2.667
TheBlindSide_008.mp4,3,5,4,3,2,2,3.167
TheBlindSide_009.mp4,2,5,3,2,3,2,2.833
TheBlindSide_010.mp4,4,5,5,3,4,3,4.0
TheBlindSide_011.mp4,3,2,5,1,3,3,2.833
TheBlindSide_012.mp4,4,4,4,3,3,4,3.667
TheBlindSide_013.mp4,3,5,4,4,2,5,3.833
TheBlindSide_014.mp4,3,3,3,2,4,3,3.0
TheBlindSide_015.mp4,2,3,4,2,4,3,3.0
TheBlindSide_016.mp4,3,3,5,2,4,3,3.333
TheBlindSide_017.mp4,3,4,5,4,4,2,3.667
TheBlindSide_018.mp4,3,4,4,2,3,3,3.167
TheBlindSide_019.mp4,5,3,5,3,4,5,4.167
TheBlindSide_020.mp4,3,5,5,5,4,4,4.333
TheBlindSide_021.mp4,4,5,4,3,4,3,3.833
TheBlindSide_022.mp4,3,5,4,3,5,4,4.0
TheBlindSide_024.mp4,3,4,4,1,3,3,3.0
TheBlindSide_025.mp4,4,4,4,3,3,4,3.667
TheBlindSide_027.mp4,3,2,4,3,4,2,3.0
TheBlindSide_028.mp4,3,3,4,2,2,2,2.667
TheBlindSide_029.mp4,4,3,2,2,2,2,2.5
TheBlindSide_031.mp4,4,5,4,4,4,3,4.0
TheBlindSide_032.mp4,3,5,5,3,3,4,3.833
TheBlindSide_033.mp4,3,5,5,4,3,4,4.0
TheBlindSide_034.mp4,3,5,4,4,3,4,3.833
TheBlindSide_035.mp4,3,5,4,5,3,2,3.667
TheBlindSide_036.mp4,3,4,5,2,3,3,3.333
TheBlindSide_037.mp4,3,4,4,3,3,3,3.333
TheBlindSide_038.mp4,3,5,5,4,5,5,4.5
TheBlindSide_039.mp4,3,5,4,3,3,2,3.333
TheBlindSide_040.mp4,4,4,5,3,4,2,3.667
TheBlindSide_041.mp4,3,5,5,4,4,4,4.167
TheBlindSide_042.mp4,3,5,4,4,5,4,4.167
TheBlindSide_043.mp4,4,4,3,5,4,2,3.667
TheBlindSide_044.mp4,3,3,4,3,3,2,3.0
TheBlindSide_045.mp4,3,5,4,3,5,5,4.167
TheBlindSide_046.mp4,3,5,5,4,5,5,4.5
TheBlindSide_049.mp4,4,5,4,4,4,4,4.167
TheBlindSide_050.mp4,3,5,5,3,4,4,4.0
TheBlindSide_052.mp4,2,4,5,4,5,3,3.833
TheBlindSide_053.mp4,4,4,4,2,3,4,3.5
TheBlindSide_054.mp4,3,5,5,3,3,5,4.0
TheBlindSide_055.mp4,4,5,5,4,3,5,4.333
TheBlindSide_056.mp4,4,5,5,5,5,5,4.833
TheBlindSide_057.mp4,4,4,5,3,3,3,3.667
TheBlindSide_058.mp4,3,4,4,4,5,4,4.0
TheBlindSide_059.mp4,3,5,4,4,5,5,4.333
TheBlindSide_060.mp4,4,5,5,5,5,5,4.833
TheBlindSide_061.mp4,4,5,5,4,3,5,4.333
TheBlindSide_062.mp4,3,4,5,3,4,4,3.833
TheBlindSide_063.mp4,4,4,4,3,3,5,3.833
TheBlindSide_064.mp4,4,5,5,3,5,5,4.5
TheBlindSide_065.mp4,3,3,4,1,2,2,2.5
TheBlindSide_066.mp4,3,4,4,2,3,4,3.333
TheBlindSide_067.mp4,3,3,2,2,1,2,2.167
TheBlindSide_068.mp4,3,5,4,3,2,4,3.5
TheBlindSide_069.mp4,4,5,5,2,4,5,4.167
TheBlindSide_071.mp4,3,4,4,2,4,3,3.333
TheBlindSide_072.mp4,3,4,4,3,5,3,3.667
TheBlindSide_073.mp4,3,3,4,2,3,4,3.167
TheBlindSide_075.mp4,3,3,4,3,3,3,3.167
TheBlindSide_076.mp4,3,4,4,2,2,4,3.167
TheBlindSide_077.mp4,3,5,5,4,3,5,4.167
TheBlindSide_078.mp4,3,5,4,4,4,4,4.0
TheBlindSide_079.mp4,3,5,5,5,5,5,4.667
TheBlindSide_080.mp4,3,4,5,4,4,5,4.167
TheBlindSide_081.mp4,3,3,3,2,2,2,2.5
TheBlindSide_082.mp4,3,3,4,2,3,2,2.833
TheBlindSide_083.mp4,3,3,4,2,4,2,3.0
TheBlindSide_084.mp4,3,4,4,5,4,4,4.0
TheBlindSide_085.mp4,4,2,4,2,5,4,3.5
TheBlindSide_086.mp4,4,4,5,3,3,2,3.5
TheBlindSide_087.mp4,3,5,4,4,2,4,3.667
TheBlindSide_088.mp4,4,5,5,4,3,5,4.333
TheBlindSide_089.mp4,3,4,5,4,4,5,4.167
TheBlindSide_091.mp4,3,5,5,3,3,5,4.0
TheBlindSide_092.mp4,3,5,4,5,4,4,4.167
TheBlindSide_093.mp4,3,5,5,4,5,5,4.5
TheFaultInOurStars_000.mp4,3,5,4,3,4,4,3.833
TheFaultInOurStars_001.mp4,3,5,4,4,4,4,4.0
TheFaultInOurStars_002.mp4,4,5,5,5,4,4,4.5
TheFaultInOurStars_003.mp4,3,4,5,5,3,5,4.167
TheFaultInOurStars_004.mp4,3,4,5,3,5,3,3.833
TheFaultInOurStars_005.mp4,4,5,5,3,4,5,4.333
TheFaultInOurStars_006.mp4,4,4,4,2,4,4,3.667
TheFaultInOurStars_007.mp4,3,4,5,3,4,5,4.0
TheFaultInOurStars_008.mp4,3,4,4,2,3,1,2.833
TheFaultInOurStars_009.mp4,4,5,4,3,4,5,4.167
TheFaultInOurStars_010.mp4,4,5,5,3,4,4,4.167
TheFaultInOurStars_011.mp4,4,4,5,3,3,4,3.833
