clip_title,Resonance_Rate,Average_Drift,Absolute_Drift_Magnitude
TheFaultInOurStars_060.mp4,0.5,-3.0,3.0
LadyBird_068.mp4,0.167,-2.667,2.667
TheFaultInOurStars_062.mp4,0.333,-2.667,2.667
TheBlindSide_009.mp4,0.5,-2.667,2.667
TheBlindSide_044.mp4,0.5,-2.667,2.667
AboutTime_013.mp4,0.333,-2.667,2.667
TheTheoryOfEverything_018.mp4,0.5,-2.5,2.5
TheBlindSide_024.mp4,0.5,-2.5,2.5
TheBlindSide_014.mp4,0.5,-2.5,2.5
LadyBird_092.mp4,0.667,-2.5,2.5
TheBlindSide_067.mp4,0.5,-2.5,2.5
TheBlindSide_011.mp4,0.667,-2.5,2.5
AboutTime_021.mp4,0.333,-2.333,2.333
TheFaultInOurStars_061.mp4,0.167,-2.333,2.333
AboutTime_035.mp4,0.0,-2.333,2.333
TheBlindSide_008.mp4,0.333,-2.333,2.333
TheBlindSide_021.mp4,0.167,-2.333,2.333
LadyBird_109.mp4,0.333,-2.333,2.333
TheBlindSide_088.mp4,0.5,-2.333,2.333
TheBlindSide_040.mp4,0.667,-2.333,2.333
TheBlindSide_075.mp4,0.667,-2.333,2.333
TheTheoryOfEverything_042.mp4,0.667,-2.333,2.333
TheBlindSide_072.mp4,0.333,-2.333,2.333
AboutTime_085.mp4,0.667,-2.333,2.333
AboutTime_117.mp4,0.667,-2.333,2.333
LadyBird_099.mp4,0.5,-2.167,2.167
LadyBird_048.mp4,0.333,-2.167,2.167
LadyBird_003.mp4,0.167,-2.167,2.167
TheTheoryOfEverything_048.mp4,0.5,-2.167,2.167
TheFaultInOurStars_014.mp4,0.667,-2.167,2.167
TheTheoryOfEverything_031.mp4,0.667,-2.167,2.167
TheBlindSide_066.mp4,0.5,-2.167,2.167
TheBlindSide_028.mp4,0.5,-2.167,2.167
TheBlindSide_027.mp4,0.333,-2.167,2.167
TheFaultInOurStars_070.mp4,0.667,-2.167,2.167
LadyBird_055.mp4,0.167,-2.167,2.167
TheFaultInOurStars_074.mp4,0.5,-2.167,2.167
TheTheoryOfEverything_003.mp4,0.5,-2.167,2.167
TheSpectacularNow_068.mp4,0.333,-2.167,2.167
TheTheoryOfEverything_039.mp4,0.5,-2.167,2.167
TheBlindSide_006.mp4,0.5,-2.167,2.167
TheBlindSide_013.mp4,0.5,-2.167,2.167
TheBlindSide_065.mp4,0.0,-2.167,2.167
TheTheoryOfEverything_041.mp4,0.333,-2.167,2.167
LadyBird_057.mp4,0.667,-2.0,2.0
TheFaultInOurStars_072.mp4,0.667,-2.0,2.0
TheFaultInOurStars_063.mp4,0.5,-2.0,2.0
TheBlindSide_018.mp4,0.333,-2.0,2.0
TheBlindSide_076.mp4,0.5,-2.0,2.0
TheBlindSide_073.mp4,0.5,-2.0,2.0
LadyBird_104.mp4,0.333,-2.0,2.0
LadyBird_110.mp4,0.5,-2.0,2.0
TheBlindSide_052.mp4,0.0,-2.0,2.0
TheBlindSide_037.mp4,0.667,-2.0,2.0
TheBlindSide_041.mp4,0.667,-2.0,2.0
TheFaultInOurStars_077.mp4,0.5,-2.0,2.0
TheTheoryOfEverything_005.mp4,0.333,-2.0,2.0
TheTheoryOfEverything_030.mp4,0.5,-2.0,2.0
TheFaultInOurStars_004.mp4,0.333,-2.0,2.0
TheBlindSide_092.mp4,0.333,-2.0,2.0
TheBlindSide_089.mp4,0.667,-2.0,2.0
TheFaultInOurStars_000.mp4,0.167,-2.0,2.0
TheBlindSide_002.mp4,0.667,-2.0,2.0
TheBlindSide_084.mp4,0.667,-2.0,2.0
TheTheoryOfEverything_057.mp4,0.333,-2.0,2.0
TheBlindSide_003.mp4,0.5,-2.0,2.0
AboutTime_120.mp4,0.167,-1.833,1.833
TheTheoryOfEverything_051.mp4,0.667,-1.833,1.833
TheBlindSide_049.mp4,0.333,-1.833,1.833
TheBlindSide_082.mp4,0.333,-1.833,1.833
AboutTime_009.mp4,0.5,-1.833,1.833
LadyBird_001.mp4,0.333,-1.833,1.833
LadyBird_031.mp4,0.0,-1.833,1.833
TheSpectacularNow_023.mp4,0.667,-1.833,1.833
TheFaultInOurStars_065.mp4,0.667,-1.833,1.833
Gifted_041.mp4,0.833,-1.833,1.833
LadyBird_019.mp4,0.667,-1.833,1.833
AboutTime_077.mp4,0.333,-1.833,1.833
