clip_title,Resonance_Rate,Average_Drift,Absolute_Drift_Magnitude
TheTheoryOfEverything_018.mp4,0.5,-2.5,2.5
TheFaultInOurStars_070.mp4,0.667,-2.5,2.5
TheBlindSide_011.mp4,0.5,-2.5,2.5
LadyBird_068.mp4,0.333,-2.5,2.5
TheFaultInOurStars_061.mp4,0.5,-2.5,2.5
TheBlindSide_028.mp4,0.5,-2.5,2.5
TheTheoryOfEverything_042.mp4,0.5,-2.5,2.5
TheTheoryOfEverything_043.mp4,0.833,-2.333,2.333
LadyBird_069.mp4,0.5,-2.333,2.333
LadyBird_005.mp4,0.167,-2.333,2.333
TheBlindSide_067.mp4,0.667,-2.333,2.333
TheTheoryOfEverything_039.mp4,0.667,-2.333,2.333
TheFaultInOurStars_060.mp4,0.667,-2.167,2.167
LadyBird_019.mp4,0.5,-2.167,2.167
TheFaultInOurStars_077.mp4,0.833,-2.167,2.167
TheBlindSide_009.mp4,0.833,-2.0,2.0
LadyBird_080.mp4,0.5,-2.0,2.0
LadyBird_092.mp4,0.333,-2.0,2.0
LadyBird_104.mp4,0.333,-2.0,2.0
TheSpectacularNow_068.mp4,0.5,-2.0,2.0
AboutTime_035.mp4,0.333,-2.0,2.0
TheBlindSide_029.mp4,0.667,-2.0,2.0
TheBlindSide_027.mp4,0.667,-2.0,2.0
TheBlindSide_014.mp4,0.5,-2.0,2.0
TheBlindSide_082.mp4,0.333,-2.0,2.0
TheTheoryOfEverything_041.mp4,0.5,-2.0,2.0
AboutTime_013.mp4,0.167,-2.0,2.0
TheBlindSide_024.mp4,0.5,-2.0,2.0
TheBlindSide_065.mp4,0.667,-2.0,2.0
LadyBird_099.mp4,0.667,-1.833,1.833
LadyBird_109.mp4,0.667,-1.833,1.833
TheBlindSide_001.mp4,0.5,-1.833,1.833
LadyBird_031.mp4,0.5,-1.833,1.833
LadyBird_057.mp4,0.333,-1.833,1.833
Gifted_041.mp4,0.333,-1.833,1.833
AboutTime_117.mp4,0.5,-1.833,1.833
TheTheoryOfEverything_021.mp4,0.5,-1.833,1.833
AboutTime_009.mp4,0.333,-1.833,1.833
TheBlindSide_073.mp4,0.5,-1.833,1.833
LadyBird_048.mp4,0.333,-1.833,1.833
TheBlindSide_086.mp4,0.333,-1.833,1.833
