clip_title,clip_order,Nishant_participant_valence,Nishant_clip_valence,Nishant_impact_valence,debjit2001_participant_valence,debjit2001_clip_valence,debjit2001_impact_valence,pranjal123_participant_valence,pranjal123_clip_valence,pranjal123_impact_valence,aritra_participant_valence,aritra_clip_valence,aritra_impact_valence,sayantankuila_participant_valence,sayantankuila_clip_valence,sayantankuila_impact_valence,ajaycc17_participant_valence,ajaycc17_clip_valence,ajaycc17_impact_valence
AboutTime_000.mp4,0,5,3,4,4,5,4,5,4,4,4,2,1,4,4,3,4,3,3
AboutTime_001.mp4,1,5,4,4,5,4,4,5,5,4,4,4,4,5,4,3,4,5,4
AboutTime_002.mp4,2,5,3,3,5,5,5,5,5,4,3,3,3,4,5,4,4,5,5
AboutTime_003.mp4,3,5,4,4,4,5,5,5,5,4,4,2,2,4,5,4,4,4,4
AboutTime_004.mp4,4,5,3,3,5,5,4,5,5,4,3,3,2,4,4,4,4,3,3
AboutTime_005.mp4,5,5,4,4,4,3,3,5,5,4,3,2,2,4,5,5,4,2,3
AboutTime_006.mp4,6,5,4,3,4,4,4,5,5,5,3,2,1,5,4,4,4,4,4
AboutTime_007.mp4,7,4,4,4,4,3,3,5,4,3,3,2,2,4,3,3,4,3,4
AboutTime_008.mp4,8,4,4,5,4,4,3,5,3,2,4,2,1,5,3,4,4,3,4
AboutTime_009.mp4,9,5,3,2,4,4,3,5,3,2,4,3,3,5,3,3,4,4,3
AboutTime_010.mp4,10,5,3,3,5,4,4,5,5,3,4,2,2,4,4,4,4,3,3
AboutTime_011.mp4,11,5,3,3,4,4,3,5,5,5,4,3,3,4,4,4,4,3,3
AboutTime_012.mp4,12,5,4,4,4,4,3,5,4,3,3,2,1,4,5,4,4,3,3
AboutTime_013.mp4,13,5,2,1,4,4,3,5,4,3,4,2,2,4,3,2,4,2,3
AboutTime_014.mp4,14,5,3,3,5,4,3,5,5,3,4,3,3,4,3,3,4,4,4
AboutTime_015.mp4,15,4,4,5,5,4,4,5,4,3,4,1,1,4,4,5,4,5,5
AboutTime_016.mp4,16,4,3,3,5,4,4,5,5,5,4,3,1,5,4,3,4,5,5
AboutTime_017.mp4,17,4,4,4,4,4,4,5,4,4,4,3,3,4,3,3,4,4,4
AboutTime_018.mp4,18,4,3,4,5,4,4,5,5,5,4,3,3,4,4,3,4,5,5
AboutTime_019.mp4,19,5,4,4,4,5,4,5,4,4,4,3,3,4,4,5,4,5,4
AboutTime_020.mp4,20,5,3,4,4,3,3,5,4,3,3,2,1,5,4,4,4,4,4
AboutTime_021.mp4,21,4,4,3,5,3,3,5,4,3,3,2,2,5,3,3,4,3,3
AboutTime_022.mp4,22,5,5,5,4,5,4,5,4,3,5,5,5,5,5,5,4,5,5
AboutTime_024.mp4,23,4,4,4,4,3,3,5,5,4,4,3,3,4,4,4,4,2,1
AboutTime_031.mp4,24,4,4,3,5,4,3,5,4,3,3,3,2,4,5,5,4,5,4
AboutTime_032.mp4,25,4,3,4,4,4,4,5,5,4,4,2,2,4,4,4,4,4,3
AboutTime_035.mp4,26,5,3,3,4,4,3,5,5,4,4,2,1,5,2,2,4,3,2
AboutTime_038.mp4,27,5,3,3,4,4,4,5,4,3,4,3,1,4,4,3,4,4,4
AboutTime_042.mp4,28,5,4,3,4,5,5,5,5,5,4,4,4,4,4,4,4,5,5
AboutTime_046.mp4,29,5,4,4,5,5,5,5,4,4,4,4,4,4,4,4,4,5,5
AboutTime_048.mp4,30,4,5,5,4,4,4,5,5,5,4,4,4,5,5,5,4,3,4
AboutTime_052.mp4,31,5,4,3,4,4,4,5,5,5,3,3,3,5,5,5,4,4,4
AboutTime_056.mp4,32,5,4,4,4,5,4,5,5,4,4,4,3,4,5,5,4,4,4
AboutTime_066.mp4,33,5,4,4,5,5,5,5,5,5,5,5,5,4,5,4,4,5,5
AboutTime_068.mp4,34,5,4,4,5,4,4,5,5,5,3,2,1,5,5,4,4,5,4
AboutTime_069.mp4,35,5,5,4,4,4,4,5,5,4,4,3,3,5,5,5,4,5,5
AboutTime_071.mp4,36,5,4,5,5,5,4,5,5,4,4,4,2,5,5,5,4,4,4
AboutTime_073.mp4,37,5,4,3,5,5,4,5,5,5,4,3,3,5,5,4,4,5,4
AboutTime_075.mp4,38,4,4,4,5,5,5,5,5,3,3,5,5,5,4,4,4,5,5
AboutTime_077.mp4,39,5,3,4,4,5,4,5,5,4,4,3,1,4,4,4,4,2,3
AboutTime_085.mp4,40,5,3,2,5,4,4,5,4,3,3,2,1,5,4,4,4,3,3
AboutTime_086.mp4,41,5,3,3,4,5,4,5,5,5,4,4,4,5,4,4,4,5,4
AboutTime_091.mp4,42,4,4,3,5,4,4,5,2,2,3,1,1,4,4,5,4,1,3
AboutTime_095.mp4,43,4,3,3,4,4,5,5,5,5,4,4,3,5,4,4,4,5,5
AboutTime_117.mp4,44,5,3,3,5,3,3,5,4,3,3,2,1,4,2,2,4,4,3
AboutTime_120.mp4,45,4,4,3,5,2,2,5,4,3,3,1,1,4,5,5,4,2,2
AboutTime_130.mp4,46,5,2,4,4,5,4,5,5,4,5,3,3,4,4,5,4,5,5
AboutTime_131.mp4,47,5,3,3,5,5,4,5,5,5,4,2,2,4,4,4,4,5,5
AboutTime_132.mp4,48,5,3,3,4,5,4,5,5,5,3,3,2,5,4,4,4,5,4
AboutTime_133.mp4,49,4,3,3,5,5,5,5,4,3,3,3,3,4,5,5,4,4,5
AboutTime_134.mp4,50,5,4,4,4,4,3,5,5,4,4,4,4,5,5,5,4,5,5
AboutTime_135.mp4,51,5,4,3,5,5,5,5,5,4,5,4,4,5,5,5,4,5,4
AboutTime_136.mp4,52,5,3,4,4,5,5,5,5,4,4,5,3,5,5,4,4,5,5
Gifted_041.mp4,53,5,3,3,4,3,2,5,4,3,4,2,1,5,3,4,4,3,3
Gifted_045.mp4,54,4,4,3,4,3,3,5,4,2,4,1,1,5,3,5,4,3,3
