type,frequency,target,result,status,is_primary,start_date,end_date,created_on,edited_on
ACTIVE_ZONE_MINUTES_GOAL,DAILY,22.0,null,null,false,null,null,null,null
ACTIVE_ZONE_MINUTES_GOAL,WEEKLY,150.0,null,null,false,null,null,null,null
CALORIES_BURNED_GOAL,DAILY,2557.0,1343.0,INPROGRESS_SO_FAR_MISSED,false,2025-12-26,2025-12-27,2025-03-25T07:43:35.000+00:00,null
STEPS_GOAL,DAILY,10000.0,5148.0,INPROGRESS_SO_FAR_MISSED,false,2025-12-16,2025-12-17,2025-03-25T07:43:35.000+00:00,null
FLOORS_CLIMBED_GOAL,DAILY,10.0,0.0,INPROGRESS_SO_FAR_MISSED,false,2025-12-11,2025-12-12,2025-03-25T07:43:35.000+00:00,null
DISTANCE_FROM_STEPS_GOAL,DAILY,5.0,3.16689,INPROGRESS_SO_FAR_MISSED,false,2025-12-16,2025-12-17,2025-03-25T07:43:35.000+00:00,null
ACTIVE_MINUTES_GOAL,DAILY,30.0,3.0,INPROGRESS_SO_FAR_MISSED,false,2025-12-26,2025-12-27,2025-03-25T07:43:35.000+00:00,null
STEPS_GOAL,WEEKLY,70000.0,19895.0,INPROGRESS_SO_FAR_MISSED,true,2025-12-14,2025-12-21,2025-03-25T07:43:35.000+00:00,null
DISTANCE_FROM_STEPS_GOAL,WEEKLY,35.0,12.2745,INPROGRESS_SO_FAR_MISSED,false,2025-12-14,2025-12-21,2025-03-25T07:43:35.000+00:00,null
FLOORS_CLIMBED_GOAL,WEEKLY,70.0,3.0,INPROGRESS_SO_FAR_MISSED,false,2025-12-07,2025-12-14,2025-03-25T07:43:35.000+00:00,null
CALORIES_BURNED_GOAL,WEEKLY,17899.0,15613.0,INPROGRESS_SO_FAR_MISSED,false,2025-12-21,2025-12-28,2025-03-25T07:43:35.000+00:00,null
WATER_GOAL,DAILY,1893.0,0.0,INPROGRESS_SO_FAR_MISSED,false,2025-03-22,2025-03-29,2025-03-25T07:43:35.000+00:00,null
