name,objectives,schedule,status,update_time,meta
daily-active-minutes,"MEASURE: active-minutes, TARGET: AT_LEAST(30)",DAILY,ENABLED,2025-03-25 07:43:35+0000,
daily-azm,"MEASURE: active-zone-minutes, TARGET: AT_LEAST(22)",DAILY,ENABLED,1970-01-01 00:00:00+0000,
daily-bedtime,"MEASURE: bedtime, TARGET: <UNKNOWN>",DAILY,DISABLED,2025-03-25 07:43:35+0000,
daily-distance,"MEASURE: steps-distance, TARGET: AT_LEAST(8046720)",DAILY,ENABLED,2025-03-25 07:43:35+0000,
daily-energy-burned,"MEASURE: energy-burned, TARGET: AT_LEAST(2557)",DAILY,ENABLED,2025-03-25 07:43:35+0000,
daily-floors,"MEASURE: floors-count, TARGET: AT_LEAST(10)",DAILY,ENABLED,2025-03-25 07:43:35+0000,
daily-sleep-duration,"MEASURE: sleep-duration, TARGET: AT_LEAST(28800)",DAILY,ENABLED,2025-03-25 07:43:35+0000,
daily-steps,"MEASURE: steps-count, TARGET: AT_LEAST(10000)",DAILY,ENABLED,2025-03-25 07:43:35+0000,
daily-wake-time,"MEASURE: wake-time, TARGET: <UNKNOWN>",DAILY,DISABLED,2025-03-25 07:43:35+0000,
daily-water-consumed,"MEASURE: water-consumed-ml, TARGET: AT_LEAST(1893)",DAILY,ENABLED,2025-03-25 07:43:35+0000,
weekly-azm,"MEASURE: active-zone-minutes, TARGET: AT_LEAST(150)",WEEKLY,ENABLED,1970-01-01 00:00:00+0000,
weekly-distance,"MEASURE: steps-distance, TARGET: AT_LEAST(56327040)",DAILY,ENABLED,2025-03-25 07:43:35+0000,
weekly-energy-burned,"MEASURE: energy-burned, TARGET: AT_LEAST(17899)",WEEKLY,ENABLED,2025-03-25 07:43:35+0000,
weekly-exercise-days,"MEASURE: EXERCISE_DAYS, TARGET: AT_LEAST(3)",WEEKLY,ENABLED,1970-01-01 00:00:00+0000,
weekly-floors,"MEASURE: floors-count, TARGET: AT_LEAST(70)",WEEKLY,ENABLED,2025-03-25 07:43:35+0000,
weekly-steps,"MEASURE: steps-count, TARGET: AT_LEAST(70000)",WEEKLY,ENABLED,2025-03-25 07:43:35+0000,
