sleep_id,sleep_type,minutes_in_sleep_period,minutes_after_wake_up,minutes_to_fall_asleep,minutes_asleep,minutes_awake,minutes_longest_awakening,minutes_to_persistent_sleep,start_utc_offset,sleep_start,end_utc_offset,sleep_end,data_source,sleep_created,sleep_last_updated
2958014052330416624,CLASSIC,152,4,0,140,12,0,0,+00:00,2025-03-27 11:48:00+0000,+00:00,2025-03-27 14:24:30+0000,DERIVED,2025-03-27 09:43:00+0000,2025-03-27 09:43:53+0000
3091217777267525816,CLASSIC,221,0,0,221,0,0,0,+05:30,2025-08-10 20:47:30+0000,+05:30,2025-08-11 00:29:00+0000,DERIVED,2025-08-10 20:36:37+0000,2025-08-10 20:36:37+0000
3642033029593333712,STAGES,535,0,0,475,60,0,0,+05:30,2025-08-11 15:33:00+0000,+05:30,2025-08-12 00:28:30+0000,DERIVED,2025-08-11 17:50:06+0000,2025-08-14 11:49:10+0000
3820003127537016,STAGES,237,0,0,92,145,0,0,+05:30,2025-08-07 17:25:00+0000,+05:30,2025-08-07 21:22:30+0000,DERIVED,2025-08-07 16:38:24+0000,2025-08-07 16:38:25+0000
3892750182471838344,CLASSIC,793,0,0,793,0,0,0,+00:00,2025-03-31 16:38:00+0000,+00:00,2025-04-01 05:51:00+0000,DERIVED,2025-04-01 02:23:00+0000,2025-04-01 02:23:53+0000
392408103791922072,CLASSIC,854,0,0,851,3,0,0,+05:30,2025-08-15 15:37:00+0000,+05:30,2025-08-16 05:51:30+0000,DERIVED,2025-08-16 08:50:45+0000,2025-08-16 08:50:45+0000
4825531924581562848,CLASSIC,74,0,0,66,8,0,0,+00:00,2025-03-27 16:33:30+0000,+00:00,2025-03-27 17:47:30+0000,DERIVED,2025-03-27 12:30:00+0000,2025-03-27 12:30:20+0000
4867535924508258776,STAGES,363,0,0,330,33,0,0,+05:30,2025-07-27 06:27:30+0000,+05:30,2025-07-27 12:31:00+0000,DERIVED,2025-07-27 07:14:14+0000,2025-07-27 07:14:14+0000
5465904216023519184,CLASSIC,2183,0,0,2183,0,0,0,+05:30,2025-08-16 15:13:00+0000,+05:30,2025-08-18 03:36:00+0000,DERIVED,2025-08-18 03:53:54+0000,2025-08-18 03:53:54+0000
6120818368111314032,CLASSIC,174,0,0,174,0,0,0,+05:30,2025-12-23 21:04:30+0000,+05:30,2025-12-23 23:58:30+0000,DERIVED,2025-12-23 18:31:41+0000,2025-12-23 18:31:41+0000
6945392388017016432,STAGES,478,0,0,204,274,0,0,+05:30,2025-08-08 22:33:00+0000,+05:30,2025-08-09 06:31:30+0000,DERIVED,2025-08-09 06:45:42+0000,2025-08-09 06:45:42+0000
7017059872009706808,CLASSIC,298,0,0,298,0,0,0,+05:30,2025-08-11 01:42:00+0000,+05:30,2025-08-11 06:40:00+0000,DERIVED,2025-08-11 05:38:05+0000,2025-08-11 05:38:06+0000
727426873006987640,CLASSIC,244,0,0,244,0,0,0,+00:00,2025-03-30 20:54:00+0000,+00:00,2025-03-31 00:58:30+0000,DERIVED,2025-03-30 20:25:00+0000,2025-03-30 20:25:26+0000
8010273938800478928,CLASSIC,412,0,0,411,1,0,0,+00:00,2025-04-02 00:39:00+0000,+00:00,2025-04-02 07:31:30+0000,DERIVED,2025-04-02 04:02:00+0000,2025-04-02 04:02:06+0000
8140734609125299896,CLASSIC,69,0,0,69,0,0,0,+05:30,2025-08-06 20:30:30+0000,+05:30,2025-08-06 21:39:30+0000,DERIVED,2025-08-06 16:14:03+0000,2025-08-06 16:14:03+0000
8774031688076888920,CLASSIC,489,0,0,489,0,0,0,+05:30,2025-08-07 22:24:00+0000,+05:30,2025-08-08 06:33:00+0000,DERIVED,2025-08-08 06:31:40+0000,2025-08-08 06:31:41+0000
9157145380221704568,CLASSIC,169,0,0,169,0,0,0,+05:30,2025-08-06 14:40:30+0000,+05:30,2025-08-06 17:29:30+0000,DERIVED,2025-08-06 12:05:08+0000,2025-08-06 12:05:09+0000
