timestamp,rmssd,coverage,low_frequency,high_frequency
2025-07-27T06:25:00,40.803,0.721,592.843,270.512
2025-07-27T06:30:00,45.956,0.899,768.035,633.306
2025-07-27T06:40:00,49.933,0.92,869.711,552.197
2025-07-27T06:45:00,54.623,0.964,1274.918,612.756
2025-07-27T06:50:00,59.58,0.991,604.065,753.023
2025-07-27T06:55:00,58.496,0.99,428.901,711.986
2025-07-27T07:00:00,62.821,1.004,715.012,947.974
2025-07-27T07:05:00,62.015,0.986,384.467,815.492
2025-07-27T07:10:00,56.764,1.001,479.343,669.516
2025-07-27T07:15:00,56.47,0.97,427.521,668.868
2025-07-27T07:20:00,53.521,0.99,692.018,627.352
2025-07-27T07:25:00,56.667,0.916,3135.452,370.684
2025-07-27T07:30:00,57.047,1.0,266.24,514.254
2025-07-27T07:35:00,59.695,1.003,580.416,641.082
2025-07-27T07:40:00,63.947,0.997,2419.342,783.517
2025-07-27T07:45:00,48.824,1.002,536.169,672.227
2025-07-27T07:50:00,51.926,0.958,985.764,614.984
2025-07-27T07:55:00,50.523,1.002,897.098,624.373
2025-07-27T08:00:00,51.603,0.996,785.529,626.305
2025-07-27T08:05:00,52.155,1.001,591.496,654.09
2025-07-27T08:10:00,52.181,1.002,420.312,629.659
2025-07-27T08:15:00,51.881,0.986,654.352,490.883
2025-07-27T08:20:00,48.661,0.997,331.58,510.35
2025-07-27T08:25:00,47.698,1.008,556.443,511.652
2025-07-27T08:30:00,51.416,0.886,1058.292,659.082
2025-07-27T08:35:00,55.938,0.945,805.892,702.057
2025-07-27T08:40:00,54.276,1.004,449.966,639.432
2025-07-27T08:45:00,55.601,1.001,923.972,659.897
2025-07-27T08:50:00,60.094,0.983,862.194,867.796
2025-07-27T08:55:00,58.724,1.003,1188.516,718.412
2025-07-27T09:00:00,55.931,0.982,607.606,631.966
2025-07-27T09:05:00,50.479,0.951,1642.066,507.079
2025-07-27T09:10:00,39.187,0.99,1234.683,480.508
2025-07-27T09:15:00,47.425,0.986,497.301,386.899
2025-07-27T09:20:00,38.515,0.937,635.393,257.126
2025-07-27T09:25:00,38.343,0.996,1547.301,335.128
2025-07-27T09:30:00,31.341,0.929,2240.311,191.709
2025-07-27T09:35:00,40.085,0.952,1023.51,339.46
2025-07-27T09:40:00,55.821,0.998,1381.443,712.017
2025-07-27T09:45:00,43.333,0.967,822.817,399.392
2025-07-27T09:50:00,47.217,0.956,732.335,572.582
2025-07-27T09:55:00,54.979,0.969,349.319,513.916
2025-07-27T10:00:00,52.693,1.004,271.85,513.666
2025-07-27T10:05:00,52.917,1.004,579.123,521.138
2025-07-27T10:10:00,55.858,0.996,731.506,684.532
2025-07-27T10:15:00,54.78,1.002,529.666,547.853
2025-07-27T10:20:00,61.13,0.893,2501.636,1055.49
2025-07-27T10:25:00,54.102,1.001,732.296,522.352
2025-07-27T10:30:00,49.283,0.97,1306.922,380.82
2025-07-27T10:35:00,58.408,1.002,337.827,576.088
2025-07-27T10:40:00,63.634,0.953,478.021,881.088
2025-07-27T10:45:00,48.484,1.002,1108.181,434.551
2025-07-27T10:50:00,43.647,0.968,970.014,348.118
2025-07-27T10:55:00,33.335,1.001,785.28,228.634
2025-07-27T11:00:00,58.498,0.938,1983.854,862.918
2025-07-27T11:05:00,55.724,0.948,1600.722,777.219
2025-07-27T11:10:00,51.335,0.978,778.528,517.996
2025-07-27T11:15:00,55.747,0.963,1525.21,719.481
2025-07-27T11:20:00,45.348,0.953,936.694,370.13
2025-07-27T11:25:00,40.872,0.948,1243.978,437.484
2025-07-27T11:30:00,57.511,0.924,516.227,707.569
2025-07-27T11:35:00,36.4,1.002,616.324,265.542
2025-07-27T11:40:00,32.866,1.0,221.909,285.549
2025-07-27T11:45:00,33.316,0.99,331.726,239.926
2025-07-27T11:50:00,49.522,0.954,1337.886,490.677
2025-07-27T11:55:00,62.744,0.95,1625.002,662.029
2025-07-27T12:00:00,44.707,0.966,2221.875,607.924
2025-07-27T12:05:00,39.057,0.995,636.558,314.796
2025-07-27T12:10:00,42.55,0.96,1462.458,337.042
2025-07-27T12:15:00,37.444,0.967,1597.417,291.454
2025-07-27T12:20:00,42.799,0.98,784.048,417.774
2025-07-27T12:25:00,44.498,0.981,2316.44,472.54
