timestamp,heart rate zone,total minutes,data source
2025-07-17T16:07:00Z,FAT_BURN,1,Sense
2025-07-17T16:10:00Z,FAT_BURN,1,Sense
2025-07-18T11:32:00Z,FAT_BURN,1,Sense
2025-07-18T11:34:00Z,FAT_BURN,1,Sense
2025-07-18T11:35:00Z,FAT_BURN,1,Sense
2025-07-18T12:58:00Z,FAT_BURN,1,Sense
2025-07-18T15:05:00Z,FAT_BURN,1,Sense
2025-07-19T09:06:00Z,FAT_BURN,1,Sense
2025-07-21T09:18:00Z,FAT_BURN,1,Sense
2025-07-21T09:19:00Z,CARDIO,2,Sense
2025-07-21T09:20:00Z,FAT_BURN,1,Sense
2025-07-21T17:16:00Z,CARDIO,2,Sense
2025-07-21T17:17:00Z,CARDIO,2,Sense
2025-07-22T11:25:00Z,FAT_BURN,1,Sense
2025-07-22T11:26:00Z,FAT_BURN,1,Sense
2025-07-22T11:27:00Z,FAT_BURN,1,Sense
2025-07-22T11:28:00Z,FAT_BURN,1,Sense
2025-07-22T11:29:00Z,FAT_BURN,1,Sense
2025-07-22T11:30:00Z,FAT_BURN,1,Sense
2025-07-22T11:31:00Z,FAT_BURN,1,Sense
2025-07-22T13:55:00Z,FAT_BURN,1,Sense
2025-07-22T14:32:00Z,FAT_BURN,1,Sense
2025-07-22T14:36:00Z,FAT_BURN,1,Sense
2025-07-22T14:37:00Z,FAT_BURN,1,Sense
2025-07-27T12:26:00Z,FAT_BURN,1,Sense 2
2025-07-28T21:23:00Z,FAT_BURN,1,Sense 2
2025-07-28T21:55:00Z,CARDIO,2,Sense 2
2025-07-28T21:56:00Z,CARDIO,2,Sense 2
2025-07-28T21:57:00Z,CARDIO,2,Sense 2
2025-07-28T21:58:00Z,CARDIO,2,Sense 2
2025-07-28T22:00:00Z,CARDIO,2,Sense 2
2025-07-28T22:01:00Z,CARDIO,2,Sense 2
2025-07-28T22:02:00Z,CARDIO,2,Sense 2
2025-07-28T22:03:00Z,CARDIO,2,Sense 2
2025-07-28T22:04:00Z,CARDIO,2,Sense 2
2025-07-28T22:05:00Z,CARDIO,2,Sense 2
2025-07-28T22:06:00Z,CARDIO,2,Sense 2
2025-07-28T22:07:00Z,CARDIO,2,Sense 2
2025-07-28T22:08:00Z,CARDIO,2,Sense 2
2025-07-28T22:09:00Z,CARDIO,2,Sense 2
2025-07-28T22:10:00Z,CARDIO,2,Sense 2
2025-07-28T22:11:00Z,CARDIO,2,Sense 2
2025-07-28T22:12:00Z,CARDIO,2,Sense 2
2025-07-28T22:13:00Z,CARDIO,2,Sense 2
2025-07-28T22:14:00Z,CARDIO,2,Sense 2
2025-07-28T22:15:00Z,CARDIO,2,Sense 2
2025-07-28T22:16:00Z,CARDIO,2,Sense 2
2025-07-28T22:17:00Z,CARDIO,2,Sense 2
2025-07-28T22:18:00Z,CARDIO,2,Sense 2
2025-07-28T22:19:00Z,CARDIO,2,Sense 2
2025-07-28T22:20:00Z,CARDIO,2,Sense 2
2025-07-28T22:21:00Z,CARDIO,2,Sense 2
2025-07-28T22:22:00Z,CARDIO,2,Sense 2
2025-07-28T22:23:00Z,CARDIO,2,Sense 2
2025-07-28T22:24:00Z,CARDIO,2,Sense 2
2025-07-28T22:25:00Z,CARDIO,2,Sense 2
2025-07-28T22:26:00Z,CARDIO,2,Sense 2
2025-07-28T22:27:00Z,CARDIO,2,Sense 2
2025-07-28T22:28:00Z,CARDIO,2,Sense 2
2025-07-28T22:29:00Z,CARDIO,2,Sense 2
2025-07-28T22:30:00Z,CARDIO,2,Sense 2
2025-07-28T22:31:00Z,FAT_BURN,1,Sense 2
2025-07-28T22:32:00Z,CARDIO,2,Sense 2
2025-07-28T22:33:00Z,FAT_BURN,1,Sense 2
2025-07-28T22:34:00Z,CARDIO,2,Sense 2
2025-07-28T22:35:00Z,CARDIO,2,Sense 2
2025-07-28T22:36:00Z,CARDIO,2,Sense 2
2025-07-28T22:37:00Z,CARDIO,2,Sense 2
2025-07-28T22:38:00Z,CARDIO,2,Sense 2
2025-07-28T22:39:00Z,CARDIO,2,Sense 2
2025-07-28T22:40:00Z,CARDIO,2,Sense 2
2025-07-28T22:41:00Z,CARDIO,2,Sense 2
2025-07-28T22:42:00Z,CARDIO,2,Sense 2
2025-07-28T22:43:00Z,FAT_BURN,1,Sense 2
2025-07-28T22:44:00Z,FAT_BURN,1,Sense 2
2025-07-28T22:45:00Z,CARDIO,2,Sense 2
2025-07-28T22:46:00Z,CARDIO,2,Sense 2
2025-07-28T22:47:00Z,CARDIO,2,Sense 2
2025-07-28T22:48:00Z,CARDIO,2,Sense 2
2025-07-28T22:49:00Z,CARDIO,2,Sense 2
2025-07-28T22:50:00Z,CARDIO,2,Sense 2
2025-07-28T22:51:00Z,CARDIO,2,Sense 2
2025-07-28T22:52:00Z,CARDIO,2,Sense 2
2025-07-28T22:53:00Z,CARDIO,2,Sense 2
2025-07-28T22:54:00Z,CARDIO,2,Sense 2
2025-07-28T22:55:00Z,CARDIO,2,Sense 2
2025-07-28T22:56:00Z,CARDIO,2,Sense 2
2025-07-28T22:57:00Z,CARDIO,2,Sense 2
2025-07-28T22:58:00Z,CARDIO,2,Sense 2
2025-07-28T22:59:00Z,CARDIO,2,Sense 2
2025-07-28T23:00:00Z,FAT_BURN,1,Sense 2
2025-07-28T23:01:00Z,FAT_BURN,1,Sense 2
2025-07-31T06:15:00Z,FAT_BURN,1,Sense 2
2025-07-31T06:16:00Z,FAT_BURN,1,Sense 2
2025-07-31T06:17:00Z,FAT_BURN,1,Sense 2
2025-07-31T06:18:00Z,CARDIO,2,Sense 2
2025-07-31T06:19:00Z,CARDIO,2,Sense 2
2025-07-31T06:20:00Z,CARDIO,2,Sense 2
2025-07-31T06:21:00Z,CARDIO,2,Sense 2
2025-07-31T06:22:00Z,CARDIO,2,Sense 2
2025-07-31T06:23:00Z,CARDIO,2,Sense 2
2025-07-31T06:24:00Z,CARDIO,2,Sense 2
2025-07-31T06:25:00Z,CARDIO,2,Sense 2
2025-07-31T06:26:00Z,CARDIO,2,Sense 2
2025-07-31T06:27:00Z,CARDIO,2,Sense 2
2025-07-31T06:28:00Z,FAT_BURN,1,Sense 2
2025-07-31T06:29:00Z,FAT_BURN,1,Sense 2
2025-07-31T06:30:00Z,FAT_BURN,1,Sense 2
2025-07-31T06:31:00Z,FAT_BURN,1,Sense 2
2025-07-31T06:32:00Z,FAT_BURN,1,Sense 2
