timestamp,root mean square of successive differences milliseconds,standard deviation milliseconds,data source
2025-08-09T04:30:00Z,16.996,0.0,Fitbit App
2025-08-09T04:35:00Z,17.237,0.0,Fitbit App
2025-08-09T04:40:00Z,16.665,0.0,Fitbit App
2025-08-09T04:45:00Z,16.974,0.0,Fitbit App
2025-08-09T04:50:00Z,14.998,0.0,Fitbit App
2025-08-09T04:55:00Z,16.018,0.0,Fitbit App
2025-08-09T05:00:00Z,15.749,0.0,Fitbit App
2025-08-09T05:05:00Z,13.37,0.0,Fitbit App
2025-08-09T05:10:00Z,16.778,0.0,Fitbit App
2025-08-09T05:15:00Z,15.661,0.0,Fitbit App
2025-08-09T05:20:00Z,15.938,0.0,Fitbit App
2025-08-09T05:25:00Z,15.88,0.0,Fitbit App
2025-08-09T05:30:00Z,15.822,0.0,Fitbit App
2025-08-09T05:35:00Z,16.201,0.0,Fitbit App
2025-08-09T05:40:00Z,15.892,0.0,Fitbit App
2025-08-09T05:45:00Z,15.854,0.0,Fitbit App
2025-08-09T05:50:00Z,15.485,0.0,Fitbit App
2025-08-09T05:55:00Z,16.981,0.0,Fitbit App
2025-08-09T06:00:00Z,15.685,0.0,Fitbit App
2025-08-09T06:05:00Z,15.179,0.0,Fitbit App
2025-08-09T06:10:00Z,14.94,0.0,Fitbit App
2025-08-09T06:15:00Z,15.582,0.0,Fitbit App
2025-08-09T06:20:00Z,15.921,0.0,Fitbit App
2025-08-09T06:25:00Z,15.585,0.0,Fitbit App
2025-08-11T22:35:00Z,0.0,0.0,Fitbit App
2025-08-11T22:45:00Z,0.0,0.0,Fitbit App
