timestamp,steps,distance millimeters,altitude gain millimeters,data source
2025-07-17T17:23:28Z,3,0,0,Sense
2025-07-17T17:23:29Z,4,110,-304,Sense
2025-07-17T17:23:30Z,3,260,304,Sense
2025-07-17T17:23:31Z,3,480,609,Sense
2025-07-17T17:23:32Z,3,1190,-914,Sense
2025-07-17T17:23:33Z,3,1650,304,Sense
2025-07-17T17:23:34Z,1,1870,0,Sense
2025-07-17T17:23:35Z,2,1990,0,Sense
2025-07-17T17:23:36Z,3,2090,-304,Sense
2025-07-17T17:23:37Z,2,2110,914,Sense
2025-07-17T17:23:38Z,3,2150,0,Sense
2025-07-17T17:23:39Z,1,2630,-304,Sense
2025-07-17T17:23:40Z,2,2630,0,Sense
2025-07-17T17:23:41Z,1,1520,-304,Sense
2025-07-17T17:23:42Z,2,1550,0,Sense
2025-07-17T17:23:43Z,2,1540,0,Sense
2025-07-17T17:23:44Z,1,1530,-304,Sense
2025-07-17T17:23:45Z,1,1520,304,Sense
2025-07-17T17:23:46Z,2,1510,0,Sense
2025-07-17T17:23:47Z,1,1500,-304,Sense
2025-07-17T17:23:48Z,2,1480,304,Sense
2025-07-17T17:23:49Z,1,1480,304,Sense
2025-07-17T17:23:50Z,1,1460,-304,Sense
2025-07-17T17:23:51Z,4,1430,0,Sense
2025-07-17T17:23:52Z,1,1410,0,Sense
