timestamp,oxygen saturation percentage,data source
2025-07-27T00:56:33Z,99.0,Sense 2
2025-07-27T00:57:33Z,96.4,Sense 2
2025-07-27T01:00:33Z,93.1,Sense 2
2025-07-27T01:01:33Z,95.0,Sense 2
2025-07-27T01:03:33Z,96.8,Sense 2
2025-07-27T01:05:33Z,97.3,Sense 2
2025-07-27T01:07:33Z,97.2,Sense 2
2025-07-27T01:08:33Z,95.6,Sense 2
2025-07-27T03:12:03Z,97.9,Sense 2
2025-07-27T03:13:03Z,98.4,Sense 2
2025-07-27T03:14:03Z,98.7,Sense 2
2025-07-27T03:15:03Z,98.9,Sense 2
2025-07-27T03:16:03Z,98.9,Sense 2
2025-07-27T03:17:03Z,98.9,Sense 2
2025-07-27T03:18:03Z,99.0,Sense 2
2025-07-27T03:19:03Z,99.0,Sense 2
2025-07-27T03:20:03Z,98.9,Sense 2
2025-07-27T03:21:03Z,98.8,Sense 2
2025-07-27T03:22:03Z,98.6,Sense 2
2025-07-27T03:23:03Z,98.6,Sense 2
2025-07-27T03:24:03Z,98.6,Sense 2
2025-07-27T03:25:03Z,98.5,Sense 2
2025-07-27T03:26:03Z,98.5,Sense 2
2025-07-27T03:27:03Z,98.5,Sense 2
2025-07-27T03:28:03Z,98.5,Sense 2
2025-07-27T03:30:03Z,98.3,Sense 2
2025-07-27T03:31:03Z,95.6,Sense 2
2025-07-27T03:32:03Z,97.0,Sense 2
2025-07-27T04:06:03Z,96.7,Sense 2
2025-07-27T04:07:03Z,96.3,Sense 2
2025-07-27T04:08:03Z,97.0,Sense 2
2025-07-27T04:09:03Z,96.7,Sense 2
2025-07-27T04:10:03Z,97.2,Sense 2
2025-07-27T04:11:03Z,97.7,Sense 2
2025-07-27T04:12:03Z,97.9,Sense 2
2025-07-27T04:13:03Z,98.2,Sense 2
2025-07-27T04:14:03Z,98.0,Sense 2
2025-07-27T04:15:03Z,97.2,Sense 2
2025-07-27T04:16:03Z,97.4,Sense 2
2025-07-27T04:17:03Z,97.8,Sense 2
2025-07-27T04:18:03Z,98.0,Sense 2
2025-07-27T04:20:03Z,98.1,Sense 2
2025-07-27T04:21:03Z,98.0,Sense 2
2025-07-27T04:22:03Z,98.0,Sense 2
2025-07-27T04:23:03Z,97.9,Sense 2
2025-07-27T04:25:03Z,97.5,Sense 2
2025-07-27T04:26:03Z,97.5,Sense 2
2025-07-27T04:27:03Z,97.6,Sense 2
2025-07-27T04:28:03Z,97.6,Sense 2
2025-07-27T04:29:03Z,97.6,Sense 2
2025-07-27T04:30:03Z,97.6,Sense 2
2025-07-27T04:31:03Z,97.7,Sense 2
2025-07-27T04:32:03Z,97.7,Sense 2
2025-07-27T04:33:03Z,97.7,Sense 2
2025-07-27T04:34:03Z,97.8,Sense 2
2025-07-27T04:35:03Z,97.8,Sense 2
2025-07-27T04:36:03Z,97.8,Sense 2
2025-07-27T04:37:03Z,97.9,Sense 2
2025-07-27T04:38:03Z,97.8,Sense 2
2025-07-27T04:39:03Z,97.6,Sense 2
2025-07-27T04:40:03Z,97.7,Sense 2
2025-07-27T04:41:03Z,97.7,Sense 2
2025-07-27T04:42:03Z,97.8,Sense 2
2025-07-27T04:43:03Z,97.9,Sense 2
2025-07-27T04:44:03Z,97.9,Sense 2
2025-07-27T04:45:03Z,98.0,Sense 2
2025-07-27T04:46:03Z,98.0,Sense 2
2025-07-27T04:47:03Z,98.1,Sense 2
2025-07-27T04:48:03Z,98.1,Sense 2
2025-07-27T04:49:03Z,98.0,Sense 2
2025-07-27T04:50:03Z,98.3,Sense 2
2025-07-27T04:52:03Z,97.9,Sense 2
2025-07-27T04:54:03Z,98.3,Sense 2
2025-07-27T04:55:03Z,98.7,Sense 2
2025-07-27T04:56:03Z,98.8,Sense 2
2025-07-27T04:57:03Z,99.0,Sense 2
2025-07-27T04:58:03Z,98.8,Sense 2
2025-07-27T04:59:03Z,98.9,Sense 2
2025-07-27T05:00:03Z,98.9,Sense 2
2025-07-27T05:01:03Z,98.9,Sense 2
2025-07-27T05:03:03Z,97.8,Sense 2
2025-07-27T05:04:03Z,96.4,Sense 2
2025-07-27T05:05:03Z,95.7,Sense 2
2025-07-27T05:06:03Z,95.3,Sense 2
2025-07-27T05:07:03Z,95.9,Sense 2
2025-07-27T05:08:03Z,95.4,Sense 2
2025-07-27T05:09:03Z,96.3,Sense 2
2025-07-27T05:10:03Z,95.5,Sense 2
2025-07-27T05:11:03Z,95.2,Sense 2
2025-07-27T05:12:03Z,94.5,Sense 2
2025-07-27T05:14:03Z,95.0,Sense 2
2025-07-27T05:15:03Z,95.6,Sense 2
2025-07-27T05:16:03Z,96.6,Sense 2
2025-07-27T05:17:03Z,97.3,Sense 2
2025-07-27T05:18:03Z,97.8,Sense 2
2025-07-27T05:19:03Z,97.5,Sense 2
2025-07-27T05:20:03Z,97.7,Sense 2
2025-07-27T05:21:03Z,96.5,Sense 2
2025-07-27T05:22:03Z,95.1,Sense 2
2025-07-27T05:31:03Z,96.0,Sense 2
2025-07-27T05:32:03Z,96.3,Sense 2
2025-07-27T05:33:03Z,96.9,Sense 2
2025-07-27T05:34:03Z,97.0,Sense 2
2025-07-27T05:35:03Z,97.1,Sense 2
2025-07-27T05:36:03Z,97.4,Sense 2
2025-07-27T05:37:03Z,97.0,Sense 2
2025-07-27T05:38:03Z,97.1,Sense 2
2025-07-27T05:40:03Z,97.0,Sense 2
2025-07-27T05:41:03Z,97.8,Sense 2
2025-07-27T05:42:03Z,98.0,Sense 2
2025-07-27T05:43:03Z,98.0,Sense 2
2025-07-27T05:44:03Z,98.2,Sense 2
2025-07-27T05:45:03Z,98.5,Sense 2
2025-07-27T05:47:03Z,98.6,Sense 2
2025-07-27T05:48:03Z,98.6,Sense 2
2025-07-27T05:49:03Z,98.7,Sense 2
2025-07-27T05:50:03Z,98.5,Sense 2
2025-07-27T05:52:03Z,98.3,Sense 2
2025-07-27T16:54:03Z,90.8,Sense 2
2025-07-27T16:55:03Z,92.0,Sense 2
2025-07-27T16:57:03Z,91.5,Sense 2
2025-07-27T16:58:03Z,91.5,Sense 2
2025-07-28T22:02:04Z,85.2,Sense 2
2025-07-28T22:03:04Z,84.9,Sense 2
2025-07-28T22:04:04Z,84.9,Sense 2
2025-07-28T22:05:04Z,84.5,Sense 2
2025-07-28T22:06:04Z,84.6,Sense 2
2025-07-28T22:07:04Z,84.4,Sense 2
2025-07-28T22:08:04Z,84.4,Sense 2
2025-07-28T22:09:04Z,84.4,Sense 2
2025-07-28T22:10:04Z,84.5,Sense 2
2025-07-28T22:11:04Z,85.1,Sense 2
2025-07-28T22:12:04Z,85.1,Sense 2
2025-07-28T22:13:04Z,84.8,Sense 2
2025-07-28T22:14:04Z,84.6,Sense 2
2025-07-28T22:15:04Z,84.6,Sense 2
2025-07-28T22:16:04Z,84.6,Sense 2
2025-07-28T22:17:04Z,84.5,Sense 2
2025-07-28T22:18:04Z,84.5,Sense 2
2025-07-28T22:19:04Z,84.4,Sense 2
2025-07-28T22:20:04Z,84.4,Sense 2
2025-07-28T22:21:04Z,84.3,Sense 2
2025-07-28T22:22:04Z,84.4,Sense 2
2025-07-28T22:23:04Z,84.3,Sense 2
2025-07-28T22:24:04Z,84.2,Sense 2
2025-07-28T22:25:04Z,84.2,Sense 2
2025-07-28T22:26:04Z,84.4,Sense 2
2025-07-28T22:27:04Z,84.7,Sense 2
2025-07-28T22:28:04Z,84.3,Sense 2
2025-07-28T22:29:04Z,84.2,Sense 2
2025-07-28T22:30:04Z,84.2,Sense 2
2025-07-28T22:31:04Z,84.2,Sense 2
2025-07-28T22:32:04Z,84.1,Sense 2
2025-07-28T22:33:04Z,84.5,Sense 2
2025-07-28T22:34:04Z,84.3,Sense 2
2025-07-28T22:35:04Z,84.2,Sense 2
2025-07-28T22:36:04Z,84.3,Sense 2
2025-07-28T22:37:04Z,84.4,Sense 2
2025-07-28T22:38:04Z,84.3,Sense 2
2025-07-28T22:39:04Z,84.2,Sense 2
2025-07-28T22:40:04Z,84.3,Sense 2
2025-07-28T22:41:04Z,84.2,Sense 2
2025-07-28T22:42:04Z,83.9,Sense 2
2025-07-28T22:44:33Z,83.3,Sense 2
2025-07-28T22:45:33Z,83.6,Sense 2
2025-07-28T22:46:33Z,83.8,Sense 2
2025-07-28T22:47:33Z,83.6,Sense 2
2025-07-28T22:48:33Z,83.7,Sense 2
2025-07-28T22:49:33Z,83.8,Sense 2
2025-07-28T22:50:33Z,83.9,Sense 2
2025-07-28T22:51:33Z,83.9,Sense 2
2025-07-28T22:52:33Z,83.4,Sense 2
2025-07-28T22:53:33Z,83.4,Sense 2
2025-07-28T22:56:03Z,83.1,Sense 2
2025-07-28T22:57:03Z,83.5,Sense 2
2025-07-28T22:59:03Z,84.2,Sense 2
2025-07-28T23:00:03Z,83.8,Sense 2
