start time,end time,data source
2025-07-27T00:28:00Z,2025-07-27T00:56:00Z,Fitbit App
2025-07-27T07:02:00Z,2025-07-27T07:41:00Z,Fitbit App
2025-07-27T07:59:00Z,2025-07-27T08:13:00Z,Fitbit App
2025-07-27T10:58:00Z,2025-07-27T11:40:00Z,Fitbit App
2025-07-27T12:33:00Z,2025-07-27T12:47:00Z,Fitbit App
2025-07-27T12:59:00Z,2025-07-27T13:16:00Z,Fitbit App
2025-07-27T13:36:00Z,2025-07-27T14:40:00Z,Fitbit App
2025-07-27T14:41:00Z,2025-07-27T15:24:00Z,Fitbit App
2025-07-27T15:28:00Z,2025-07-27T15:40:00Z,Fitbit App
2025-07-27T15:49:00Z,2025-07-27T18:07:00Z,Fitbit App
2025-07-27T18:30:00Z,2025-07-27T19:43:00Z,Fitbit App
