timestamp,lap time,stroke count,stroke type,data source
2025-08-03T12:05:23Z,00:00:17.000,8,SWIM_STROKE_TYPE_UNSPECIFIED,Sense
2025-08-03T19:18:16Z,00:00:12.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Sense
2025-08-07T08:25:25Z,00:00:08.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Sense
2025-08-07T08:27:12Z,00:00:58.000,28,SWIM_STROKE_TYPE_UNSPECIFIED,Sense
2025-08-07T08:28:11Z,00:00:28.000,26,SWIM_STROKE_TYPE_UNSPECIFIED,Sense
2025-08-07T08:32:25Z,00:00:29.000,26,SWIM_STROKE_TYPE_UNSPECIFIED,Sense
2025-08-08T07:51:31Z,00:00:22.000,12,SWIM_STROKE_TYPE_UNSPECIFIED,Sense
2025-08-08T07:52:02Z,00:00:57.000,28,SWIM_STROKE_TYPE_UNSPECIFIED,Sense
2025-08-08T07:53:01Z,00:00:58.000,28,SWIM_STROKE_TYPE_UNSPECIFIED,Sense
2025-08-14T13:15:58Z,00:00:19.000,15,SWIM_STROKE_TYPE_UNSPECIFIED,Sense
2025-08-14T13:16:22Z,00:00:10.000,8,SWIM_STROKE_TYPE_UNSPECIFIED,Sense
2025-08-14T13:17:09Z,00:00:09.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Sense
2025-08-14T13:17:43Z,00:00:11.000,7,SWIM_STROKE_TYPE_UNSPECIFIED,Sense
2025-08-14T13:18:01Z,00:00:22.000,8,SWIM_STROKE_TYPE_UNSPECIFIED,Sense
2025-08-14T13:18:53Z,00:00:28.000,17,SWIM_STROKE_TYPE_UNSPECIFIED,Sense
2025-08-14T14:08:32Z,00:00:11.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Sense
