timestamp,heart rate zone type,data source
2025-12-09T11:57:00Z,LIGHT,Fitbit App
2025-12-09T11:58:00Z,LIGHT,Fitbit App
2025-12-09T11:59:00Z,LIGHT,Fitbit App
2025-12-09T12:00:00Z,LIGHT,Fitbit App
2025-12-09T12:01:00Z,LIGHT,Fitbit App
2025-12-09T12:02:00Z,LIGHT,Fitbit App
2025-12-09T12:03:00Z,LIGHT,Fitbit App
2025-12-09T12:04:00Z,LIGHT,Fitbit App
2025-12-09T12:05:00Z,LIGHT,Fitbit App
2025-12-09T12:06:00Z,LIGHT,Fitbit App
2025-12-09T12:07:00Z,LIGHT,Fitbit App
2025-12-09T12:08:00Z,MODERATE,Fitbit App
2025-12-09T12:09:00Z,MODERATE,Fitbit App
2025-12-09T12:10:00Z,MODERATE,Fitbit App
2025-12-09T12:11:00Z,MODERATE,Fitbit App
2025-12-09T12:12:00Z,LIGHT,Fitbit App
2025-12-09T12:13:00Z,MODERATE,Fitbit App
2025-12-09T12:14:00Z,MODERATE,Fitbit App
2025-12-09T12:15:00Z,MODERATE,Fitbit App
2025-12-09T12:16:00Z,MODERATE,Fitbit App
2025-12-09T12:17:00Z,MODERATE,Fitbit App
2025-12-09T12:18:00Z,MODERATE,Fitbit App
2025-12-09T12:19:00Z,LIGHT,Fitbit App
2025-12-09T12:20:00Z,LIGHT,Fitbit App
2025-12-09T12:21:00Z,LIGHT,Fitbit App
2025-12-09T12:22:00Z,LIGHT,Fitbit App
2025-12-09T12:23:00Z,LIGHT,Fitbit App
2025-12-09T12:24:00Z,LIGHT,Fitbit App
2025-12-09T12:25:00Z,MODERATE,Fitbit App
2025-12-09T12:26:00Z,MODERATE,Fitbit App
2025-12-09T12:27:00Z,LIGHT,Fitbit App
2025-12-09T12:28:00Z,LIGHT,Fitbit App
2025-12-09T12:29:00Z,LIGHT,Fitbit App
2025-12-09T12:30:00Z,LIGHT,Fitbit App
2025-12-09T12:31:00Z,LIGHT,Fitbit App
2025-12-09T12:32:00Z,LIGHT,Fitbit App
2025-12-09T12:33:00Z,LIGHT,Fitbit App
2025-12-09T12:34:00Z,LIGHT,Fitbit App
2025-12-09T12:35:00Z,LIGHT,Fitbit App
2025-12-09T12:36:00Z,LIGHT,Fitbit App
2025-12-09T12:37:00Z,LIGHT,Fitbit App
