DATE,UPDATED_AT,STRESS_SCORE,SLEEP_POINTS,MAX_SLEEP_POINTS,RESPONSIVENESS_POINTS,MAX_RESPONSIVENESS_POINTS,EXERTION_POINTS,MAX_EXERTION_POINTS,STATUS,CALCULATION_FAILED
2025-03-27T00:00:00,2025-03-27T12:30:21.036,0,0,0,0,0,0,0,NO_DATA,true
2025-03-31T00:00:00,2025-03-30T20:25:26.871,0,0,0,0,0,0,0,NO_DATA,true
2025-04-01T00:00:00,2025-04-01T02:23:53.524,0,0,0,0,0,0,0,NO_DATA,true
2025-04-02T00:00:00,2025-04-02T04:02:07.529,0,0,0,0,0,0,0,NO_DATA,true
2025-07-27T00:00:00,2025-07-27T07:14:21.21,0,0,0,0,0,0,0,NO_DATA,true
2025-08-06T00:00:00,2025-08-06T16:14:03.037,0,0,0,0,0,0,0,NO_DATA,true
2025-08-07T00:00:00,2025-08-07T16:38:26.9,0,0,0,0,0,0,0,NO_DATA,true
2025-08-08T00:00:00,2025-08-08T06:31:46.621,0,0,0,0,0,0,0,NO_DATA,true
2025-08-09T00:00:00,2025-08-09T06:45:43.074,0,0,0,0,0,0,0,NO_DATA,true
2025-08-11T00:00:00,2025-08-11T17:50:08.514,0,0,0,0,0,0,0,NO_DATA,true
2025-08-12T00:00:00,2025-08-14T11:49:12.761,0,0,0,0,0,0,0,NO_DATA,true
2025-08-16T00:00:00,2025-08-16T08:50:46.752,0,0,0,0,0,0,0,NO_DATA,true
2025-12-24T00:00:00,2025-12-23T18:31:42.194,0,0,0,0,0,0,0,NO_DATA,true
