timestamp,heart rate zone type
2025-10-15T16:15:00Z,LIGHT
2025-10-15T16:16:00Z,LIGHT
2025-10-15T16:17:00Z,LIGHT
2025-10-15T16:18:00Z,LIGHT
2025-10-15T16:19:00Z,LIGHT
2025-10-15T16:20:00Z,LIGHT
2025-10-15T16:21:00Z,LIGHT
2025-10-15T16:22:00Z,LIGHT
2025-10-15T16:23:00Z,LIGHT
2025-10-15T16:24:00Z,LIGHT
2025-10-15T16:25:00Z,LIGHT
2025-10-15T16:26:00Z,LIGHT
2025-10-15T16:27:00Z,LIGHT
2025-10-15T16:28:00Z,LIGHT
2025-10-15T16:29:00Z,LIGHT
2025-10-15T16:30:00Z,LIGHT
2025-10-15T16:31:00Z,LIGHT
2025-10-15T16:32:00Z,LIGHT
2025-10-15T16:33:00Z,LIGHT
2025-10-15T16:34:00Z,LIGHT
2025-10-15T16:35:00Z,LIGHT
2025-10-15T16:36:00Z,LIGHT
2025-10-15T16:37:00Z,LIGHT
2025-10-15T16:38:00Z,LIGHT
2025-10-15T16:39:00Z,LIGHT
2025-10-15T16:40:00Z,LIGHT
2025-10-15T16:41:00Z,LIGHT
2025-10-15T16:42:00Z,LIGHT
2025-10-15T16:43:00Z,LIGHT
2025-10-15T16:44:00Z,LIGHT
2025-10-15T16:45:00Z,LIGHT
2025-10-15T16:46:00Z,LIGHT
2025-10-15T16:47:00Z,LIGHT
2025-10-15T16:48:00Z,LIGHT
2025-10-15T16:49:00Z,LIGHT
2025-10-15T16:50:00Z,LIGHT
2025-10-15T16:51:00Z,LIGHT
2025-10-15T16:52:00Z,LIGHT
2025-10-15T16:53:00Z,LIGHT
2025-10-15T16:54:00Z,LIGHT
2025-10-15T16:55:00Z,LIGHT
2025-10-15T16:56:00Z,LIGHT
2025-10-15T16:57:00Z,LIGHT
2025-10-15T16:58:00Z,LIGHT
2025-10-15T16:59:00Z,LIGHT
2025-10-15T17:00:00Z,LIGHT
2025-10-15T17:01:00Z,LIGHT
2025-10-15T17:02:00Z,LIGHT
2025-10-15T17:03:00Z,LIGHT
2025-10-15T17:04:00Z,LIGHT
2025-10-15T17:05:00Z,LIGHT
2025-10-15T17:06:00Z,LIGHT
2025-10-15T17:07:00Z,LIGHT
2025-10-15T17:08:00Z,LIGHT
2025-10-15T17:09:00Z,LIGHT
2025-10-15T17:10:00Z,LIGHT
2025-10-15T17:11:00Z,LIGHT
2025-10-15T17:12:00Z,LIGHT
2025-10-15T17:13:00Z,LIGHT
2025-10-15T17:14:00Z,LIGHT
2025-10-15T17:15:00Z,LIGHT
2025-10-15T17:16:00Z,LIGHT
2025-10-15T17:17:00Z,LIGHT
2025-10-15T17:18:00Z,LIGHT
2025-10-15T17:19:00Z,LIGHT
2025-10-15T17:20:00Z,LIGHT
2025-10-15T17:21:00Z,LIGHT
2025-10-15T17:22:00Z,LIGHT
2025-10-15T17:23:00Z,LIGHT
2025-10-15T17:24:00Z,LIGHT
2025-10-15T17:25:00Z,LIGHT
2025-10-15T17:26:00Z,LIGHT
2025-10-15T17:27:00Z,LIGHT
2025-10-15T17:28:00Z,LIGHT
2025-10-15T17:29:00Z,LIGHT
2025-10-15T17:30:00Z,LIGHT
2025-10-15T17:31:00Z,LIGHT
2025-10-15T17:32:00Z,LIGHT
2025-10-15T17:33:00Z,LIGHT
2025-10-15T17:34:00Z,LIGHT
2025-10-15T17:35:00Z,LIGHT
2025-10-15T17:36:00Z,LIGHT
2025-10-15T17:37:00Z,LIGHT
2025-10-15T17:38:00Z,LIGHT
2025-10-15T17:39:00Z,LIGHT
2025-10-15T17:40:00Z,LIGHT
2025-10-15T17:41:00Z,LIGHT
2025-10-15T17:42:00Z,LIGHT
2025-10-15T17:43:00Z,LIGHT
2025-10-15T17:44:00Z,LIGHT
2025-10-15T17:45:00Z,LIGHT
2025-10-15T17:46:00Z,LIGHT
2025-10-15T17:47:00Z,LIGHT
2025-10-15T17:48:00Z,LIGHT
2025-10-15T17:49:00Z,LIGHT
2025-10-15T17:50:00Z,LIGHT
2025-10-22T07:09:00Z,LIGHT
2025-10-22T07:10:00Z,LIGHT
2025-10-22T07:11:00Z,LIGHT
2025-10-22T07:12:00Z,LIGHT
2025-10-22T07:13:00Z,LIGHT
2025-10-22T07:14:00Z,LIGHT
2025-10-22T07:15:00Z,LIGHT
2025-10-22T07:16:00Z,LIGHT
2025-10-22T07:17:00Z,LIGHT
2025-10-22T07:18:00Z,LIGHT
2025-10-22T07:19:00Z,LIGHT
2025-10-22T07:20:00Z,LIGHT
2025-10-22T07:21:00Z,LIGHT
2025-10-22T07:22:00Z,LIGHT
2025-10-22T07:23:00Z,LIGHT
2025-10-22T07:24:00Z,LIGHT
2025-10-22T07:25:00Z,LIGHT
2025-10-22T07:26:00Z,LIGHT
2025-10-22T07:27:00Z,LIGHT
2025-10-22T07:28:00Z,LIGHT
2025-10-22T07:29:00Z,LIGHT
2025-10-22T07:30:00Z,LIGHT
2025-10-22T07:31:00Z,LIGHT
2025-10-22T07:32:00Z,LIGHT
2025-10-22T07:33:00Z,LIGHT
2025-10-22T07:34:00Z,LIGHT
2025-10-22T07:35:00Z,LIGHT
2025-10-22T07:36:00Z,LIGHT
2025-10-22T07:37:00Z,LIGHT
2025-10-22T07:38:00Z,LIGHT
2025-10-22T07:39:00Z,LIGHT
2025-10-22T07:40:00Z,LIGHT
2025-10-22T07:41:00Z,LIGHT
2025-10-22T07:42:00Z,LIGHT
2025-10-22T07:43:00Z,LIGHT
2025-10-22T07:44:00Z,LIGHT
2025-10-22T07:45:00Z,LIGHT
2025-10-22T07:46:00Z,LIGHT
2025-10-22T07:47:00Z,LIGHT
2025-10-22T07:48:00Z,LIGHT
2025-10-22T07:49:00Z,LIGHT
2025-10-22T07:50:00Z,LIGHT
2025-10-22T07:51:00Z,LIGHT
2025-10-22T07:52:00Z,LIGHT
2025-10-22T07:53:00Z,LIGHT
2025-10-22T07:54:00Z,LIGHT
2025-10-22T07:55:00Z,LIGHT
2025-10-22T07:56:00Z,LIGHT
2025-10-22T07:57:00Z,LIGHT
2025-10-22T07:58:00Z,LIGHT
2025-10-22T07:59:00Z,LIGHT
2025-10-22T08:00:00Z,LIGHT
2025-10-22T08:01:00Z,LIGHT
2025-10-22T08:02:00Z,LIGHT
2025-10-22T08:03:00Z,LIGHT
2025-10-22T08:04:00Z,LIGHT
2025-10-22T08:05:00Z,LIGHT
2025-10-22T08:06:00Z,LIGHT
2025-10-22T08:07:00Z,LIGHT
2025-10-22T08:08:00Z,LIGHT
2025-10-22T08:09:00Z,LIGHT
2025-10-22T08:10:00Z,LIGHT
2025-10-22T08:11:00Z,LIGHT
2025-10-22T08:12:00Z,LIGHT
2025-10-22T08:13:00Z,LIGHT
2025-10-22T08:14:00Z,LIGHT
2025-10-22T08:15:00Z,LIGHT
2025-10-22T08:16:00Z,LIGHT
2025-10-22T08:17:00Z,LIGHT
2025-10-22T08:18:00Z,LIGHT
