timestamp,heart rate zone type
2025-10-17T08:03:00Z,LIGHT
2025-10-17T08:05:00Z,LIGHT
2025-10-17T08:06:00Z,LIGHT
2025-10-17T08:07:00Z,LIGHT
2025-10-17T08:08:00Z,LIGHT
2025-10-17T08:09:00Z,LIGHT
2025-10-17T08:10:00Z,LIGHT
2025-10-17T08:11:00Z,LIGHT
2025-10-17T08:12:00Z,LIGHT
2025-10-17T08:13:00Z,LIGHT
2025-10-17T08:14:00Z,LIGHT
2025-10-17T08:15:00Z,LIGHT
2025-10-17T08:16:00Z,LIGHT
2025-10-17T08:17:00Z,LIGHT
2025-10-17T08:18:00Z,LIGHT
2025-10-17T08:19:00Z,LIGHT
2025-10-17T08:20:00Z,LIGHT
2025-10-17T08:21:00Z,LIGHT
2025-10-17T08:22:00Z,LIGHT
2025-10-17T08:23:00Z,LIGHT
2025-10-17T08:24:00Z,LIGHT
2025-10-17T08:25:00Z,LIGHT
2025-10-17T08:26:00Z,LIGHT
2025-10-17T08:27:00Z,LIGHT
2025-10-17T08:28:00Z,LIGHT
2025-10-17T08:29:00Z,LIGHT
2025-10-17T08:30:00Z,LIGHT
2025-10-17T08:31:00Z,LIGHT
2025-10-17T08:32:00Z,LIGHT
2025-10-17T08:33:00Z,LIGHT
2025-10-17T08:34:00Z,LIGHT
2025-10-17T08:35:00Z,LIGHT
2025-10-17T08:36:00Z,LIGHT
2025-10-17T08:37:00Z,LIGHT
2025-10-17T08:38:00Z,LIGHT
2025-10-17T08:39:00Z,LIGHT
2025-10-17T08:40:00Z,LIGHT
2025-10-17T08:41:00Z,LIGHT
2025-10-17T08:42:00Z,LIGHT
2025-10-17T08:43:00Z,LIGHT
2025-10-17T08:44:00Z,LIGHT
2025-10-17T08:45:00Z,LIGHT
2025-10-17T08:46:00Z,LIGHT
2025-10-17T08:47:00Z,LIGHT
2025-10-17T08:48:00Z,LIGHT
2025-10-17T08:49:00Z,LIGHT
2025-10-17T08:50:00Z,LIGHT
