timestamp,heart rate zone type,data source
2025-11-06T08:13:00Z,LIGHT,Fitbit App
2025-11-06T08:14:00Z,LIGHT,Fitbit App
2025-11-06T08:15:00Z,LIGHT,Fitbit App
2025-11-06T08:17:00Z,LIGHT,Fitbit App
2025-11-06T08:18:00Z,LIGHT,Fitbit App
2025-11-06T08:19:00Z,LIGHT,Fitbit App
2025-11-06T08:20:00Z,LIGHT,Fitbit App
2025-11-06T08:21:00Z,LIGHT,Fitbit App
2025-11-06T08:22:00Z,LIGHT,Fitbit App
2025-11-06T08:23:00Z,LIGHT,Fitbit App
2025-11-06T08:24:00Z,LIGHT,Fitbit App
2025-11-06T08:25:00Z,LIGHT,Fitbit App
2025-11-06T08:26:00Z,LIGHT,Fitbit App
2025-11-06T08:27:00Z,LIGHT,Fitbit App
2025-11-06T08:28:00Z,LIGHT,Fitbit App
2025-11-06T08:29:00Z,LIGHT,Fitbit App
2025-11-06T08:30:00Z,LIGHT,Fitbit App
2025-11-06T08:31:00Z,LIGHT,Fitbit App
2025-11-06T08:32:00Z,LIGHT,Fitbit App
2025-11-06T08:33:00Z,LIGHT,Fitbit App
2025-11-06T08:34:00Z,LIGHT,Fitbit App
2025-11-06T08:35:00Z,LIGHT,Fitbit App
2025-11-06T08:36:00Z,LIGHT,Fitbit App
2025-11-06T08:37:00Z,LIGHT,Fitbit App
2025-11-06T08:38:00Z,LIGHT,Fitbit App
2025-11-06T08:39:00Z,LIGHT,Fitbit App
2025-11-06T08:40:00Z,LIGHT,Fitbit App
2025-11-06T08:41:00Z,LIGHT,Fitbit App
2025-11-06T08:42:00Z,LIGHT,Fitbit App
2025-11-06T08:43:00Z,LIGHT,Fitbit App
2025-11-06T08:44:00Z,LIGHT,Fitbit App
2025-11-06T08:45:00Z,LIGHT,Fitbit App
2025-11-06T08:46:00Z,LIGHT,Fitbit App
2025-11-06T08:47:00Z,LIGHT,Fitbit App
2025-11-06T08:48:00Z,LIGHT,Fitbit App
2025-11-06T08:49:00Z,LIGHT,Fitbit App
2025-11-06T08:50:00Z,LIGHT,Fitbit App
2025-11-06T08:51:00Z,LIGHT,Fitbit App
2025-11-06T08:52:00Z,LIGHT,Fitbit App
2025-11-06T08:53:00Z,LIGHT,Fitbit App
2025-11-06T08:54:00Z,LIGHT,Fitbit App
2025-11-06T08:55:00Z,LIGHT,Fitbit App
2025-11-06T08:56:00Z,LIGHT,Fitbit App
2025-11-06T08:57:00Z,LIGHT,Fitbit App
2025-11-06T08:58:00Z,LIGHT,Fitbit App
2025-11-06T08:59:00Z,LIGHT,Fitbit App
2025-11-06T09:00:00Z,LIGHT,Fitbit App
2025-11-06T09:01:00Z,LIGHT,Fitbit App
2025-11-06T09:02:00Z,LIGHT,Fitbit App
2025-11-06T09:03:00Z,LIGHT,Fitbit App
2025-11-06T09:04:00Z,LIGHT,Fitbit App
2025-11-06T09:05:00Z,LIGHT,Fitbit App
2025-11-06T09:06:00Z,LIGHT,Fitbit App
2025-11-06T09:07:00Z,LIGHT,Fitbit App
2025-11-06T09:08:00Z,LIGHT,Fitbit App
2025-11-06T09:09:00Z,LIGHT,Fitbit App
2025-11-06T09:10:00Z,LIGHT,Fitbit App
2025-11-06T09:11:00Z,LIGHT,Fitbit App
2025-11-06T09:12:00Z,LIGHT,Fitbit App
2025-11-06T09:13:00Z,LIGHT,Fitbit App
2025-11-06T09:14:00Z,LIGHT,Fitbit App
2025-11-06T09:15:00Z,LIGHT,Fitbit App
2025-11-06T09:16:00Z,LIGHT,Fitbit App
2025-11-06T09:17:00Z,LIGHT,Fitbit App
2025-11-06T09:18:00Z,LIGHT,Fitbit App
2025-11-06T09:19:00Z,LIGHT,Fitbit App
2025-11-06T09:20:00Z,LIGHT,Fitbit App
2025-11-06T09:21:00Z,LIGHT,Fitbit App
2025-11-06T09:22:00Z,LIGHT,Fitbit App
2025-11-06T09:23:00Z,LIGHT,Fitbit App
2025-11-06T09:24:00Z,LIGHT,Fitbit App
2025-11-06T09:25:00Z,LIGHT,Fitbit App
2025-11-06T09:26:00Z,LIGHT,Fitbit App
2025-11-06T09:27:00Z,LIGHT,Fitbit App
2025-11-06T09:28:00Z,LIGHT,Fitbit App
2025-11-06T09:29:00Z,LIGHT,Fitbit App
2025-11-06T09:30:00Z,LIGHT,Fitbit App
2025-11-06T09:31:00Z,LIGHT,Fitbit App
2025-11-06T09:32:00Z,LIGHT,Fitbit App
2025-11-06T09:33:00Z,LIGHT,Fitbit App
2025-11-06T09:34:00Z,LIGHT,Fitbit App
2025-11-06T09:35:00Z,LIGHT,Fitbit App
2025-11-06T09:36:00Z,LIGHT,Fitbit App
2025-11-06T09:37:00Z,LIGHT,Fitbit App
2025-11-06T09:38:00Z,LIGHT,Fitbit App
2025-11-06T09:39:00Z,LIGHT,Fitbit App
2025-11-06T09:40:00Z,LIGHT,Fitbit App
2025-11-06T09:41:00Z,LIGHT,Fitbit App
2025-11-06T09:42:00Z,LIGHT,Fitbit App
2025-11-06T09:43:00Z,LIGHT,Fitbit App
2025-11-06T09:44:00Z,LIGHT,Fitbit App
2025-11-06T09:45:00Z,LIGHT,Fitbit App
2025-11-06T09:46:00Z,LIGHT,Fitbit App
2025-11-06T09:47:00Z,LIGHT,Fitbit App
2025-11-06T09:48:00Z,LIGHT,Fitbit App
2025-11-06T09:49:00Z,LIGHT,Fitbit App
2025-11-06T09:50:00Z,LIGHT,Fitbit App
2025-11-06T09:51:00Z,LIGHT,Fitbit App
2025-11-06T09:52:00Z,LIGHT,Fitbit App
2025-11-06T09:53:00Z,LIGHT,Fitbit App
2025-11-06T09:54:00Z,LIGHT,Fitbit App
2025-11-06T09:55:00Z,LIGHT,Fitbit App
2025-11-06T09:56:00Z,LIGHT,Fitbit App
2025-11-06T09:57:00Z,LIGHT,Fitbit App
2025-11-06T09:58:00Z,LIGHT,Fitbit App
2025-11-06T09:59:00Z,LIGHT,Fitbit App
2025-11-06T10:00:00Z,LIGHT,Fitbit App
2025-11-06T10:01:00Z,LIGHT,Fitbit App
2025-11-06T10:02:00Z,LIGHT,Fitbit App
2025-11-06T10:03:00Z,LIGHT,Fitbit App
2025-11-06T10:04:00Z,LIGHT,Fitbit App
2025-11-06T10:05:00Z,LIGHT,Fitbit App
2025-11-06T10:06:00Z,LIGHT,Fitbit App
2025-11-06T10:07:00Z,LIGHT,Fitbit App
2025-11-06T10:08:00Z,LIGHT,Fitbit App
2025-11-06T10:09:00Z,LIGHT,Fitbit App
2025-11-06T10:10:00Z,LIGHT,Fitbit App
