participant,clip_title,timestamp,avg_bpm,bpm_drift,max_bpm,hr_sequence,self_reported_valence,self_reported_arousal
Nishant,AboutTime_000.mp4,2025-10-17 09:55:54.068,78.53,3,84,"[81, 78, 73, 71, 74, 78, 79, 79, 80, 81, 80, 79, 79, 78, 80, 81, 84]",4,4
debjit2001,AboutTime_000.mp4,2025-10-23 14:30:05.218,75.32,-4,86,"[74, 72, 68, 69, 74, 76, 79, 82, 84, 86, 83, 79, 78, 79, 76, 72, 71, 72, 70, 72, 71, 70]",4,4
aritra,AboutTime_000.mp4,2025-11-06 10:39:24.897,73.23,0,86,"[69, 70, 72, 78, 86, 83, 78, 70, 70, 71, 74, 77, 76, 74, 71, 71, 71, 71, 70, 70, 70, 69]",1,1
sayantankuila,AboutTime_000.mp4,2025-11-20 08:10:56.409,79.38,9,86,"[74, 73, 75, 77, 79, 84, 85, 82, 80, 78, 76, 76, 77, 85, 86, 83]",3,3
ajaycc17,AboutTime_000.mp4,2025-12-09 12:37:08.879,105.0,-1,107,"[106, 105, 106, 107, 106, 107, 106, 105, 104, 105, 106, 105, 104, 103, 102, 103, 105]",3,3
debjit2001,AboutTime_001.mp4,2025-10-15 17:14:07.640,72.56,14,87,"[73, 70, 70, 69, 68, 65, 66, 66, 65, 66, 68, 71, 76, 78, 83, 82, 83, 87]",4,3
Nishant,AboutTime_001.mp4,2025-10-17 10:02:51.152,78.9,-1,84,"[80, 79, 78, 79, 79, 81, 76, 78, 78, 81, 83, 84, 83, 78, 75, 74, 74, 79, 80, 79]",4,3
aritra,AboutTime_001.mp4,2025-11-06 10:55:11.890,76.0,3,81,"[73, 74, 73, 74, 72, 71, 81, 81, 81, 79, 78, 76, 75, 76, 76]",4,4
sayantankuila,AboutTime_001.mp4,2025-11-21 12:51:39.998,92.32,-3,95,"[95, 89, 90, 91, 89, 91, 92, 93, 94, 93, 95, 95, 94, 93, 92, 91, 92, 93, 92]",3,3
ajaycc17,AboutTime_001.mp4,2025-12-25 12:06:09.101,104.91,0,116,"[104, 106, 109, 112, 115, 116, 109, 108, 103, 99, 101, 103, 104, 102, 95, 100, 101, 102, 106, 107, 104, 103, 104]",4,3
debjit2001,AboutTime_002.mp4,2025-10-15 17:38:33.187,65.05,-1,69,"[63, 64, 69, 68, 65, 64, 66, 66, 66, 65, 64, 65, 66, 65, 66, 67, 64, 61, 62]",5,5
Nishant,AboutTime_002.mp4,2025-10-17 09:23:29.100,79.25,5,83,"[78, 79, 77, 78, 78, 83, 80, 80, 79, 78, 76, 77, 77, 78, 80, 82, 81, 80, 81, 83]",3,3
aritra,AboutTime_002.mp4,2025-11-06 08:56:26.901,76.33,1,83,"[71, 73, 76, 78, 81, 82, 82, 83, 82, 80, 77, 75, 76, 74, 75, 77, 75, 73, 71, 70, 72]",3,3
sayantankuila,AboutTime_002.mp4,2025-11-20 07:53:42.117,78.73,2,83,"[78, 77, 76, 76, 78, 78, 80, 83, 81, 80, 79, 78, 78, 79, 80]",4,5
ajaycc17,AboutTime_002.mp4,2025-12-25 12:17:08.113,97.5,-2,103,"[98, 97, 98, 100, 99, 94, 93, 96, 95, 96, 97, 99, 97, 96, 97, 101, 103, 100, 98, 96]",5,3
Nishant,AboutTime_003.mp4,2025-10-17 10:07:53.722,81.75,4,84,"[80, 79, 82, 83, 84, 83, 82, 81, 80, 80, 81, 80, 82, 84, 83, 84]",4,3
debjit2001,AboutTime_003.mp4,2025-10-23 14:48:30.800,65.53,-2,69,"[69, 66, 67, 67, 64, 63, 64, 65, 64, 65, 63, 64, 66, 69, 67]",5,3
pranjal123,AboutTime_003.mp4,2025-10-29 11:35:48.020,75.83,5,80,"[74, 73, 74, 75, 75, 75, 76, 80, 78, 76, 74, 73, 73, 74, 77, 79, 80, 79]",4,3
aritra,AboutTime_003.mp4,2025-11-06 10:29:44.389,77.27,8,82,"[74, 74, 72, 71, 73, 77, 78, 78, 78, 79, 81, 80, 80, 82, 82]",2,2
sayantankuila,AboutTime_003.mp4,2025-11-21 13:41:20.358,98.28,3,104,"[93, 95, 99, 101, 104, 102, 101, 101, 99, 98, 96, 96, 97, 99, 98, 97, 97, 96]",4,5
ajaycc17,AboutTime_003.mp4,2025-12-25 12:19:36.632,94.95,-7,101,"[101, 100, 96, 97, 98, 99, 98, 94, 96, 98, 95, 89, 92, 90, 91, 93, 92, 93, 95, 93, 94]",4,2
debjit2001,AboutTime_004.mp4,2025-10-15 17:12:25.770,70.89,3,75,"[67, 68, 69, 69, 70, 69, 70, 70, 72, 72, 73, 74, 75, 73, 72, 73, 70, 70]",4,3
Nishant,AboutTime_004.mp4,2025-10-17 09:10:33.759,83.72,7,90,"[78, 77, 79, 81, 81, 82, 81, 82, 83, 84, 85, 86, 87, 88, 89, 89, 90, 85]",3,3
pranjal123,AboutTime_004.mp4,2025-10-29 11:03:36.367,79.65,5,86,"[80, 81, 82, 80, 79, 78, 77, 76, 77, 78, 77, 79, 78, 80, 81, 86, 85]",4,4
aritra,AboutTime_004.mp4,2025-11-06 08:26:25.795,81.48,2,90,"[75, 76, 80, 84, 85, 81, 77, 77, 79, 80, 79, 79, 82, 83, 84, 86, 89, 90, 88, 84, 81, 78, 77]",2,2
sayantankuila,AboutTime_004.mp4,2025-11-20 07:55:11.161,78.88,2,83,"[78, 79, 80, 80, 83, 81, 80, 82, 79, 76, 75, 75, 76, 78, 80, 80]",4,4
ajaycc17,AboutTime_004.mp4,2025-12-09 13:26:00.694,102.63,3,104,"[101, 101, 102, 103, 104, 102, 101, 102, 103, 103, 102, 101, 103, 104, 104, 103, 103, 104, 104]",3,4
Nishant,AboutTime_005.mp4,2025-10-17 08:52:20.282,82.67,3,86,"[80, 79, 82, 84, 84, 84, 85, 86, 85, 84, 84, 82, 79, 79, 83]",4,4
debjit2001,AboutTime_005.mp4,2025-10-23 15:23:08.550,64.1,1,67,"[66, 65, 66, 65, 66, 67, 65, 67, 66, 65, 66, 65, 63, 62, 61, 62, 63, 61, 58, 60, 67]",3,3
pranjal123,AboutTime_005.mp4,2025-10-29 11:49:41.050,80.59,3,82,"[79, 81, 82, 81, 80, 79, 80, 79, 81, 82, 82, 81, 80, 79, 80, 82, 82]",4,5
aritra,AboutTime_005.mp4,2025-11-06 08:27:18.215,81.57,0,90,"[79, 79, 82, 83, 84, 86, 89, 90, 88, 84, 81, 78, 77, 78, 77, 78, 79, 80, 82, 80, 79]",2,2
sayantankuila,AboutTime_005.mp4,2025-11-20 07:47:29.172,80.26,-5,85,"[81, 81, 82, 82, 82, 83, 85, 83, 81, 80, 79, 79, 79, 78, 80, 79, 78, 77, 76]",5,5
ajaycc17,AboutTime_005.mp4,2025-12-09 13:49:08.498,100.82,5,107,"[100, 101, 102, 103, 102, 101, 100, 99, 98, 97, 98, 98, 99, 101, 103, 107, 105]",3,4
Nishant,AboutTime_006.mp4,2025-10-17 10:06:31.527,81.0,6,84,"[78, 79, 78, 80, 79, 78, 81, 82, 84, 84, 83, 82, 81, 82, 80, 79, 82, 83, 84]",3,3
debjit2001,AboutTime_006.mp4,2025-10-23 14:30:24.792,74.35,-4,86,"[69, 74, 76, 79, 82, 84, 86, 83, 79, 78, 79, 76, 72, 71, 72, 70, 72, 71, 70, 69, 68, 65, 65]",4,3
pranjal123,AboutTime_006.mp4,2025-10-29 11:09:33.611,77.2,-6,84,"[78, 79, 83, 84, 79, 77, 80, 79, 77, 76, 73, 74, 77, 78, 75, 73, 75, 78, 77, 72]",5,2
aritra,AboutTime_006.mp4,2025-11-06 08:26:56.465,81.14,3,90,"[77, 77, 79, 80, 79, 79, 82, 83, 84, 86, 89, 90, 88, 84, 81, 78, 77, 78, 77, 78, 79, 80]",1,1
sayantankuila,AboutTime_006.mp4,2025-11-21 13:06:48.876,88.06,4,92,"[88, 88, 88, 89, 88, 88, 89, 90, 88, 88, 88, 87, 86, 86, 85, 89, 92]",4,5
ajaycc17,AboutTime_006.mp4,2025-12-09 14:04:23.713,98.89,3,103,"[97, 98, 100, 97, 99, 99, 100, 101, 103, 102, 102, 100, 94, 96, 95, 98, 99, 100]",4,3
debjit2001,AboutTime_007.mp4,2025-10-23 15:13:26.930,67.25,17,81,"[64, 63, 65, 65, 64, 61, 62, 64, 67, 64, 64, 65, 64, 66, 70, 72, 73, 75, 76, 81]",3,3
aritra,AboutTime_007.mp4,2025-11-06 08:58:05.915,76.9,5,83,"[73, 71, 70, 72, 73, 75, 72, 76, 82, 83, 82, 80, 82, 81, 80, 79, 78, 76, 75, 77, 78]",2,1
sayantankuila,AboutTime_007.mp4,2025-11-21 13:30:49.648,94.2,1,96,"[94, 94, 95, 94, 94, 95, 96, 94, 93, 92, 93, 94, 95, 95, 95]",3,4
ajaycc17,AboutTime_007.mp4,2025-12-09 12:54:08.006,103.32,2,108,"[99, 100, 104, 106, 102, 103, 104, 106, 107, 108, 102, 100, 102, 102, 103, 107, 104, 103, 101]",4,3
debjit2001,AboutTime_008.mp4,2025-10-23 16:07:10.197,66.78,27,95,"[68, 72, 65, 66, 64, 63, 70, 67, 62, 61, 62, 57, 60, 64, 68, 65, 64, 65, 63, 68, 72, 75, 95]",3,3
aritra,AboutTime_008.mp4,2025-11-06 10:40:10.867,71.29,1,77,"[70, 70, 71, 74, 77, 76, 74, 71, 71, 71, 71, 70, 70, 70, 69, 69, 71, 71, 70, 70, 71]",1,1
sayantankuila,AboutTime_008.mp4,2025-11-21 12:36:16.107,95.15,-4,98,"[97, 98, 97, 96, 97, 97, 97, 96, 95, 95, 93, 92, 93, 93, 94, 96, 95, 95, 94, 93]",4,4
ajaycc17,AboutTime_008.mp4,2025-12-25 12:31:41.694,100.31,-4,106,"[100, 103, 102, 99, 100, 98, 97, 99, 98, 99, 105, 106, 105, 101, 97, 96]",4,2
Nishant,AboutTime_009.mp4,2025-10-17 10:10:03.179,81.22,-2,85,"[83, 84, 85, 84, 83, 81, 78, 77, 78, 80, 81, 80, 79, 80, 81, 84, 83, 81]",2,1
debjit2001,AboutTime_009.mp4,2025-10-23 14:42:33.192,68.35,5,73,"[64, 64, 64, 64, 66, 68, 70, 69, 69, 69, 70, 71, 73, 72, 71, 69, 69]",3,2
pranjal123,AboutTime_009.mp4,2025-10-29 10:53:22.386,79.5,-2,82,"[81, 82, 81, 80, 79, 78, 79, 80, 80, 79, 78, 78, 79, 79]",2,2
aritra,AboutTime_009.mp4,2025-11-06 10:54:23.743,72.81,10,81,"[71, 68, 69, 70, 71, 72, 73, 72, 73, 74, 73, 74, 72, 71, 81, 81]",3,4
sayantankuila,AboutTime_009.mp4,2025-11-21 12:54:25.611,92.75,-2,95,"[93, 94, 94, 93, 93, 94, 95, 91, 92, 90, 92, 93, 94, 93, 92, 91]",3,3
ajaycc17,AboutTime_009.mp4,2025-12-09 13:22:15.203,103.63,-1,107,"[104, 104, 102, 103, 104, 104, 105, 106, 106, 107, 106, 105, 104, 103, 102, 100, 99, 102, 103]",3,3
debjit2001,AboutTime_010.mp4,2025-10-15 16:58:01.777,72.0,3,75,"[70, 70, 70, 71, 73, 73, 73, 74, 75, 71, 70, 73, 75, 74, 72, 70, 73, 72, 70, 70, 73]",4,3
Nishant,AboutTime_010.mp4,2025-10-17 08:45:02.846,82.94,3,87,"[83, 82, 80, 81, 82, 83, 82, 80, 82, 81, 81, 82, 85, 85, 87, 86, 85, 86]",3,2
aritra,AboutTime_010.mp4,2025-11-06 10:14:48.398,85.3,-2,90,"[87, 86, 87, 88, 90, 89, 87, 84, 83, 83, 83, 83, 84, 84, 86, 85, 84, 84, 84, 85]",2,2
sayantankuila,AboutTime_010.mp4,2025-11-21 13:28:27.398,94.0,3,100,"[90, 89, 88, 93, 98, 99, 100, 98, 97, 96, 92, 90, 92, 94, 96, 97, 95, 94, 93, 94, 93, 91, 93]",4,4
ajaycc17,AboutTime_010.mp4,2025-12-25 12:11:42.645,102.74,1,108,"[102, 103, 102, 104, 105, 104, 107, 108, 106, 104, 103, 101, 99, 101, 102, 99, 97, 100, 103, 102, 102, 106, 103]",3,3
Nishant,AboutTime_011.mp4,2025-10-17 10:04:02.078,78.75,-7,83,"[83, 78, 75, 74, 74, 79, 80, 79, 80, 81, 81, 82, 81, 83, 82, 79, 77, 76, 75, 76]",3,4
debjit2001,AboutTime_011.mp4,2025-10-23 16:01:15.044,68.47,-4,73,"[68, 69, 71, 70, 68, 70, 71, 73, 72, 70, 69, 67, 68, 65, 66, 63, 64]",3,4
pranjal123,AboutTime_011.mp4,2025-10-29 10:49:08.770,81.64,-3,84,"[82, 81, 81, 79, 81, 82, 83, 84, 84, 83, 82, 82, 80, 79]",5,5
aritra,AboutTime_011.mp4,2025-11-06 10:42:01.258,74.56,1,82,"[71, 72, 74, 79, 81, 82, 82, 81, 78, 75, 70, 69, 70, 71, 70, 71, 74, 72]",3,3
sayantankuila,AboutTime_011.mp4,2025-11-20 08:21:53.190,88.39,-5,93,"[92, 93, 92, 93, 86, 87, 87, 86, 86, 88, 89, 86, 85, 88, 89, 88, 89, 87]",4,4
ajaycc17,AboutTime_011.mp4,2025-12-09 13:27:26.457,102.05,-3,105,"[103, 104, 104, 103, 103, 104, 104, 105, 105, 101, 102, 101, 103, 101, 102, 101, 101, 102, 101, 97, 98, 100]",3,2
Nishant,AboutTime_012.mp4,2025-10-17 10:02:02.183,79.85,5,84,"[79, 79, 80, 81, 82, 81, 80, 79, 80, 79, 78, 79, 79, 81, 76, 78, 78, 81, 83, 84]",4,3
debjit2001,AboutTime_012.mp4,2025-10-23 16:04:51.081,65.74,24,84,"[60, 62, 63, 61, 61, 63, 61, 64, 67, 66, 64, 63, 64, 66, 65, 64, 77, 74, 84]",3,3
aritra,AboutTime_012.mp4,2025-11-06 08:55:46.799,76.62,0,83,"[75, 74, 76, 76, 73, 70, 71, 73, 76, 78, 81, 82, 82, 83, 82, 80, 77, 75, 76, 74, 75]",1,1
sayantankuila,AboutTime_012.mp4,2025-11-20 07:49:02.259,79.81,3,85,"[80, 79, 78, 77, 76, 76, 77, 78, 79, 80, 80, 81, 80, 79, 78, 79, 83, 84, 85, 84, 83]",4,5
ajaycc17,AboutTime_012.mp4,2025-12-25 14:05:38.127,96.1,8,100,"[91, 93, 95, 95, 94, 95, 96, 98, 99, 97, 96, 96, 95, 94, 94, 95, 99, 98, 99, 100, 99]",3,3
Nishant,AboutTime_013.mp4,2025-10-17 08:24:20.923,81.35,0,84,"[81, 82, 82, 83, 82, 83, 81, 80, 79, 80, 81, 82, 84, 83, 79, 80, 81]",1,1
debjit2001,AboutTime_013.mp4,2025-10-23 15:57:06.066,64.63,4,68,"[63, 62, 61, 62, 65, 68, 67, 66, 67, 64, 62, 63, 64, 65, 63, 66, 67, 66, 67]",3,2
pranjal123,AboutTime_013.mp4,2025-10-29 11:35:08.382,75.29,-2,80,"[75, 74, 75, 77, 76, 74, 73, 74, 75, 75, 75, 76, 80, 78, 76, 74, 73]",3,1
aritra,AboutTime_013.mp4,2025-11-06 10:52:57.631,73.17,-2,78,"[73, 75, 75, 74, 78, 75, 76, 77, 73, 71, 71, 75, 75, 71, 68, 69, 70, 71]",2,2
sayantankuila,AboutTime_013.mp4,2025-11-21 13:42:53.091,100.16,11,108,"[97, 97, 96, 98, 98, 97, 100, 98, 94, 99, 102, 101, 100, 101, 102, 103, 105, 107, 108]",2,3
ajaycc17,AboutTime_013.mp4,2025-12-09 14:00:57.253,103.57,-3,109,"[104, 103, 101, 104, 103, 104, 104, 105, 106, 108, 109, 108, 102, 106, 104, 102, 98, 100, 101, 102, 101]",3,1
debjit2001,AboutTime_014.mp4,2025-10-15 17:18:46.819,66.87,0,75,"[73, 75, 69, 63, 63, 64, 65, 65, 62, 64, 66, 68, 66, 67, 73]",3,3
Nishant,AboutTime_014.mp4,2025-10-17 10:05:43.460,79.16,5,84,"[76, 75, 76, 77, 75, 76, 78, 79, 78, 80, 79, 78, 81, 82, 84, 84, 83, 82, 81]",3,4
aritra,AboutTime_014.mp4,2025-10-28 15:24:54.528,76.59,-3,81,"[76, 77, 79, 81, 80, 77, 74, 75, 77, 78, 77, 78, 79, 76, 73, 72, 73]",3,4
sayantankuila,AboutTime_014.mp4,2025-11-21 13:38:58.773,94.89,4,98,"[92, 91, 96, 98, 97, 96, 96, 98, 97, 94, 93, 93, 93, 92, 93, 96, 97, 96]",3,3
debjit2001,AboutTime_015.mp4,2025-10-22 07:18:35.867,62.26,-7,66,"[66, 64, 63, 62, 62, 63, 62, 61, 61, 63, 64, 62, 60, 61, 62, 63, 63, 62, 59]",4,4
aritra,AboutTime_015.mp4,2025-11-06 10:28:05.235,73.53,-7,78,"[78, 77, 74, 72, 72, 71, 72, 72, 73, 74, 73, 76, 75, 74, 74, 72, 71]",1,2
sayantankuila,AboutTime_015.mp4,2025-11-20 08:05:10.564,76.39,-5,79,"[79, 79, 78, 77, 77, 78, 78, 79, 76, 75, 74, 75, 77, 76, 75, 74, 74, 74]",5,5
ajaycc17,AboutTime_015.mp4,2025-12-09 14:02:51.805,100.88,-4,104,"[101, 104, 101, 101, 99, 102, 104, 103, 102, 101, 100, 103, 102, 97, 98, 100, 97]",5,5
debjit2001,AboutTime_016.mp4,2025-10-22 07:18:19.233,62.78,-3,66,"[66, 65, 66, 64, 63, 62, 62, 63, 62, 61, 61, 63, 64, 62, 60, 61, 62, 63]",4,4
aritra,AboutTime_016.mp4,2025-10-28 15:45:54.901,74.65,4,78,"[73, 74, 76, 75, 74, 73, 72, 72, 73, 74, 75, 75, 75, 77, 78, 76, 77]",1,1
pranjal123,AboutTime_016.mp4,2025-10-29 11:21:52.752,75.88,-3,82,"[74, 76, 77, 78, 80, 82, 79, 77, 75, 73, 74, 76, 78, 75, 69, 71]",5,5
sayantankuila,AboutTime_016.mp4,2025-11-21 13:01:43.232,87.37,1,94,"[82, 86, 91, 92, 94, 94, 90, 87, 85, 86, 87, 87, 86, 86, 86, 87, 86, 85, 83]",3,3
ajaycc17,AboutTime_016.mp4,2025-12-09 14:22:28.407,95.43,-1,100,"[96, 94, 95, 94, 95, 94, 100, 98, 96, 95, 96, 94, 94, 95]",5,2
debjit2001,AboutTime_017.mp4,2025-10-23 15:31:40.989,67.22,-16,76,"[74, 76, 68, 69, 70, 67, 65, 68, 69, 70, 73, 71, 74, 72, 69, 66, 64, 61, 62, 63, 59, 58, 58]",4,3
aritra,AboutTime_017.mp4,2025-11-06 10:43:46.290,74.94,-4,83,"[74, 72, 72, 75, 77, 76, 73, 72, 72, 73, 76, 79, 83, 81, 78, 74, 72, 70]",3,2
sayantankuila,AboutTime_017.mp4,2025-11-21 13:19:19.681,83.7,-6,92,"[89, 88, 83, 82, 83, 82, 82, 79, 78, 81, 82, 82, 80, 80, 83, 90, 92, 91, 84, 83]",3,4
ajaycc17,AboutTime_017.mp4,2025-12-09 12:36:25.902,105.88,-1,107,"[106, 106, 107, 107, 106, 105, 106, 107, 106, 107, 106, 105, 104, 105, 106, 105]",4,3
debjit2001,AboutTime_018.mp4,2025-10-15 16:51:06.156,70.91,-5,77,"[77, 75, 72, 68, 67, 70, 69, 70, 69, 70, 71, 70, 69, 68, 70, 71, 72, 73, 75, 73, 71, 69, 72]",4,2
