clip_id,Nishant,ajaycc17,aritra,debjit2001,pranjal123,sayantankuila,avg_inferred_arousal
AboutTime_000,3.0,3.0,2.0,1.0,,4.0,2.6
AboutTime_001,3.0,5.0,4.0,5.0,,4.0,4.2
AboutTime_002,3.0,4.0,3.0,2.0,,3.0,3.0
AboutTime_003,5.0,4.0,4.0,2.0,4.5,4.0,3.9166666666666665
AboutTime_004,4.0,4.0,3.5,3.5,4.0,3.0,3.6666666666666665
AboutTime_005,4.0,5.0,4.0,2.0,3.0,1.0,3.1666666666666665
AboutTime_006,4.0,4.0,2.0,1.0,2.5,4.0,2.9166666666666665
AboutTime_007,3.0,4.0,4.0,5.0,,3.0,3.8
AboutTime_008,4.5,4.0,3.0,3.5,,2.0,3.4
AboutTime_009,2.0,5.0,4.0,3.0,2.0,3.0,3.1666666666666665
AboutTime_010,4.0,4.0,3.0,3.0,,5.0,3.8
AboutTime_011,3.0,4.0,1.5,1.0,3.0,2.0,2.4166666666666665
AboutTime_012,4.0,5.0,4.0,4.0,,4.0,4.2
AboutTime_013,5.0,5.0,2.0,3.0,2.0,5.0,3.6666666666666665
AboutTime_014,4.0,,2.0,2.0,,4.0,3.0
AboutTime_015,3.0,4.0,1.0,1.0,,2.0,2.2
AboutTime_016,2.0,3.0,5.0,1.0,2.0,3.0,2.6666666666666665
AboutTime_017,3.0,3.0,2.0,2.0,,3.0,2.6
AboutTime_018,5.0,,3.0,2.0,4.0,,3.5
AboutTime_046,4.0,3.0,3.0,2.0,,5.0,3.4
AboutTime_048,3.0,5.0,2.0,3.0,3.0,3.0,3.1666666666666665
AboutTime_052,3.0,4.0,4.0,2.0,3.0,3.0,3.1666666666666665
AboutTime_056,4.0,3.0,4.0,2.0,,4.0,3.4
AboutTime_066,5.0,5.0,2.0,2.0,3.0,2.0,3.1666666666666665
AboutTime_068,4.0,3.0,4.0,2.0,,4.0,3.4
AboutTime_069,4.0,5.0,1.0,1.0,,5.0,3.2
AboutTime_071,2.0,3.0,2.0,2.0,,5.0,2.8
AboutTime_073,2.0,5.0,2.0,2.0,,2.0,2.6
AboutTime_075,3.0,2.0,4.0,1.0,2.0,4.0,2.6666666666666665
AboutTime_077,4.0,5.0,3.0,3.0,2.0,4.0,3.5
AboutTime_085,5.0,5.0,2.0,2.0,,3.0,3.4
AboutTime_086,4.0,,,,,,4.0
AboutTime_091,,3.0,,,,,3.0
AboutTime_095,3.0,4.0,3.0,2.0,,4.0,3.2
AboutTime_117,3.0,4.0,3.0,2.0,2.0,2.0,2.6666666666666665
AboutTime_120,4.0,5.0,3.0,2.0,3.0,3.0,3.3333333333333335
AboutTime_130,3.0,,2.0,3.0,3.0,4.0,3.0
AboutTime_131,2.0,4.0,4.0,1.0,4.0,5.0,3.3333333333333335
AboutTime_132,2.0,3.0,2.0,3.0,,4.0,2.8
AboutTime_133,3.0,5.0,2.0,2.0,,4.0,3.2
AboutTime_134,5.0,5.0,2.0,1.0,,3.0,3.2
AboutTime_135,3.0,4.0,3.0,2.0,,4.0,3.2
AboutTime_136,3.0,4.0,2.0,2.0,3.0,2.0,2.6666666666666665
Gifted_041,3.0,5.0,3.0,3.0,,1.0,3.0
Gifted_045,3.0,5.0,4.0,1.0,4.0,4.0,3.5
Gifted_049,4.0,3.0,3.0,2.0,,4.0,3.2
LadyBird_001,4.0,3.0,2.0,2.0,2.0,2.0,2.5
LadyBird_003,4.0,5.0,3.0,3.0,4.0,5.0,4.0
LadyBird_005,4.0,3.0,4.0,3.0,,2.0,3.2
LadyBird_011,4.0,3.0,2.0,2.0,4.0,3.0,3.0
LadyBird_013,4.0,5.0,3.0,4.0,,3.0,3.8
LadyBird_017,3.0,4.0,2.0,1.0,2.0,3.0,2.5
LadyBird_019,3.0,4.0,5.0,2.0,3.0,3.0,3.3333333333333335
LadyBird_024,2.0,5.0,3.0,2.0,,3.0,3.0
LadyBird_030,3.0,4.0,3.0,2.0,4.0,4.0,3.3333333333333335
LadyBird_031,4.0,3.0,2.0,1.0,,3.0,2.6
LadyBird_045,4.0,5.0,3.0,2.0,2.0,3.0,3.1666666666666665
LadyBird_048,4.0,3.0,2.0,2.0,,4.0,3.0
LadyBird_054,4.0,3.0,3.0,1.0,,2.0,2.6
LadyBird_055,4.0,5.0,2.0,4.0,1.0,3.0,3.1666666666666665
LadyBird_056,2.0,4.0,2.0,1.0,,3.0,2.4
LadyBird_057,2.0,5.0,1.0,2.0,,4.0,2.8
LadyBird_066,3.0,4.0,2.0,1.0,3.0,5.0,3.0
LadyBird_068,3.0,5.0,4.0,3.0,3.0,5.0,3.8333333333333335
LadyBird_069,3.0,5.0,3.0,3.0,,4.0,3.6
LadyBird_077,3.0,4.0,4.0,2.0,,4.0,3.4
LadyBird_080,4.0,4.0,4.0,1.0,,4.0,3.4
LadyBird_081,3.0,4.0,4.0,1.0,2.0,5.0,3.1666666666666665
LadyBird_088,5.0,3.0,3.0,3.0,2.0,4.0,3.3333333333333335
LadyBird_092,2.0,5.0,5.0,1.0,2.0,3.0,3.0
LadyBird_093,3.0,4.0,4.0,2.0,4.0,4.0,3.5
LadyBird_099,2.0,2.0,4.0,2.0,,3.0,2.6
LadyBird_104,3.0,5.0,4.0,2.0,,4.0,3.6
LadyBird_109,4.0,5.0,2.0,2.0,2.0,5.0,3.3333333333333335
LadyBird_110,3.0,5.0,3.0,4.0,2.0,3.0,3.3333333333333335
TheBlindSide_000,4.0,4.0,5.0,2.0,,4.0,3.8
TheBlindSide_001,3.0,2.0,2.0,2.0,2.0,3.0,2.3333333333333335
TheBlindSide_002,3.0,5.0,2.0,1.0,2.0,4.0,2.8333333333333335
TheBlindSide_003,4.0,5.0,2.0,1.0,,3.0,3.0
TheBlindSide_004,2.0,4.0,2.0,1.0,,4.0,2.6
TheBlindSide_005,2.0,4.0,4.0,4.0,3.0,4.0,3.5
