clip_id,Nishant,ajaycc17,aritra,debjit2001,pranjal123,sayantankuila,avg_inferred_valence
AboutTime_000,5.0,5.0,4.0,3.0,,5.0,4.4
AboutTime_001,4.0,5.0,4.0,4.0,,4.0,4.2
AboutTime_002,4.0,4.0,5.0,4.0,,2.0,3.8
AboutTime_003,2.0,4.0,4.0,4.0,4.0,2.0,3.3333333333333335
AboutTime_004,4.0,4.0,4.0,4.0,3.0,5.0,4.0
AboutTime_005,4.0,2.0,4.0,4.0,4.0,5.0,3.8333333333333335
AboutTime_006,5.0,4.0,4.0,4.0,4.0,2.0,3.8333333333333335
AboutTime_007,,4.0,2.0,4.0,,2.0,3.0
AboutTime_008,,4.0,4.0,3.0,,4.0,3.75
AboutTime_009,4.0,4.0,4.0,4.0,4.0,4.0,4.0
AboutTime_010,4.0,4.0,4.0,4.0,,4.0,4.0
AboutTime_011,4.0,4.0,4.0,4.0,4.0,3.0,3.8333333333333335
AboutTime_012,4.0,5.0,4.0,4.0,,4.0,4.2
AboutTime_013,3.0,4.0,4.0,4.0,3.0,4.0,3.6666666666666665
AboutTime_014,4.0,,3.0,4.0,,4.0,3.75
AboutTime_015,,4.0,4.0,5.0,,2.0,3.75
AboutTime_016,,4.0,4.0,4.0,4.0,4.0,4.0
AboutTime_017,,3.0,4.0,4.0,,4.0,3.75
AboutTime_018,,4.0,4.0,4.0,4.0,3.0,3.8
AboutTime_019,4.0,4.0,4.0,4.0,,4.0,4.0
AboutTime_020,4.0,4.0,4.0,2.0,3.0,4.0,3.5
AboutTime_021,,4.0,4.0,4.0,,2.0,3.5
AboutTime_022,4.0,4.0,4.0,3.0,,4.0,3.8
AboutTime_024,,4.0,4.0,4.0,2.0,4.0,3.6
AboutTime_031,,5.0,4.0,4.0,,2.0,3.75
AboutTime_032,,4.0,4.0,4.0,4.0,2.0,3.6
AboutTime_035,4.0,4.0,4.0,3.0,3.0,4.0,3.6666666666666665
AboutTime_038,3.0,4.0,4.0,5.0,,4.0,4.0
AboutTime_042,4.0,4.0,4.0,4.0,4.0,4.0,4.0
AboutTime_046,4.0,4.0,5.0,4.0,,4.0,4.2
AboutTime_048,,4.0,4.0,4.0,4.0,5.0,4.2
AboutTime_052,3.0,4.0,4.0,3.0,3.0,4.0,3.5
AboutTime_056,3.0,,4.0,4.0,,4.0,3.75
AboutTime_066,4.0,4.0,4.0,4.0,4.0,4.0,4.0
AboutTime_068,4.0,4.0,4.0,4.0,,2.0,3.6
AboutTime_069,4.0,4.0,4.0,3.0,,4.0,3.8
AboutTime_071,4.0,5.0,4.0,4.0,,4.0,4.2
AboutTime_073,4.0,5.0,4.0,4.0,,3.0,4.0
AboutTime_075,,2.0,4.0,4.0,4.0,4.0,3.6
AboutTime_077,4.0,4.0,4.0,2.0,4.0,2.0,3.3333333333333335
AboutTime_085,2.0,4.0,2.0,4.0,,4.0,3.2
AboutTime_086,4.0,2.0,2.0,4.0,,3.0,3.0
AboutTime_091,,4.0,4.0,4.0,4.0,4.0,4.0
AboutTime_095,,4.0,2.0,4.0,,4.0,3.5
AboutTime_117,2.0,4.0,4.0,4.0,4.0,4.0,3.6666666666666665
AboutTime_120,,4.0,4.0,2.0,4.0,2.0,3.2
AboutTime_130,5.0,,4.0,4.0,3.0,2.0,3.6
AboutTime_131,3.0,4.0,4.0,4.0,4.0,5.0,4.0
AboutTime_132,4.0,,4.0,4.0,,4.0,4.0
AboutTime_133,,4.0,4.0,4.0,,4.0,4.0
AboutTime_134,4.0,4.0,3.0,3.0,,3.0,3.4
AboutTime_135,4.0,4.0,4.0,4.0,,4.0,4.0
AboutTime_136,4.0,4.0,4.0,4.0,4.0,4.0,4.0
Gifted_041,3.0,3.0,3.0,2.0,,3.0,2.8
Gifted_045,,,2.0,2.0,3.0,4.0,2.75
Gifted_049,3.0,2.0,4.0,4.0,,3.0,3.2
LadyBird_001,,4.0,3.0,3.0,3.0,3.0,3.2
LadyBird_003,,4.0,3.0,3.0,4.0,4.0,3.6
LadyBird_005,,2.0,4.0,3.0,,4.0,3.25
LadyBird_011,4.0,3.0,3.0,3.0,4.0,3.0,3.3333333333333335
LadyBird_013,4.0,4.0,4.0,3.0,,4.0,3.8
LadyBird_017,,4.0,4.0,3.0,3.0,4.0,3.6
LadyBird_019,4.0,3.0,3.0,3.0,4.0,3.0,3.3333333333333335
LadyBird_024,3.0,4.0,4.0,3.0,,3.0,3.4
LadyBird_030,3.0,2.0,4.0,3.0,3.0,2.0,2.8333333333333335
LadyBird_031,,3.0,4.0,4.0,,3.0,3.5
LadyBird_045,3.0,3.0,3.0,4.0,3.0,4.0,3.3333333333333335
LadyBird_048,,,3.0,3.0,,2.0,2.6666666666666665
LadyBird_054,,3.0,2.0,3.0,,4.0,3.0
LadyBird_055,,3.0,3.0,3.0,4.0,3.0,3.2
LadyBird_056,3.0,3.0,3.0,3.0,,4.0,3.2
LadyBird_057,3.0,3.0,4.0,4.0,,2.0,3.2
LadyBird_066,,,3.0,3.0,4.0,3.0,3.25
LadyBird_068,4.0,3.0,3.0,3.0,3.0,3.0,3.1666666666666665
LadyBird_069,4.0,4.0,4.0,3.0,,3.0,3.6
LadyBird_077,3.0,3.0,,4.0,,4.0,3.5
LadyBird_080,,4.0,2.0,4.0,,4.0,3.5
LadyBird_081,,3.0,4.0,4.0,4.0,3.0,3.6
LadyBird_088,4.0,4.0,2.0,3.0,3.0,4.0,3.3333333333333335
LadyBird_092,4.0,4.0,3.0,4.0,3.0,4.0,3.6666666666666665
LadyBird_093,,3.0,4.0,3.0,3.0,3.0,3.2
LadyBird_099,3.0,3.0,4.0,3.0,,4.0,3.4
LadyBird_104,,3.0,3.0,3.0,,3.0,3.0
LadyBird_109,4.0,3.0,3.0,3.0,3.0,4.0,3.3333333333333335
LadyBird_110,3.0,3.0,,3.0,3.0,3.0,3.0
TheBlindSide_000,,4.0,4.0,4.0,,4.0,4.0
TheBlindSide_001,4.0,4.0,4.0,4.0,4.0,3.0,3.8333333333333335
TheBlindSide_002,3.0,4.0,4.0,4.0,3.0,4.0,3.6666666666666665
TheBlindSide_003,4.0,4.0,4.0,4.0,,4.0,4.0
TheBlindSide_004,4.0,4.0,4.0,4.0,,4.0,4.0
TheBlindSide_005,,4.0,4.0,4.0,4.0,4.0,4.0
TheBlindSide_006,4.0,4.0,4.0,3.0,3.0,4.0,3.6666666666666665
TheBlindSide_007,,4.0,4.0,4.0,3.0,4.0,3.8
TheBlindSide_008,4.0,4.0,4.0,4.0,4.0,4.0,4.0
TheBlindSide_009,4.0,4.0,3.0,3.0,,4.0,3.6
TheBlindSide_010,,4.0,4.0,4.0,4.0,4.0,4.0
TheBlindSide_011,4.0,4.0,,4.0,4.0,4.0,4.0
TheBlindSide_012,,4.0,4.0,3.0,4.0,4.0,3.8
TheBlindSide_013,4.0,4.0,4.0,4.0,,4.0,4.0
TheBlindSide_014,4.0,4.0,4.0,4.0,,4.0,4.0
TheBlindSide_015,4.0,4.0,4.0,4.0,4.0,4.0,4.0
TheBlindSide_016,4.0,4.0,4.0,4.0,4.0,4.0,4.0
TheBlindSide_017,4.0,4.0,4.0,4.0,4.0,4.0,4.0
TheBlindSide_018,4.0,4.0,4.0,4.0,4.0,4.0,4.0
TheBlindSide_019,,4.0,4.0,4.0,,4.0,4.0
TheBlindSide_020,,4.0,4.0,4.0,,4.0,4.0
TheBlindSide_021,4.0,4.0,4.0,3.0,4.0,4.0,3.8333333333333335
TheBlindSide_022,4.0,4.0,4.0,4.0,4.0,4.0,4.0
TheBlindSide_024,,4.0,,4.0,,4.0,4.0
TheBlindSide_025,,3.0,3.0,4.0,3.0,4.0,3.4
TheBlindSide_027,4.0,4.0,4.0,4.0,3.0,4.0,3.8333333333333335
TheBlindSide_028,3.0,4.0,4.0,4.0,,4.0,3.8
TheBlindSide_029,3.0,,4.0,4.0,3.0,4.0,3.6
TheBlindSide_031,,4.0,4.0,3.0,4.0,4.0,3.8
TheBlindSide_032,,4.0,4.0,4.0,4.0,4.0,4.0
TheBlindSide_033,3.0,4.0,4.0,4.0,3.0,4.0,3.6666666666666665
TheBlindSide_034,,4.0,4.0,4.0,,4.0,4.0
TheBlindSide_035,3.0,4.0,4.0,4.0,3.0,4.0,3.6666666666666665
TheBlindSide_036,4.0,4.0,4.0,4.0,,4.0,4.0
TheBlindSide_037,,4.0,4.0,4.0,3.0,4.0,3.8
TheBlindSide_038,4.0,3.0,4.0,3.0,3.0,4.0,3.5
TheBlindSide_039,,,4.0,3.0,,4.0,3.6666666666666665
TheBlindSide_040,,3.0,4.0,4.0,4.0,4.0,3.8
TheBlindSide_041,,4.0,4.0,3.0,,4.0,3.75
TheBlindSide_042,4.0,,3.0,4.0,,4.0,3.75
TheBlindSide_043,,,4.0,4.0,,4.0,4.0
TheBlindSide_044,5.0,2.0,3.0,5.0,,3.0,3.6
TheBlindSide_045,3.0,3.0,2.0,3.0,,3.0,2.8
TheBlindSide_046,,4.0,,2.0,,5.0,3.6666666666666665
TheBlindSide_049,2.0,4.0,5.0,5.0,,2.0,3.6
TheBlindSide_050,2.0,2.0,3.0,,3.0,4.0,2.8
TheBlindSide_052,3.0,,2.0,3.0,3.0,3.5,2.9
TheBlindSide_053,1.0,5.0,5.0,4.0,2.0,2.0,3.1666666666666665
TheBlindSide_054,3.0,,4.0,5.0,4.0,4.0,4.0
TheBlindSide_055,,4.0,2.0,4.0,5.0,4.0,3.8
TheBlindSide_056,,3.0,5.0,3.0,,4.0,3.75
TheBlindSide_057,,5.0,4.0,,5.0,5.0,4.75
TheBlindSide_058,,,3.0,3.0,,2.0,2.6666666666666665
TheBlindSide_059,,4.0,4.0,5.0,,5.0,4.5
TheBlindSide_060,4.0,5.0,4.0,4.0,,4.0,4.2
TheBlindSide_061,3.0,4.0,4.0,4.0,4.0,2.5,3.5833333333333335
TheBlindSide_062,,,5.0,,2.0,4.0,3.6666666666666665
TheBlindSide_063,3.0,3.0,3.0,4.0,,3.0,3.2
TheBlindSide_064,,3.0,2.0,3.0,,3.0,2.75
TheBlindSide_065,,,4.0,4.0,4.0,2.0,3.5
TheBlindSide_066,,4.0,3.0,,,3.0,3.3333333333333335
TheBlindSide_067,2.0,3.0,4.17,3.0,,3.0,3.034
TheBlindSide_068,4.0,,5.0,5.0,4.0,5.0,4.6
TheBlindSide_069,,5.0,4.0,3.0,4.0,3.0,3.8
TheBlindSide_071,4.0,3.0,4.0,4.0,,3.0,3.6
TheBlindSide_072,4.0,5.0,4.3,3.0,2.0,3.0,3.5500000000000003
TheBlindSide_073,,4.0,3.0,3.0,,4.0,3.5
TheBlindSide_075,5.0,4.0,4.0,3.0,5.0,4.0,4.166666666666667
TheBlindSide_076,2.0,4.0,3.0,4.0,,3.0,3.2
TheBlindSide_077,,2.0,2.0,3.0,,4.0,2.75
TheBlindSide_078,3.0,4.0,4.0,4.0,5.0,3.0,3.8333333333333335
TheBlindSide_079,3.0,5.0,4.0,4.0,5.0,4.0,4.166666666666667
TheBlindSide_080,5.0,4.0,4.0,3.0,4.0,4.0,4.0
TheBlindSide_081,,4.0,3.0,,,4.0,3.6666666666666665
TheBlindSide_082,3.0,4.0,4.0,5.0,,4.0,4.0
TheBlindSide_083,,3.0,3.0,4.0,,2.0,3.0
TheBlindSide_084,4.0,2.0,3.0,2.0,5.0,3.0,3.1666666666666665
TheBlindSide_085,4.0,4.0,5.0,3.0,,4.0,4.0
TheBlindSide_086,5.0,,5.0,4.0,,4.0,4.5
TheBlindSide_087,,4.0,4.0,3.0,,3.0,3.5
TheBlindSide_088,,5.0,5.0,4.0,4.0,3.0,4.2
TheBlindSide_089,3.0,4.0,2.0,4.0,4.0,5.0,3.6666666666666665
TheBlindSide_091,,5.0,3.0,4.0,4.0,3.0,3.8
TheBlindSide_092,4.0,3.0,5.0,,4.0,3.0,3.8
TheBlindSide_093,4.33,4.0,4.0,4.0,,4.0,4.066
TheFaultInOurStars_000,2.0,2.0,2.0,4.0,,3.0,2.6
TheFaultInOurStars_001,1.0,2.0,3.0,3.0,5.0,3.0,2.8333333333333335
TheFaultInOurStars_002,,2.0,2.0,2.0,,1.0,1.75
TheFaultInOurStars_003,2.0,2.0,4.0,2.0,4.0,2.0,2.6666666666666665
TheFaultInOurStars_004,,2.0,3.0,4.0,4.0,3.0,3.2
TheFaultInOurStars_005,3.0,,2.0,3.0,,1.0,2.25
TheFaultInOurStars_006,,2.0,,,,2.0,2.0
TheFaultInOurStars_007,,1.0,3.0,2.0,5.0,3.0,2.8
TheFaultInOurStars_008,3.0,2.0,2.0,2.0,2.0,2.0,2.1666666666666665
TheFaultInOurStars_009,,1.0,2.0,3.0,,2.0,2.0
TheFaultInOurStars_010,,2.0,2.0,2.0,3.0,1.0,2.0
TheFaultInOurStars_011,,2.0,,1.0,3.0,,2.0
TheFaultInOurStars_012,2.0,2.0,,,3.0,2.0,2.25
TheFaultInOurStars_013,,,2.0,3.0,,3.0,2.6666666666666665
TheFaultInOurStars_014,3.0,2.0,2.0,2.0,2.0,2.0,2.1666666666666665
TheFaultInOurStars_015,,3.0,3.0,2.0,,2.0,2.5
TheFaultInOurStars_016,2.0,2.0,2.0,3.0,,2.0,2.2
TheFaultInOurStars_017,3.0,2.0,1.0,3.0,1.0,2.0,2.0
TheFaultInOurStars_018,,,1.0,2.0,,,1.5
TheFaultInOurStars_019,,,2.0,2.0,2.0,3.0,2.25
TheFaultInOurStars_020,,3.0,3.0,3.0,3.0,1.0,2.6
TheFaultInOurStars_021,2.0,2.0,3.0,5.0,4.0,3.0,3.1666666666666665
TheFaultInOurStars_022,,2.0,2.0,2.0,,2.0,2.0
TheFaultInOurStars_023,2.0,2.0,2.0,2.0,,3.0,2.2
TheFaultInOurStars_024,,2.0,2.0,3.0,2.0,2.0,2.2
TheFaultInOurStars_025,2.0,2.0,3.0,3.0,,2.0,2.4
TheFaultInOurStars_026,3.0,2.0,3.0,4.0,2.0,2.0,2.6666666666666665
TheFaultInOurStars_027,3.0,3.0,2.0,3.0,,3.0,2.8
TheFaultInOurStars_028,2.0,1.0,2.0,3.0,,2.0,2.0
TheFaultInOurStars_029,2.0,2.0,,2.0,2.0,2.0,2.0
TheFaultInOurStars_030,,2.0,2.0,2.0,2.0,2.0,2.0
TheFaultInOurStars_031,1.0,3.0,,4.0,2.0,1.0,2.2
