clip_id,true_v,true_a,Llama-3.3-70B_pred_v,Llama-3.3-70B_pred_a,Mixtral-8x7B_pred_v,Mixtral-8x7B_pred_a,Llama-4_pred_v,Llama-4_pred_a
AboutTime_000,3.0,3.0,3.0,3.4,3.0,2.6,3.4,2.8
AboutTime_001,3.8,3.2,3.0,3.6,3.2,3.2,3.8,3.6
AboutTime_002,4.0,3.8,3.0,3.2,3.0,2.4,3.4,2.6
AboutTime_003,3.8333333333333335,3.0,3.0,3.6666666666666665,3.0,2.8333333333333335,3.6666666666666665,3.3333333333333335
AboutTime_004,3.3333333333333335,3.3333333333333335,3.0,3.5,3.1666666666666665,2.8333333333333335,3.5,3.0
AboutTime_005,3.5,3.8333333333333335,3.0,3.6666666666666665,3.1666666666666665,3.1666666666666665,3.5,3.1666666666666665
AboutTime_006,3.5,2.8333333333333335,3.1666666666666665,4.0,3.1666666666666665,2.6666666666666665,3.6666666666666665,3.1666666666666665
AboutTime_007,3.2,3.0,3.0,3.8,3.2,3.0,3.8,3.2
AboutTime_008,3.4,2.8,3.0,3.8,3.0,2.8,3.2,2.8
AboutTime_009,2.6666666666666665,2.5,3.0,3.1666666666666665,3.0,2.5,3.6666666666666665,2.8333333333333335
AboutTime_010,3.2,2.8,3.0,3.8,3.2,3.0,3.8,3.4
AboutTime_011,3.5,3.6666666666666665,3.0,3.3333333333333335,3.1666666666666665,2.8333333333333335,3.6666666666666665,3.1666666666666665
AboutTime_012,3.0,3.0,3.2,3.8,3.0,3.2,4.0,3.6
AboutTime_013,2.3333333333333335,1.6666666666666667,3.1666666666666665,3.1666666666666665,3.1666666666666665,3.0,3.6666666666666665,3.1666666666666665
AboutTime_014,3.0,3.5,3.0,2.5,2.75,2.25,3.25,2.25
AboutTime_015,4.0,4.2,3.0,2.8,2.6,2.4,3.2,2.6
AboutTime_016,3.5,3.0,3.0,2.5,2.6666666666666665,2.3333333333333335,3.1666666666666665,2.3333333333333335
AboutTime_017,3.6,3.4,3.0,3.6,3.0,2.6,3.2,2.6
AboutTime_018,4.0,3.0,3.0,3.6666666666666665,3.0,2.8333333333333335,3.6666666666666665,3.3333333333333335
AboutTime_019,4.0,3.0,3.0,3.2,3.0,2.8,3.8,3.2
AboutTime_020,3.1666666666666665,3.3333333333333335,3.0,3.0,3.1666666666666665,2.8333333333333335,3.3333333333333335,3.0
AboutTime_021,2.8,2.2,3.2,3.2,3.0,2.8,3.6,3.2
AboutTime_022,4.8,3.4,3.0,3.2,3.0,2.4,3.4,2.6
AboutTime_024,3.1666666666666665,3.0,3.0,3.6666666666666665,3.0,2.3333333333333335,3.5,3.0
AboutTime_031,3.4,3.2,3.0,3.0,3.0,2.4,3.4,2.4
AboutTime_032,3.5,3.6666666666666665,3.0,3.3333333333333335,3.0,2.5,3.3333333333333335,2.8333333333333335
AboutTime_035,2.5,2.1666666666666665,3.0,3.1666666666666665,3.0,2.6666666666666665,3.3333333333333335,3.0
AboutTime_038,3.0,2.6,3.0,3.6,3.0,2.8,3.6,2.8
AboutTime_042,4.333333333333333,4.166666666666667,3.0,3.8333333333333335,3.1666666666666665,2.8333333333333335,3.8333333333333335,3.5
AboutTime_046,4.4,3.6,3.0,3.2,3.0,2.6,3.2,2.8
AboutTime_048,4.5,4.333333333333333,3.0,3.1666666666666665,3.0,2.6666666666666665,3.3333333333333335,2.5
AboutTime_052,4.0,3.8333333333333335,3.0,3.5,3.0,2.6666666666666665,3.3333333333333335,2.8333333333333335
AboutTime_056,4.0,3.0,3.2,3.6,3.4,3.2,3.8,3.6
AboutTime_066,4.666666666666667,4.5,3.0,3.1666666666666665,3.0,2.8333333333333335,3.6666666666666665,3.0
AboutTime_068,3.4,3.2,3.2,3.8,3.6,3.6,3.8,3.6
AboutTime_069,4.2,3.8,3.0,3.4,3.0,3.0,3.6,3.0
AboutTime_071,4.0,4.0,3.2,3.6,3.0,2.6,3.6,2.8
AboutTime_073,3.6,3.8,3.0,3.4,3.0,2.8,3.4,2.8
AboutTime_075,4.333333333333333,3.0,3.0,2.5,2.8333333333333335,2.1666666666666665,3.1666666666666665,2.3333333333333335
