type,frequency,target,result,status,is_primary,start_date,end_date,created_on,edited_on
ACTIVE_ZONE_MINUTES_GOAL,DAILY,22.0,null,null,false,null,null,null,null
ACTIVE_ZONE_MINUTES_GOAL,WEEKLY,150.0,null,null,false,null,null,null,null
CALORIES_BURNED_GOAL,DAILY,2433.0,761.0,INPROGRESS_SO_FAR_MISSED,false,2025-10-28,2025-10-29,2025-10-29T06:52:49.000+00:00,null
STEPS_GOAL,DAILY,10000.0,0.0,INPROGRESS_SO_FAR_MISSED,false,2025-10-28,2025-10-29,2025-10-29T06:52:49.000+00:00,null
FLOORS_CLIMBED_GOAL,DAILY,10.0,0.0,INPROGRESS_SO_FAR_MISSED,false,2025-10-28,2025-10-29,2025-10-29T06:52:49.000+00:00,null
DISTANCE_FROM_STEPS_GOAL,DAILY,5.0,0.0,INPROGRESS_SO_FAR_MISSED,false,2025-10-28,2025-10-29,2025-10-29T06:52:49.000+00:00,null
ACTIVE_MINUTES_GOAL,DAILY,30.0,0.0,INPROGRESS_SO_FAR_MISSED,false,2025-10-28,2025-10-29,2025-10-29T06:52:49.000+00:00,null
STEPS_GOAL,WEEKLY,70000.0,0.0,INPROGRESS_SO_FAR_MISSED,true,2025-10-25,2025-11-01,2025-10-29T06:52:49.000+00:00,null
DISTANCE_FROM_STEPS_GOAL,WEEKLY,35.0,0.0,INPROGRESS_SO_FAR_MISSED,false,2025-10-25,2025-11-01,2025-10-29T06:52:49.000+00:00,null
FLOORS_CLIMBED_GOAL,WEEKLY,70.0,0.0,INPROGRESS_SO_FAR_MISSED,false,2025-10-25,2025-11-01,2025-10-29T06:52:49.000+00:00,null
CALORIES_BURNED_GOAL,WEEKLY,17031.0,5193.0,INPROGRESS_SO_FAR_MISSED,false,2025-10-25,2025-11-01,2025-10-29T06:52:49.000+00:00,null
WATER_GOAL,DAILY,1893.0,0.0,INPROGRESS_SO_FAR_MISSED,false,2025-10-25,2025-11-01,2025-10-29T06:52:49.000+00:00,null
