timestamp,level,data source
2025-10-29T07:31:00Z,SEDENTARY,Fitbit App
2025-10-29T10:36:00Z,SEDENTARY,Fitbit App
2025-10-29T10:37:00Z,SEDENTARY,Fitbit App
2025-10-29T10:38:00Z,SEDENTARY,Fitbit App
2025-10-29T10:39:00Z,SEDENTARY,Fitbit App
2025-10-29T10:40:00Z,SEDENTARY,Fitbit App
2025-10-29T10:41:00Z,SEDENTARY,Fitbit App
2025-10-29T10:42:00Z,SEDENTARY,Fitbit App
2025-10-29T10:43:00Z,SEDENTARY,Fitbit App
2025-10-29T10:44:00Z,SEDENTARY,Fitbit App
2025-10-29T10:45:00Z,SEDENTARY,Fitbit App
2025-10-29T10:46:00Z,SEDENTARY,Fitbit App
2025-10-29T10:47:00Z,SEDENTARY,Fitbit App
2025-10-29T10:48:00Z,SEDENTARY,Fitbit App
2025-10-29T10:49:00Z,SEDENTARY,Fitbit App
2025-10-29T10:50:00Z,SEDENTARY,Fitbit App
2025-10-29T10:51:00Z,SEDENTARY,Fitbit App
2025-10-29T10:53:00Z,SEDENTARY,Fitbit App
2025-10-29T10:54:00Z,SEDENTARY,Fitbit App
2025-10-29T10:56:00Z,SEDENTARY,Fitbit App
2025-10-29T10:57:00Z,SEDENTARY,Fitbit App
2025-10-29T11:00:00Z,SEDENTARY,Fitbit App
2025-10-29T11:03:00Z,SEDENTARY,Fitbit App
2025-10-29T11:04:00Z,SEDENTARY,Fitbit App
2025-10-29T11:05:00Z,SEDENTARY,Fitbit App
2025-10-29T11:06:00Z,SEDENTARY,Fitbit App
2025-10-29T11:07:00Z,SEDENTARY,Fitbit App
2025-10-29T11:08:00Z,SEDENTARY,Fitbit App
2025-10-29T11:09:00Z,SEDENTARY,Fitbit App
2025-10-29T11:10:00Z,SEDENTARY,Fitbit App
2025-10-29T11:12:00Z,SEDENTARY,Fitbit App
2025-10-29T11:13:00Z,SEDENTARY,Fitbit App
2025-10-29T11:15:00Z,SEDENTARY,Fitbit App
2025-10-29T11:16:00Z,SEDENTARY,Fitbit App
2025-10-29T11:17:00Z,SEDENTARY,Fitbit App
2025-10-29T11:18:00Z,SEDENTARY,Fitbit App
2025-10-29T11:19:00Z,SEDENTARY,Fitbit App
2025-10-29T11:20:00Z,SEDENTARY,Fitbit App
2025-10-29T11:21:00Z,SEDENTARY,Fitbit App
2025-10-29T11:22:00Z,SEDENTARY,Fitbit App
2025-10-29T11:23:00Z,SEDENTARY,Fitbit App
2025-10-29T11:24:00Z,SEDENTARY,Fitbit App
2025-10-29T11:25:00Z,SEDENTARY,Fitbit App
2025-10-29T11:27:00Z,SEDENTARY,Fitbit App
2025-10-29T11:28:00Z,SEDENTARY,Fitbit App
2025-10-29T11:29:00Z,SEDENTARY,Fitbit App
2025-10-29T11:30:00Z,SEDENTARY,Fitbit App
2025-10-29T11:31:00Z,SEDENTARY,Fitbit App
2025-10-29T11:32:00Z,SEDENTARY,Fitbit App
2025-10-29T11:33:00Z,SEDENTARY,Fitbit App
2025-10-29T11:34:00Z,SEDENTARY,Fitbit App
2025-10-29T11:35:00Z,SEDENTARY,Fitbit App
2025-10-29T11:37:00Z,SEDENTARY,Fitbit App
2025-10-29T11:38:00Z,SEDENTARY,Fitbit App
2025-10-29T11:39:00Z,SEDENTARY,Fitbit App
2025-10-29T11:40:00Z,SEDENTARY,Fitbit App
2025-10-29T11:45:00Z,SEDENTARY,Fitbit App
2025-10-29T11:47:00Z,SEDENTARY,Fitbit App
2025-10-29T11:49:00Z,SEDENTARY,Fitbit App
2025-10-29T11:50:00Z,SEDENTARY,Fitbit App
2025-10-29T11:51:00Z,SEDENTARY,Fitbit App
2025-10-29T11:52:00Z,SEDENTARY,Fitbit App
2025-10-29T11:53:00Z,SEDENTARY,Fitbit App
2025-10-29T11:54:00Z,SEDENTARY,Fitbit App
2025-10-29T11:55:00Z,SEDENTARY,Fitbit App
2025-10-29T11:56:00Z,SEDENTARY,Fitbit App
2025-10-29T11:57:00Z,SEDENTARY,Fitbit App
2025-10-29T11:58:00Z,MODERATELY_ACTIVE,Fitbit App
2025-10-29T11:59:00Z,MODERATELY_ACTIVE,Fitbit App
2025-10-29T12:00:00Z,MODERATELY_ACTIVE,Fitbit App
2025-10-30T02:54:00Z,SEDENTARY,Fitbit App
2025-10-30T02:56:00Z,SEDENTARY,Fitbit App
2025-10-30T02:57:00Z,SEDENTARY,Fitbit App
2025-10-30T02:58:00Z,SEDENTARY,Fitbit App
2025-10-30T02:59:00Z,SEDENTARY,Fitbit App
2025-10-30T03:00:00Z,SEDENTARY,Fitbit App
2025-10-30T03:01:00Z,SEDENTARY,Fitbit App
2025-10-30T03:02:00Z,SEDENTARY,Fitbit App
2025-10-30T03:03:00Z,SEDENTARY,Fitbit App
2025-10-30T03:04:00Z,SEDENTARY,Fitbit App
2025-10-30T03:05:00Z,SEDENTARY,Fitbit App
2025-10-30T03:13:00Z,SEDENTARY,Fitbit App
2025-10-30T06:00:00Z,SEDENTARY,Fitbit App
2025-10-30T06:14:00Z,LIGHTLY_ACTIVE,Fitbit App
2025-10-30T06:29:00Z,VERY_ACTIVE,Fitbit App
2025-10-31T03:22:00Z,SEDENTARY,Fitbit App
2025-10-31T03:23:00Z,SEDENTARY,Fitbit App
2025-10-31T03:24:00Z,SEDENTARY,Fitbit App
2025-10-31T03:25:00Z,LIGHTLY_ACTIVE,Fitbit App
2025-10-31T03:26:00Z,SEDENTARY,Fitbit App
2025-10-31T03:27:00Z,SEDENTARY,Fitbit App
2025-10-31T03:28:00Z,SEDENTARY,Fitbit App
2025-10-31T03:29:00Z,SEDENTARY,Fitbit App
2025-10-31T03:30:00Z,SEDENTARY,Fitbit App
2025-10-31T03:31:00Z,SEDENTARY,Fitbit App
2025-10-31T03:32:00Z,SEDENTARY,Fitbit App
2025-10-31T03:34:00Z,SEDENTARY,Fitbit App
2025-10-31T03:35:00Z,SEDENTARY,Fitbit App
2025-10-31T03:36:00Z,SEDENTARY,Fitbit App
2025-10-31T03:37:00Z,SEDENTARY,Fitbit App
2025-10-31T03:38:00Z,SEDENTARY,Fitbit App
2025-10-31T03:39:00Z,SEDENTARY,Fitbit App
2025-10-31T03:41:00Z,SEDENTARY,Fitbit App
2025-10-31T03:42:00Z,SEDENTARY,Fitbit App
2025-10-31T03:43:00Z,SEDENTARY,Fitbit App
2025-10-31T03:44:00Z,SEDENTARY,Fitbit App
2025-10-31T03:45:00Z,SEDENTARY,Fitbit App
2025-10-31T03:47:00Z,SEDENTARY,Fitbit App
2025-10-31T03:48:00Z,SEDENTARY,Fitbit App
2025-10-31T03:49:00Z,SEDENTARY,Fitbit App
2025-10-31T03:50:00Z,SEDENTARY,Fitbit App
