timestamp,heart rate zone type,data source
2025-10-29T07:18:00Z,LIGHT,Fitbit App
2025-10-29T07:19:00Z,LIGHT,Fitbit App
2025-10-29T07:31:00Z,LIGHT,Fitbit App
2025-10-29T07:32:00Z,LIGHT,Fitbit App
2025-10-29T10:34:00Z,LIGHT,Fitbit App
2025-10-29T10:35:00Z,LIGHT,Fitbit App
2025-10-29T10:36:00Z,LIGHT,Fitbit App
2025-10-29T10:37:00Z,LIGHT,Fitbit App
2025-10-29T10:38:00Z,LIGHT,Fitbit App
2025-10-29T10:39:00Z,LIGHT,Fitbit App
2025-10-29T10:40:00Z,LIGHT,Fitbit App
2025-10-29T10:41:00Z,LIGHT,Fitbit App
2025-10-29T10:42:00Z,LIGHT,Fitbit App
2025-10-29T10:43:00Z,LIGHT,Fitbit App
2025-10-29T10:44:00Z,LIGHT,Fitbit App
2025-10-29T10:45:00Z,LIGHT,Fitbit App
2025-10-29T10:46:00Z,LIGHT,Fitbit App
2025-10-29T10:47:00Z,LIGHT,Fitbit App
2025-10-29T10:48:00Z,LIGHT,Fitbit App
2025-10-29T10:49:00Z,LIGHT,Fitbit App
2025-10-29T10:50:00Z,LIGHT,Fitbit App
2025-10-29T10:51:00Z,LIGHT,Fitbit App
2025-10-29T10:52:00Z,LIGHT,Fitbit App
2025-10-29T10:53:00Z,LIGHT,Fitbit App
2025-10-29T10:54:00Z,LIGHT,Fitbit App
2025-10-29T10:55:00Z,LIGHT,Fitbit App
2025-10-29T10:56:00Z,LIGHT,Fitbit App
2025-10-29T10:57:00Z,LIGHT,Fitbit App
2025-10-29T10:58:00Z,LIGHT,Fitbit App
2025-10-29T10:59:00Z,LIGHT,Fitbit App
2025-10-29T11:00:00Z,LIGHT,Fitbit App
2025-10-29T11:01:00Z,LIGHT,Fitbit App
2025-10-29T11:02:00Z,LIGHT,Fitbit App
2025-10-29T11:03:00Z,LIGHT,Fitbit App
2025-10-29T11:04:00Z,LIGHT,Fitbit App
2025-10-29T11:05:00Z,LIGHT,Fitbit App
2025-10-29T11:06:00Z,LIGHT,Fitbit App
2025-10-29T11:07:00Z,LIGHT,Fitbit App
2025-10-29T11:08:00Z,LIGHT,Fitbit App
2025-10-29T11:09:00Z,LIGHT,Fitbit App
2025-10-29T11:10:00Z,LIGHT,Fitbit App
2025-10-29T11:11:00Z,LIGHT,Fitbit App
2025-10-29T11:12:00Z,LIGHT,Fitbit App
2025-10-29T11:13:00Z,LIGHT,Fitbit App
2025-10-29T11:14:00Z,LIGHT,Fitbit App
2025-10-29T11:15:00Z,LIGHT,Fitbit App
2025-10-29T11:16:00Z,LIGHT,Fitbit App
2025-10-29T11:17:00Z,LIGHT,Fitbit App
2025-10-29T11:18:00Z,LIGHT,Fitbit App
2025-10-29T11:19:00Z,LIGHT,Fitbit App
2025-10-29T11:20:00Z,LIGHT,Fitbit App
2025-10-29T11:21:00Z,LIGHT,Fitbit App
2025-10-29T11:22:00Z,LIGHT,Fitbit App
2025-10-29T11:23:00Z,LIGHT,Fitbit App
2025-10-29T11:24:00Z,LIGHT,Fitbit App
2025-10-29T11:25:00Z,LIGHT,Fitbit App
2025-10-29T11:26:00Z,LIGHT,Fitbit App
2025-10-29T11:27:00Z,LIGHT,Fitbit App
2025-10-29T11:28:00Z,LIGHT,Fitbit App
2025-10-29T11:29:00Z,LIGHT,Fitbit App
2025-10-29T11:30:00Z,LIGHT,Fitbit App
2025-10-29T11:31:00Z,LIGHT,Fitbit App
2025-10-29T11:32:00Z,LIGHT,Fitbit App
2025-10-29T11:33:00Z,LIGHT,Fitbit App
2025-10-29T11:34:00Z,LIGHT,Fitbit App
2025-10-29T11:35:00Z,LIGHT,Fitbit App
2025-10-29T11:36:00Z,LIGHT,Fitbit App
2025-10-29T11:37:00Z,LIGHT,Fitbit App
2025-10-29T11:38:00Z,LIGHT,Fitbit App
2025-10-29T11:39:00Z,LIGHT,Fitbit App
2025-10-29T11:40:00Z,LIGHT,Fitbit App
2025-10-29T11:41:00Z,LIGHT,Fitbit App
2025-10-29T11:42:00Z,LIGHT,Fitbit App
2025-10-29T11:43:00Z,LIGHT,Fitbit App
2025-10-29T11:44:00Z,LIGHT,Fitbit App
2025-10-29T11:45:00Z,LIGHT,Fitbit App
2025-10-29T11:46:00Z,LIGHT,Fitbit App
2025-10-29T11:47:00Z,LIGHT,Fitbit App
2025-10-29T11:48:00Z,LIGHT,Fitbit App
2025-10-29T11:49:00Z,LIGHT,Fitbit App
2025-10-29T11:50:00Z,LIGHT,Fitbit App
2025-10-29T11:51:00Z,LIGHT,Fitbit App
2025-10-29T11:52:00Z,LIGHT,Fitbit App
2025-10-29T11:53:00Z,LIGHT,Fitbit App
2025-10-29T11:54:00Z,LIGHT,Fitbit App
2025-10-29T11:55:00Z,LIGHT,Fitbit App
2025-10-29T11:56:00Z,LIGHT,Fitbit App
2025-10-29T11:57:00Z,LIGHT,Fitbit App
2025-10-29T11:58:00Z,LIGHT,Fitbit App
2025-10-29T11:59:00Z,LIGHT,Fitbit App
2025-10-29T12:00:00Z,LIGHT,Fitbit App
2025-10-29T12:01:00Z,LIGHT,Fitbit App
2025-10-29T12:02:00Z,LIGHT,Fitbit App
2025-10-30T02:53:00Z,LIGHT,Fitbit App
2025-10-30T02:54:00Z,LIGHT,Fitbit App
2025-10-30T02:55:00Z,LIGHT,Fitbit App
2025-10-30T02:56:00Z,LIGHT,Fitbit App
2025-10-30T02:57:00Z,LIGHT,Fitbit App
2025-10-30T02:58:00Z,LIGHT,Fitbit App
2025-10-30T02:59:00Z,LIGHT,Fitbit App
2025-10-30T03:00:00Z,LIGHT,Fitbit App
2025-10-30T03:01:00Z,LIGHT,Fitbit App
2025-10-30T03:02:00Z,LIGHT,Fitbit App
2025-10-30T03:03:00Z,LIGHT,Fitbit App
2025-10-30T03:04:00Z,LIGHT,Fitbit App
2025-10-30T03:05:00Z,LIGHT,Fitbit App
2025-10-30T03:06:00Z,LIGHT,Fitbit App
2025-10-30T03:07:00Z,LIGHT,Fitbit App
2025-10-30T03:08:00Z,LIGHT,Fitbit App
2025-10-30T03:09:00Z,LIGHT,Fitbit App
2025-10-30T03:10:00Z,LIGHT,Fitbit App
2025-10-30T03:11:00Z,LIGHT,Fitbit App
2025-10-30T03:13:00Z,LIGHT,Fitbit App
2025-10-30T03:14:00Z,LIGHT,Fitbit App
2025-10-30T03:15:00Z,LIGHT,Fitbit App
2025-10-30T03:16:00Z,LIGHT,Fitbit App
2025-10-30T03:17:00Z,LIGHT,Fitbit App
2025-10-30T03:18:00Z,LIGHT,Fitbit App
2025-10-30T03:19:00Z,LIGHT,Fitbit App
2025-10-30T03:20:00Z,LIGHT,Fitbit App
2025-10-30T03:21:00Z,LIGHT,Fitbit App
2025-10-30T03:22:00Z,LIGHT,Fitbit App
2025-10-30T06:00:00Z,LIGHT,Fitbit App
2025-10-30T06:01:00Z,LIGHT,Fitbit App
2025-10-30T06:02:00Z,LIGHT,Fitbit App
2025-10-30T06:03:00Z,LIGHT,Fitbit App
2025-10-30T06:04:00Z,LIGHT,Fitbit App
2025-10-30T06:05:00Z,LIGHT,Fitbit App
2025-10-30T06:06:00Z,LIGHT,Fitbit App
2025-10-30T06:07:00Z,LIGHT,Fitbit App
