clip_id,avg_reported_v,avg_reported_a,avg_inferred_v,avg_inferred_a
AboutTime_002,4.0,3.8,3.8,3.0
AboutTime_003,3.8333333333333335,3.0,3.3333333333333335,2.6666666666666665
AboutTime_004,3.3333333333333335,3.3333333333333335,4.0,3.8333333333333335
AboutTime_006,3.5,2.8333333333333335,3.8333333333333335,2.6666666666666665
AboutTime_007,3.0,2.75,3.0,2.25
AboutTime_008,3.0,2.5,3.75,2.5
AboutTime_011,3.5,3.6666666666666665,3.8333333333333335,3.1666666666666665
AboutTime_014,3.0,3.5,3.75,2.5
AboutTime_015,3.75,4.0,3.75,3.5
AboutTime_016,3.6,3.0,4.0,3.6
AboutTime_017,3.5,3.0,3.75,3.75
AboutTime_018,4.0,3.0,3.8,2.8
AboutTime_019,4.0,3.0,4.0,3.4
AboutTime_020,3.1666666666666665,3.3333333333333335,3.5,2.6666666666666665
AboutTime_022,4.8,3.4,3.8,2.6
AboutTime_024,3.0,3.0,3.6,3.2
AboutTime_031,3.5,3.0,3.75,2.75
AboutTime_032,3.4,3.6,3.6,2.6
AboutTime_038,3.0,2.6,4.0,3.2
AboutTime_046,4.4,3.6,4.2,3.6
AboutTime_052,4.0,3.8333333333333335,3.5,2.8333333333333335
AboutTime_056,4.0,3.0,3.75,2.75
AboutTime_068,3.4,3.2,3.6,2.4
AboutTime_071,4.0,4.0,4.2,3.4
AboutTime_073,3.6,3.8,4.0,2.8
AboutTime_075,4.4,2.8,3.6,2.0
AboutTime_077,3.3333333333333335,2.6666666666666665,3.3333333333333335,3.0
AboutTime_085,2.8,1.8,3.2,2.4
AboutTime_095,4.25,3.5,3.5,2.5
AboutTime_130,4.0,3.0,3.6,3.2
AboutTime_131,3.8333333333333335,3.1666666666666665,4.0,3.0
AboutTime_132,3.25,2.25,4.0,2.5
AboutTime_133,4.5,3.25,4.0,2.75
AboutTime_134,4.2,3.0,3.4,2.4
AboutTime_135,4.2,3.2,4.0,2.6
AboutTime_136,4.166666666666667,3.0,4.0,2.5
Gifted_041,2.6,2.4,2.8,2.0
Gifted_045,2.75,3.0,2.75,2.25
LadyBird_001,2.8,2.4,3.2,2.4
LadyBird_011,4.166666666666667,3.5,3.3333333333333335,2.5
LadyBird_013,3.8,2.8,3.8,3.0
LadyBird_017,3.0,3.0,3.6,2.6
LadyBird_019,2.3333333333333335,2.3333333333333335,3.3333333333333335,2.3333333333333335
LadyBird_024,3.8,3.2,3.4,2.4
LadyBird_045,3.0,3.3333333333333335,3.3333333333333335,2.5
LadyBird_048,2.3333333333333335,1.6666666666666667,2.6666666666666665,2.3333333333333335
LadyBird_055,3.4,2.4,3.2,2.2
LadyBird_056,3.6,3.0,3.2,2.2
LadyBird_057,2.6,2.4,3.2,2.4
LadyBird_066,3.75,3.25,3.25,2.25
LadyBird_077,3.75,3.25,3.5,2.5
LadyBird_081,3.0,2.8,3.6,2.4
LadyBird_088,3.3333333333333335,3.3333333333333335,3.3333333333333335,2.6666666666666665
LadyBird_093,3.8,3.0,3.2,2.2
LadyBird_099,2.4,2.0,3.4,2.2
LadyBird_109,2.6666666666666665,2.0,3.3333333333333335,2.3333333333333335
LadyBird_110,3.6,2.6,3.0,2.0
TheBlindSide_001,2.8333333333333335,3.0,3.8333333333333335,2.5
