type,frequency,target,result,status,is_primary,start_date,end_date,created_on,edited_on
ACTIVE_ZONE_MINUTES_GOAL,DAILY,22.0,null,null,false,null,null,null,null
CALORIES_BURNED_GOAL,DAILY,2565.0,808.0,INPROGRESS_SO_FAR_MISSED,false,2025-11-19,2025-11-20,2025-11-20T06:54:55.000+00:00,null
STEPS_GOAL,DAILY,10000.0,0.0,INPROGRESS_SO_FAR_MISSED,false,2025-11-19,2025-11-20,2025-11-20T06:54:55.000+00:00,null
FLOORS_CLIMBED_GOAL,DAILY,10.0,0.0,INPROGRESS_SO_FAR_MISSED,false,2025-11-19,2025-11-20,2025-11-20T06:54:55.000+00:00,null
DISTANCE_FROM_STEPS_GOAL,DAILY,5.0,0.0,INPROGRESS_SO_FAR_MISSED,false,2025-11-19,2025-11-20,2025-11-20T06:54:55.000+00:00,null
ACTIVE_MINUTES_GOAL,DAILY,30.0,0.0,INPROGRESS_SO_FAR_MISSED,false,2025-11-19,2025-11-20,2025-11-20T06:54:55.000+00:00,null
STEPS_GOAL,WEEKLY,70000.0,0.0,INPROGRESS_SO_FAR_MISSED,true,2025-11-15,2025-11-22,2025-11-20T06:54:55.000+00:00,null
DISTANCE_FROM_STEPS_GOAL,WEEKLY,35.0,0.0,INPROGRESS_SO_FAR_MISSED,false,2025-11-15,2025-11-22,2025-11-20T06:54:55.000+00:00,null
FLOORS_CLIMBED_GOAL,WEEKLY,70.0,0.0,INPROGRESS_SO_FAR_MISSED,false,2025-11-15,2025-11-22,2025-11-20T06:54:55.000+00:00,null
CALORIES_BURNED_GOAL,WEEKLY,17955.0,7067.0,INPROGRESS_SO_FAR_MISSED,false,2025-11-15,2025-11-22,2025-11-20T06:54:55.000+00:00,null
WATER_GOAL,DAILY,1893.0,0.0,INPROGRESS_SO_FAR_MISSED,false,2025-11-15,2025-11-22,2025-11-20T06:54:55.000+00:00,null
