timestamp,level,data source
2025-11-20T07:22:00Z,SEDENTARY,Fitbit App
2025-11-20T07:26:00Z,SEDENTARY,Fitbit App
2025-11-20T07:27:00Z,SEDENTARY,Fitbit App
2025-11-20T07:29:00Z,SEDENTARY,Fitbit App
2025-11-20T07:35:00Z,SEDENTARY,Fitbit App
2025-11-20T07:36:00Z,SEDENTARY,Fitbit App
2025-11-20T07:37:00Z,SEDENTARY,Fitbit App
2025-11-20T07:38:00Z,SEDENTARY,Fitbit App
2025-11-20T07:39:00Z,SEDENTARY,Fitbit App
2025-11-20T07:40:00Z,SEDENTARY,Fitbit App
2025-11-20T07:41:00Z,SEDENTARY,Fitbit App
2025-11-20T07:42:00Z,SEDENTARY,Fitbit App
2025-11-20T07:43:00Z,SEDENTARY,Fitbit App
2025-11-20T07:44:00Z,SEDENTARY,Fitbit App
2025-11-20T07:45:00Z,SEDENTARY,Fitbit App
2025-11-20T07:46:00Z,SEDENTARY,Fitbit App
2025-11-20T07:47:00Z,SEDENTARY,Fitbit App
2025-11-20T07:48:00Z,SEDENTARY,Fitbit App
2025-11-20T07:49:00Z,SEDENTARY,Fitbit App
2025-11-20T07:50:00Z,SEDENTARY,Fitbit App
2025-11-20T07:51:00Z,SEDENTARY,Fitbit App
2025-11-20T07:53:00Z,SEDENTARY,Fitbit App
2025-11-20T07:54:00Z,SEDENTARY,Fitbit App
2025-11-20T07:55:00Z,SEDENTARY,Fitbit App
2025-11-20T07:56:00Z,SEDENTARY,Fitbit App
2025-11-20T07:57:00Z,SEDENTARY,Fitbit App
2025-11-20T07:58:00Z,SEDENTARY,Fitbit App
2025-11-20T07:59:00Z,SEDENTARY,Fitbit App
2025-11-20T08:00:00Z,SEDENTARY,Fitbit App
2025-11-20T08:01:00Z,SEDENTARY,Fitbit App
2025-11-20T08:02:00Z,SEDENTARY,Fitbit App
2025-11-20T08:03:00Z,SEDENTARY,Fitbit App
2025-11-20T08:05:00Z,SEDENTARY,Fitbit App
2025-11-20T08:06:00Z,SEDENTARY,Fitbit App
2025-11-20T08:08:00Z,SEDENTARY,Fitbit App
2025-11-20T08:09:00Z,SEDENTARY,Fitbit App
2025-11-20T08:10:00Z,LIGHTLY_ACTIVE,Fitbit App
2025-11-20T08:11:00Z,LIGHTLY_ACTIVE,Fitbit App
2025-11-20T08:12:00Z,LIGHTLY_ACTIVE,Fitbit App
2025-11-20T08:13:00Z,SEDENTARY,Fitbit App
2025-11-20T08:14:00Z,SEDENTARY,Fitbit App
2025-11-20T08:15:00Z,SEDENTARY,Fitbit App
2025-11-20T08:16:00Z,SEDENTARY,Fitbit App
2025-11-20T08:17:00Z,SEDENTARY,Fitbit App
2025-11-20T08:18:00Z,LIGHTLY_ACTIVE,Fitbit App
2025-11-20T08:19:00Z,LIGHTLY_ACTIVE,Fitbit App
2025-11-20T08:20:00Z,MODERATELY_ACTIVE,Fitbit App
2025-11-20T08:21:00Z,MODERATELY_ACTIVE,Fitbit App
2025-11-20T08:23:00Z,SEDENTARY,Fitbit App
2025-11-21T06:44:00Z,SEDENTARY,Fitbit App
2025-11-21T12:17:00Z,LIGHTLY_ACTIVE,Fitbit App
2025-11-21T12:18:00Z,SEDENTARY,Fitbit App
2025-11-21T12:19:00Z,SEDENTARY,Fitbit App
2025-11-21T12:20:00Z,LIGHTLY_ACTIVE,Fitbit App
2025-11-21T12:21:00Z,LIGHTLY_ACTIVE,Fitbit App
2025-11-21T12:22:00Z,LIGHTLY_ACTIVE,Fitbit App
2025-11-21T12:23:00Z,SEDENTARY,Fitbit App
2025-11-21T12:24:00Z,SEDENTARY,Fitbit App
2025-11-21T12:25:00Z,SEDENTARY,Fitbit App
2025-11-21T12:26:00Z,SEDENTARY,Fitbit App
2025-11-21T12:28:00Z,SEDENTARY,Fitbit App
2025-11-21T12:29:00Z,SEDENTARY,Fitbit App
2025-11-21T12:30:00Z,SEDENTARY,Fitbit App
2025-11-21T12:31:00Z,SEDENTARY,Fitbit App
2025-11-21T12:32:00Z,SEDENTARY,Fitbit App
2025-11-21T12:33:00Z,SEDENTARY,Fitbit App
2025-11-21T12:34:00Z,SEDENTARY,Fitbit App
2025-11-21T12:35:00Z,SEDENTARY,Fitbit App
2025-11-21T12:36:00Z,SEDENTARY,Fitbit App
2025-11-21T12:37:00Z,SEDENTARY,Fitbit App
2025-11-21T12:38:00Z,SEDENTARY,Fitbit App
2025-11-21T12:39:00Z,SEDENTARY,Fitbit App
2025-11-21T12:40:00Z,LIGHTLY_ACTIVE,Fitbit App
2025-11-21T12:41:00Z,SEDENTARY,Fitbit App
2025-11-21T12:42:00Z,SEDENTARY,Fitbit App
2025-11-21T12:43:00Z,SEDENTARY,Fitbit App
2025-11-21T12:44:00Z,SEDENTARY,Fitbit App
2025-11-21T12:45:00Z,SEDENTARY,Fitbit App
2025-11-21T12:46:00Z,SEDENTARY,Fitbit App
2025-11-21T12:47:00Z,SEDENTARY,Fitbit App
2025-11-21T12:48:00Z,SEDENTARY,Fitbit App
2025-11-21T12:49:00Z,SEDENTARY,Fitbit App
2025-11-21T12:50:00Z,SEDENTARY,Fitbit App
2025-11-21T12:52:00Z,SEDENTARY,Fitbit App
2025-11-21T12:53:00Z,SEDENTARY,Fitbit App
2025-11-21T12:54:00Z,SEDENTARY,Fitbit App
2025-11-21T12:55:00Z,SEDENTARY,Fitbit App
2025-11-21T12:56:00Z,SEDENTARY,Fitbit App
2025-11-21T12:57:00Z,SEDENTARY,Fitbit App
2025-11-21T12:59:00Z,SEDENTARY,Fitbit App
2025-11-21T13:00:00Z,SEDENTARY,Fitbit App
2025-11-21T13:01:00Z,SEDENTARY,Fitbit App
2025-11-21T13:02:00Z,SEDENTARY,Fitbit App
2025-11-21T13:03:00Z,SEDENTARY,Fitbit App
2025-11-21T13:04:00Z,SEDENTARY,Fitbit App
2025-11-21T13:05:00Z,SEDENTARY,Fitbit App
2025-11-21T13:06:00Z,LIGHTLY_ACTIVE,Fitbit App
2025-11-21T13:07:00Z,SEDENTARY,Fitbit App
2025-11-21T13:08:00Z,SEDENTARY,Fitbit App
2025-11-21T13:09:00Z,SEDENTARY,Fitbit App
2025-11-21T13:10:00Z,SEDENTARY,Fitbit App
2025-11-21T13:11:00Z,LIGHTLY_ACTIVE,Fitbit App
2025-11-21T13:12:00Z,SEDENTARY,Fitbit App
2025-11-21T13:13:00Z,SEDENTARY,Fitbit App
2025-11-21T13:14:00Z,SEDENTARY,Fitbit App
2025-11-21T13:15:00Z,SEDENTARY,Fitbit App
2025-11-21T13:16:00Z,SEDENTARY,Fitbit App
2025-11-21T13:17:00Z,SEDENTARY,Fitbit App
2025-11-21T13:18:00Z,SEDENTARY,Fitbit App
2025-11-21T13:19:00Z,SEDENTARY,Fitbit App
2025-11-21T13:20:00Z,SEDENTARY,Fitbit App
2025-11-21T13:21:00Z,LIGHTLY_ACTIVE,Fitbit App
2025-11-21T13:22:00Z,LIGHTLY_ACTIVE,Fitbit App
2025-11-21T13:23:00Z,VERY_ACTIVE,Fitbit App
2025-11-21T13:24:00Z,MODERATELY_ACTIVE,Fitbit App
2025-11-21T13:25:00Z,MODERATELY_ACTIVE,Fitbit App
2025-11-21T13:26:00Z,SEDENTARY,Fitbit App
2025-11-21T13:27:00Z,SEDENTARY,Fitbit App
2025-11-21T13:28:00Z,SEDENTARY,Fitbit App
2025-11-21T13:29:00Z,SEDENTARY,Fitbit App
2025-11-21T13:31:00Z,SEDENTARY,Fitbit App
2025-11-21T13:32:00Z,SEDENTARY,Fitbit App
2025-11-21T13:33:00Z,SEDENTARY,Fitbit App
