timestamp,pid,value,device_serial,device_number,entry_time
1548831328000.0000000000,12,0E-10,A01BBE,5,1548831328000
1548831328015.6201171875,12,0E-10,A01BBE,5,1548831328000
1548831328031.2500000000,12,0E-10,A01BBE,5,1548831328000
1548831328046.8798828125,12,0E-10,A01BBE,5,1548831328000
1548831328062.5000000000,12,0E-10,A01BBE,5,1548831328000
1548831328078.1201171875,12,0E-10,A01BBE,5,1548831328000
1548831328093.7500000000,12,0E-10,A01BBE,5,1548831328000
1548831328109.3798828125,12,0E-10,A01BBE,5,1548831328000
1548831328125.0000000000,12,0E-10,A01BBE,5,1548831328000
1548831328140.6201171875,12,0E-10,A01BBE,5,1548831328000
1548831328156.2500000000,12,0E-10,A01BBE,5,1548831328000
1548831328171.8798828125,12,0.0100000000,A01BBE,5,1548831328000
1548831328187.5000000000,12,0.0100000000,A01BBE,5,1548831328000
1548831328203.1201171875,12,0E-10,A01BBE,5,1548831328000
1548831328218.7500000000,12,-0.0300000000,A01BBE,5,1548831328000
1548831328234.3798828125,12,-0.0500000000,A01BBE,5,1548831328000
1548831328250.0000000000,12,-0.0500000000,A01BBE,5,1548831328000
1548831328265.6201171875,12,0E-10,A01BBE,5,1548831328000
1548831328281.2500000000,12,0.1300000000,A01BBE,5,1548831328000
1548831328296.8798828125,12,0.3600000000,A01BBE,5,1548831328000
1548831328312.5000000000,12,0.6600000000,A01BBE,5,1548831328000
1548831328328.1201171875,12,1.0100000000,A01BBE,5,1548831328000
1548831328343.7500000000,12,1.3700000000,A01BBE,5,1548831328000
1548831328359.3798828125,12,1.7200000000,A01BBE,5,1548831328000
1548831328375.0000000000,12,2.0600000000,A01BBE,5,1548831328000
1548831328390.6201171875,12,2.4000000000,A01BBE,5,1548831328000
1548831328406.2500000000,12,2.7900000000,A01BBE,5,1548831328000
1548831328421.8798828125,12,3.2400000000,A01BBE,5,1548831328000
1548831328437.5000000000,12,3.8000000000,A01BBE,5,1548831328000
1548831328453.1201171875,12,4.4200000000,A01BBE,5,1548831328000
1548831328468.7500000000,12,5.0600000000,A01BBE,5,1548831328000
1548831328484.3798828125,12,5.6600000000,A01BBE,5,1548831328000
1548831328500.0000000000,12,6.2000000000,A01BBE,5,1548831328000
1548831328515.6201171875,12,6.6800000000,A01BBE,5,1548831328000
1548831328531.2500000000,12,7.1500000000,A01BBE,5,1548831328000
1548831328546.8798828125,12,7.6800000000,A01BBE,5,1548831328000
1548831328562.5000000000,12,8.3100000000,A01BBE,5,1548831328000
1548831328578.1201171875,12,9.1400000000,A01BBE,5,1548831328000
1548831328593.7500000000,12,10.0900000000,A01BBE,5,1548831328000
1548831328609.3798828125,12,11.0400000000,A01BBE,5,1548831328000
1548831328625.0000000000,12,11.8800000000,A01BBE,5,1548831328000
1548831328640.6201171875,12,12.5600000000,A01BBE,5,1548831328000
1548831328656.2500000000,12,13.1400000000,A01BBE,5,1548831328000
1548831328671.8798828125,12,13.7600000000,A01BBE,5,1548831328000
1548831328687.5000000000,12,14.6500000000,A01BBE,5,1548831328000
1548831328703.1201171875,12,15.9600000000,A01BBE,5,1548831328000
1548831328718.7500000000,12,17.9100000000,A01BBE,5,1548831328000
1548831328734.3798828125,12,20.3200000000,A01BBE,5,1548831328000
1548831328750.0000000000,12,22.9000000000,A01BBE,5,1548831328000
1548831328765.6201171875,12,25.3800000000,A01BBE,5,1548831328000
1548831328781.2500000000,12,27.5800000000,A01BBE,5,1548831328000
1548831328796.8798828125,12,29.5700000000,A01BBE,5,1548831328000
1548831328812.5000000000,12,31.6800000000,A01BBE,5,1548831328000
1548831328828.1201171875,12,34.3200000000,A01BBE,5,1548831328000
1548831328843.7500000000,12,37.8100000000,A01BBE,5,1548831328000
1548831328859.3798828125,12,42.5400000000,A01BBE,5,1548831328000
1548831328875.0000000000,12,48.1500000000,A01BBE,5,1548831328000
1548831328890.6201171875,12,54.1000000000,A01BBE,5,1548831328000
1548831328906.2500000000,12,59.8300000000,A01BBE,5,1548831328000
1548831328921.8798828125,12,64.9700000000,A01BBE,5,1548831328000
1548831328937.5000000000,12,69.5800000000,A01BBE,5,1548831328000
1548831328953.1201171875,12,74.1400000000,A01BBE,5,1548831328000
1548831328968.7500000000,12,79.3400000000,A01BBE,5,1548831328000
1548831328984.3798828125,12,85.7100000000,A01BBE,5,1548831328000
1548831329000.0000000000,12,93.7600000000,A01BBE,5,1548831328000
1548831329015.6201171875,12,103.0000000000,A01BBE,5,1548831328000
1548831329031.2500000000,12,112.6200000000,A01BBE,5,1548831328000
1548831329046.8798828125,12,121.7300000000,A01BBE,5,1548831328000
1548831329062.5000000000,12,129.7700000000,A01BBE,5,1548831328000
1548831329078.1201171875,12,136.7500000000,A01BBE,5,1548831328000
1548831329093.7500000000,12,143.3000000000,A01BBE,5,1548831328000
1548831329109.3798828125,12,150.7500000000,A01BBE,5,1548831328000
1548831329125.0000000000,12,157.7700000000,A01BBE,5,1548831328000
1548831329140.6201171875,12,166.6400000000,A01BBE,5,1548831328000
1548831329156.2500000000,12,177.9500000000,A01BBE,5,1548831328000
1548831329171.8798828125,12,191.7900000000,A01BBE,5,1548831328000
1548831329187.5000000000,12,206.9700000000,A01BBE,5,1548831328000
1548831329203.1201171875,12,220.5700000000,A01BBE,5,1548831328000
1548831329218.7500000000,12,228.2500000000,A01BBE,5,1548831328000
1548831329234.3798828125,12,225.3600000000,A01BBE,5,1548831328000
1548831329250.0000000000,12,208.5300000000,A01BBE,5,1548831328000
1548831329265.6201171875,12,176.8700000000,A01BBE,5,1548831328000
1548831329281.2500000000,12,132.7600000000,A01BBE,5,1548831328000
1548831329296.8798828125,12,80.0500000000,A01BBE,5,1548831328000
1548831329312.5000000000,12,23.0700000000,A01BBE,5,1548831328000
1548831329328.1201171875,12,-34.9400000000,A01BBE,5,1548831328000
1548831329343.7500000000,12,-92.4400000000,A01BBE,5,1548831328000
1548831329359.3798828125,12,-149.1600000000,A01BBE,5,1548831328000
1548831329375.0000000000,12,-205.2300000000,A01BBE,5,1548831328000
1548831329390.6201171875,12,-260.3700000000,A01BBE,5,1548831328000
1548831329406.2500000000,12,-313.7400000000,A01BBE,5,1548831328000
1548831329421.8798828125,12,-363.8700000000,A01BBE,5,1548831328000
1548831329437.5000000000,12,-409.8300000000,A01BBE,5,1548831328000
1548831329453.1201171875,12,-450.9100000000,A01BBE,5,1548831328000
1548831329468.7500000000,12,-486.5000000000,A01BBE,5,1548831328000
1548831329484.3798828125,12,-515.7400000000,A01BBE,5,1548831328000
1548831329500.0000000000,12,-537.2300000000,A01BBE,5,1548831328000
1548831329515.6201171875,12,-549.2200000000,A01BBE,5,1548831328000
1548831329531.2500000000,12,-549.9600000000,A01BBE,5,1548831328000
1548831329546.8798828125,12,-538.3700000000,A01BBE,5,1548831328000
1548831329562.5000000000,12,-514.2100000000,A01BBE,5,1548831328000
1548831329578.1201171875,12,-478.6700000000,A01BBE,5,1548831328000
1548831329593.7500000000,12,-433.8800000000,A01BBE,5,1548831328000
1548831329609.3798828125,12,-382.4500000000,A01BBE,5,1548831328000
1548831329625.0000000000,12,-327.0200000000,A01BBE,5,1548831328000
1548831329640.6201171875,12,-269.8400000000,A01BBE,5,1548831328000
1548831329656.2500000000,12,-212.6300000000,A01BBE,5,1548831328000
1548831329671.8798828125,12,-156.6600000000,A01BBE,5,1548831328000
1548831329687.5000000000,12,-102.9500000000,A01BBE,5,1548831328000
1548831329703.1201171875,12,-52.3700000000,A01BBE,5,1548831328000
1548831329718.7500000000,12,-5.9000000000,A01BBE,5,1548831328000
1548831329734.3798828125,12,35.5800000000,A01BBE,5,1548831328000
1548831329750.0000000000,12,71.4300000000,A01BBE,5,1548831328000
1548831329765.6201171875,12,101.3500000000,A01BBE,5,1548831328000
1548831329781.2500000000,12,125.5000000000,A01BBE,5,1548831328000
1548831329796.8798828125,12,144.3800000000,A01BBE,5,1548831328000
1548831329812.5000000000,12,158.6900000000,A01BBE,5,1548831328000
1548831329828.1201171875,12,169.1500000000,A01BBE,5,1548831328000
1548831329843.7500000000,12,176.3700000000,A01BBE,5,1548831328000
1548831329859.3798828125,12,180.7500000000,A01BBE,5,1548831328000
1548831329875.0000000000,12,182.5700000000,A01BBE,5,1548831328000
1548831329890.6201171875,12,182.0700000000,A01BBE,5,1548831328000
1548831329906.2500000000,12,179.5100000000,A01BBE,5,1548831328000
1548831329921.8798828125,12,175.2300000000,A01BBE,5,1548831328000
1548831329937.5000000000,12,169.6500000000,A01BBE,5,1548831328000
1548831329953.1201171875,12,163.1800000000,A01BBE,5,1548831328000
1548831329968.7500000000,12,156.1500000000,A01BBE,5,1548831328000
1548831329984.3798828125,12,148.8100000000,A01BBE,5,1548831328000
1548831330000.0000000000,12,141.3000000000,A01BBE,5,1548831328000
1548831330015.6201171875,12,133.6900000000,A01BBE,5,1548831328000
1548831330031.2500000000,12,126.0200000000,A01BBE,5,1548831328000
1548831330046.8798828125,12,118.3300000000,A01BBE,5,1548831328000
1548831330062.5000000000,12,110.6900000000,A01BBE,5,1548831328000
1548831330078.1201171875,12,103.1600000000,A01BBE,5,1548831328000
1548831330093.7500000000,12,95.8000000000,A01BBE,5,1548831328000
1548831330109.3798828125,12,88.6800000000,A01BBE,5,1548831328000
