clip_id,avg_inferred_arousal
AboutTime_000,2.8
AboutTime_001,4.2
AboutTime_002,2.8
AboutTime_003,3.8333333333333335
AboutTime_004,3.6666666666666665
AboutTime_005,3.5
AboutTime_006,3.3333333333333335
AboutTime_007,4.2
AboutTime_008,3.8
AboutTime_009,3.3333333333333335
AboutTime_010,4.2
AboutTime_011,3.1666666666666665
AboutTime_012,4.0
AboutTime_013,3.5
AboutTime_014,2.5
AboutTime_015,3.0
AboutTime_016,2.6666666666666665
AboutTime_017,3.0
AboutTime_018,3.5
AboutTime_019,3.6
AboutTime_020,3.1666666666666665
AboutTime_021,3.4
AboutTime_022,3.0
AboutTime_024,3.5
AboutTime_031,2.8
AboutTime_032,3.3333333333333335
AboutTime_035,3.1666666666666665
AboutTime_038,3.4
AboutTime_042,3.6666666666666665
AboutTime_046,4.0
AboutTime_048,3.0
AboutTime_052,3.5
AboutTime_056,3.8
AboutTime_066,3.3333333333333335
AboutTime_068,3.8
AboutTime_069,3.6
AboutTime_071,3.4
AboutTime_073,3.2
AboutTime_075,2.8333333333333335
AboutTime_077,3.6666666666666665
AboutTime_085,3.4
AboutTime_086,3.4
AboutTime_091,3.1666666666666665
AboutTime_095,3.0
AboutTime_117,3.0
AboutTime_120,3.5
AboutTime_130,3.2
AboutTime_131,3.8333333333333335
AboutTime_132,3.2
AboutTime_133,3.2
AboutTime_134,3.0
AboutTime_135,3.0
AboutTime_136,3.1666666666666665
Gifted_041,3.6
Gifted_045,3.1666666666666665
Gifted_049,3.2
LadyBird_001,3.5
LadyBird_003,4.0
LadyBird_005,3.8
LadyBird_011,3.5
LadyBird_013,4.0
LadyBird_017,2.8333333333333335
LadyBird_019,3.5
LadyBird_024,3.6
LadyBird_030,3.3333333333333335
LadyBird_031,3.0
LadyBird_045,3.1666666666666665
LadyBird_048,3.4
LadyBird_054,3.2
LadyBird_055,3.3333333333333335
LadyBird_056,3.0
LadyBird_057,3.2
LadyBird_066,3.5
LadyBird_068,3.0
LadyBird_069,3.8
LadyBird_077,4.0
LadyBird_080,4.0
