Threshold,Dimension,Source,Modality,Model,Match,Feel,Drift,NoMatch,Total
0.25,valence,SELF,VIDEO,N/A,34,101,33,106,274
0.25,valence,SELF,AUDIO,N/A,51,84,45,94,274
0.25,valence,SELF,INTERSECT,N/A,12,62,11,72,274
0.25,valence,BODY,VIDEO,llama,16,33,51,174,274
0.25,valence,BODY,AUDIO,llama,13,36,83,142,274
0.25,valence,BODY,INTERSECT,llama,4,24,19,110,274
0.25,valence,BODY,VIDEO,qwen,13,37,51,163,264
0.25,valence,BODY,AUDIO,qwen,16,34,77,137,264
0.25,valence,BODY,INTERSECT,qwen,4,25,18,104,264
0.25,valence,BODY,VIDEO,llama4,25,37,42,170,274
0.25,valence,BODY,AUDIO,llama4,21,41,75,137,274
0.25,valence,BODY,INTERSECT,llama4,8,24,15,110,274
0.25,arousal,SELF,VIDEO,N/A,15,111,15,133,274
0.25,arousal,SELF,AUDIO,N/A,32,94,38,110,274
0.25,arousal,SELF,INTERSECT,N/A,3,82,5,100,274
0.25,arousal,BODY,VIDEO,llama,4,45,26,199,274
0.25,arousal,BODY,AUDIO,llama,5,44,65,160,274
0.25,arousal,BODY,INTERSECT,llama,1,41,7,141,274
0.25,arousal,BODY,VIDEO,qwen,3,72,26,163,264
0.25,arousal,BODY,AUDIO,qwen,28,47,40,149,264
0.25,arousal,BODY,INTERSECT,qwen,1,45,6,129,264
0.25,arousal,BODY,VIDEO,llama4,5,57,25,187,274
0.25,arousal,BODY,AUDIO,llama4,11,51,59,153,274
0.25,arousal,BODY,INTERSECT,llama4,1,47,7,135,274
0.5,valence,SELF,VIDEO,N/A,132,119,9,14,274
0.5,valence,SELF,AUDIO,N/A,150,101,12,11,274
0.5,valence,SELF,INTERSECT,N/A,88,57,3,5,274
0.5,valence,BODY,VIDEO,llama,51,47,90,86,274
0.5,valence,BODY,AUDIO,llama,41,57,121,55,274
0.5,valence,BODY,INTERSECT,llama,25,31,66,31,274
0.5,valence,BODY,VIDEO,qwen,60,52,77,75,264
0.5,valence,BODY,AUDIO,qwen,54,58,103,49,264
0.5,valence,BODY,INTERSECT,qwen,33,31,56,28,264
0.5,valence,BODY,VIDEO,llama4,92,51,49,82,274
0.5,valence,BODY,AUDIO,llama4,82,61,80,51,274
0.5,valence,BODY,INTERSECT,llama4,58,27,33,35,274
0.5,arousal,SELF,VIDEO,N/A,55,179,14,26,274
0.5,arousal,SELF,AUDIO,N/A,107,127,22,18,274
0.5,arousal,SELF,INTERSECT,N/A,19,91,7,11,274
0.5,arousal,BODY,VIDEO,llama,43,69,26,136,274
0.5,arousal,BODY,AUDIO,llama,45,67,84,78,274
0.5,arousal,BODY,INTERSECT,llama,15,39,11,63,274
0.5,arousal,BODY,VIDEO,qwen,18,122,47,77,264
0.5,arousal,BODY,AUDIO,qwen,73,67,52,72,264
0.5,arousal,BODY,INTERSECT,qwen,5,54,18,43,264
0.5,arousal,BODY,VIDEO,llama4,39,88,30,117,274
0.5,arousal,BODY,AUDIO,llama4,49,78,80,67,274
0.5,arousal,BODY,INTERSECT,llama4,12,51,14,51,274
0.75,valence,SELF,VIDEO,N/A,182,86,5,1,274
0.75,valence,SELF,AUDIO,N/A,193,75,4,2,274
0.75,valence,SELF,INTERSECT,N/A,137,30,3,0,274
0.75,valence,BODY,VIDEO,llama,96,45,91,42,274
0.75,valence,BODY,AUDIO,llama,82,59,115,18,274
0.75,valence,BODY,INTERSECT,llama,61,24,79,6,274
0.75,valence,BODY,VIDEO,qwen,113,42,68,41,264
0.75,valence,BODY,AUDIO,qwen,105,50,86,23,264
0.75,valence,BODY,INTERSECT,qwen,79,16,58,13,264
0.75,valence,BODY,VIDEO,llama4,147,36,40,51,274
0.75,valence,BODY,AUDIO,llama4,133,50,64,27,274
0.75,valence,BODY,INTERSECT,llama4,108,11,32,19,274
0.75,arousal,SELF,VIDEO,N/A,92,165,8,9,274
0.75,arousal,SELF,AUDIO,N/A,150,107,11,6,274
0.75,arousal,SELF,INTERSECT,N/A,46,61,5,3,274
0.75,arousal,BODY,VIDEO,llama,84,84,16,90,274
0.75,arousal,BODY,AUDIO,llama,89,79,72,34,274
0.75,arousal,BODY,INTERSECT,llama,41,36,10,28,274
0.75,arousal,BODY,VIDEO,qwen,41,133,55,35,264
