Threshold,Dimension,Source,Modality,H1_Match,H2_Feel,H3_Drift,H4_CBT,H5_Chaos,Total,Model
0.25,valence,SELF,VIDEO,34,101,33,33,73,274,
0.25,valence,SELF,AUDIO,51,84,45,25,69,274,
0.25,valence,BODY,VIDEO,16,51,33,47,127,274,llama
0.25,valence,TRUTH,VIDEO,9,9,14,9,12,53,llama
0.25,valence,BODY,AUDIO,13,83,36,25,117,274,llama
0.25,valence,TRUTH,AUDIO,6,9,17,4,17,53,llama
0.25,valence,BODY,INTERSECT,0,0,0,0,0,0,llama
0.25,valence,TRUTH,INTERSECT,0,0,0,0,0,0,llama
0.25,valence,BODY,VIDEO,13,51,37,40,123,264,qwen
0.25,valence,TRUTH,VIDEO,4,15,19,6,13,57,qwen
0.25,valence,BODY,AUDIO,16,77,34,26,111,264,qwen
0.25,valence,TRUTH,AUDIO,7,9,16,8,17,57,qwen
0.25,valence,BODY,INTERSECT,0,0,0,0,0,0,qwen
0.25,valence,TRUTH,INTERSECT,0,0,0,0,0,0,qwen
0.25,valence,BODY,VIDEO,25,42,37,83,87,274,llama4
0.25,valence,TRUTH,VIDEO,11,8,20,19,6,64,llama4
0.25,valence,BODY,AUDIO,21,75,41,25,112,274,llama4
0.25,valence,TRUTH,AUDIO,11,16,20,6,11,64,llama4
0.25,valence,BODY,INTERSECT,0,0,0,0,0,0,llama4
0.25,valence,TRUTH,INTERSECT,0,0,0,0,0,0,llama4
0.25,arousal,SELF,VIDEO,15,111,15,6,127,274,
0.25,arousal,SELF,AUDIO,32,94,38,22,88,274,
0.25,arousal,BODY,VIDEO,4,26,45,57,142,274,llama
0.25,arousal,TRUTH,VIDEO,3,6,23,2,12,46,llama
0.25,arousal,BODY,AUDIO,5,65,44,15,145,274,llama
0.25,arousal,TRUTH,AUDIO,3,5,23,3,12,46,llama
0.25,arousal,BODY,INTERSECT,0,2,2,0,2,6,llama
0.25,arousal,TRUTH,INTERSECT,0,0,1,0,0,1,llama
0.25,arousal,BODY,VIDEO,3,26,72,9,154,264,qwen
0.25,arousal,TRUTH,VIDEO,1,3,33,1,30,68,qwen
0.25,arousal,BODY,AUDIO,28,40,47,21,128,264,qwen
0.25,arousal,TRUTH,AUDIO,12,4,22,3,27,68,qwen
0.25,arousal,BODY,INTERSECT,0,2,0,0,4,6,qwen
0.25,arousal,TRUTH,INTERSECT,0,0,0,0,2,2,qwen
0.25,arousal,BODY,VIDEO,5,25,57,27,160,274,llama4
0.25,arousal,TRUTH,VIDEO,3,6,26,0,17,52,llama4
0.25,arousal,BODY,AUDIO,11,59,51,20,133,274,llama4
0.25,arousal,TRUTH,AUDIO,4,3,25,3,17,52,llama4
0.25,arousal,BODY,INTERSECT,0,2,1,0,3,6,llama4
0.25,arousal,TRUTH,INTERSECT,0,0,0,0,0,0,llama4
0.5,valence,SELF,VIDEO,132,119,9,6,8,274,
0.5,valence,SELF,AUDIO,150,101,12,6,5,274,
0.5,valence,BODY,VIDEO,51,90,47,44,42,274,llama
0.5,valence,TRUTH,VIDEO,42,26,32,11,3,114,llama
0.5,valence,BODY,AUDIO,41,121,57,24,31,274,llama
0.5,valence,TRUTH,AUDIO,33,27,41,6,7,114,llama
0.5,valence,BODY,INTERSECT,0,0,0,0,0,0,llama
0.5,valence,TRUTH,INTERSECT,0,0,0,0,0,0,llama
0.5,valence,BODY,VIDEO,60,77,52,45,30,264,qwen
0.5,valence,TRUTH,VIDEO,50,24,35,5,1,115,qwen
0.5,valence,BODY,AUDIO,54,103,58,22,27,264,qwen
