Threshold,Modality,Dimension,Source,Model,All_Match,Feel_Perception,Understand,No_Match,Total
0.25,AUDIO,valence,SELF,N/A,51,84,45,94,274
0.25,AUDIO,arousal,SELF,N/A,32,94,38,110,274
0.25,VIDEO,valence,SELF,N/A,34,101,33,106,274
0.25,VIDEO,arousal,SELF,N/A,15,111,15,133,274
0.5,AUDIO,valence,SELF,N/A,150,101,12,11,274
0.5,AUDIO,arousal,SELF,N/A,107,127,22,18,274
0.5,VIDEO,valence,SELF,N/A,132,119,9,14,274
0.5,VIDEO,arousal,SELF,N/A,55,179,14,26,274
0.75,AUDIO,valence,SELF,N/A,193,75,4,2,274
0.75,AUDIO,arousal,SELF,N/A,150,107,11,6,274
0.75,VIDEO,valence,SELF,N/A,182,86,5,1,274
0.75,VIDEO,arousal,SELF,N/A,92,165,8,9,274
1.0,AUDIO,valence,SELF,N/A,226,48,0,0,274
1.0,AUDIO,arousal,SELF,N/A,200,74,0,0,274
1.0,VIDEO,valence,SELF,N/A,224,50,0,0,274
1.0,VIDEO,arousal,SELF,N/A,138,136,0,0,274
