Modality,Dimension,Threshold,Total,Self_Match,Body_Match,Self_Feel,Body_Feel,Self_Drift,Body_Drift,Self_None,Body_None
AUDIO,Valence,0.25,274,51,22,84,48,45,74,94,130
AUDIO,Arousal,0.25,274,32,16,94,50,38,54,110,154
VIDEO,Valence,0.25,274,34,21,101,49,33,46,106,158
VIDEO,Arousal,0.25,274,15,0,111,66,15,30,133,178
AUDIO,Valence,0.5,274,150,54,101,53,12,108,11,59
AUDIO,Arousal,0.5,274,107,65,127,64,22,64,18,81
VIDEO,Valence,0.5,274,132,61,119,46,9,80,14,87
VIDEO,Arousal,0.5,274,55,17,179,112,14,52,26,93
AUDIO,Valence,0.75,274,193,92,75,53,4,105,2,24
AUDIO,Arousal,0.75,274,150,96,107,72,11,65,6,41
VIDEO,Valence,0.75,274,182,102,86,43,5,85,1,44
VIDEO,Arousal,0.75,274,92,40,165,128,8,60,9,46
AUDIO,Valence,1.0,274,226,138,48,42,0,88,0,6
AUDIO,Arousal,1.0,274,200,149,74,56,0,51,0,18
VIDEO,Valence,1.0,274,224,146,50,34,0,78,0,16
VIDEO,Arousal,1.0,274,138,86,136,119,0,52,0,17
