Threshold,Dimension,Modality,Model,Agreed_Clips,Total_Clips,Agreement_Rate
0.25,valence,VIDEO,llama,53,274,19.3
0.25,valence,AUDIO,llama,53,274,19.3
0.25,valence,VIDEO,qwen,57,264,21.6
0.25,valence,AUDIO,qwen,57,264,21.6
0.25,valence,VIDEO,llama4,64,274,23.4
0.25,valence,AUDIO,llama4,64,274,23.4
0.25,arousal,VIDEO,llama,46,274,16.8
0.25,arousal,AUDIO,llama,46,274,16.8
0.25,arousal,VIDEO,qwen,68,264,25.8
0.25,arousal,AUDIO,qwen,68,264,25.8
0.25,arousal,VIDEO,llama4,52,274,19.0
0.25,arousal,AUDIO,llama4,52,274,19.0
0.5,valence,VIDEO,llama,114,274,41.6
0.5,valence,AUDIO,llama,114,274,41.6
0.5,valence,VIDEO,qwen,115,264,43.6
0.5,valence,AUDIO,qwen,115,264,43.6
0.5,valence,VIDEO,llama4,138,274,50.4
0.5,valence,AUDIO,llama4,138,274,50.4
0.5,arousal,VIDEO,llama,94,274,34.3
0.5,arousal,AUDIO,llama,94,274,34.3
0.5,arousal,VIDEO,qwen,126,264,47.7
0.5,arousal,AUDIO,qwen,126,264,47.7
0.5,arousal,VIDEO,llama4,112,274,40.9
0.5,arousal,AUDIO,llama4,112,274,40.9
0.75,valence,VIDEO,llama,153,274,55.8
0.75,valence,AUDIO,llama,153,274,55.8
0.75,valence,VIDEO,qwen,165,264,62.5
0.75,valence,AUDIO,qwen,165,264,62.5
0.75,valence,VIDEO,llama4,178,274,65.0
0.75,valence,AUDIO,llama4,178,274,65.0
0.75,arousal,VIDEO,llama,140,274,51.1
0.75,arousal,AUDIO,llama,140,274,51.1
0.75,arousal,VIDEO,qwen,170,264,64.4
0.75,arousal,AUDIO,qwen,170,264,64.4
0.75,arousal,VIDEO,llama4,150,274,54.7
0.75,arousal,AUDIO,llama4,150,274,54.7
1.0,valence,VIDEO,llama,207,274,75.5
1.0,valence,AUDIO,llama,207,274,75.5
1.0,valence,VIDEO,qwen,207,264,78.4
1.0,valence,AUDIO,qwen,207,264,78.4
1.0,valence,VIDEO,llama4,216,274,78.8
1.0,valence,AUDIO,llama4,216,274,78.8
1.0,arousal,VIDEO,llama,181,274,66.1
1.0,arousal,AUDIO,llama,181,274,66.1
1.0,arousal,VIDEO,qwen,206,264,78.0
1.0,arousal,AUDIO,qwen,206,264,78.0
1.0,arousal,VIDEO,llama4,188,274,68.6
1.0,arousal,AUDIO,llama4,188,274,68.6
