Source,Threshold,Category,Valence_N,Valence_Pct,Arousal_N,Arousal_Pct
VIDEO,0.25,P=E=I,19,6.934306569343065,0,0.0
VIDEO,0.25,P=E≠I,48,17.51824817518248,8,2.9197080291970803
VIDEO,0.25,P≠E=I,49,17.88321167883212,30,10.948905109489052
VIDEO,0.25,P≠E≠I,158,57.66423357664233,236,86.13138686131386
AUDIO,0.25,P=E=I,21,7.664233576642336,15,5.474452554744526
AUDIO,0.25,P=E≠I,18,6.569343065693431,39,14.233576642335766
AUDIO,0.25,P≠E=I,75,27.37226277372263,51,18.613138686131386
AUDIO,0.25,P≠E≠I,160,58.3941605839416,169,61.67883211678832
VIDEO,0.5,P=E=I,67,24.45255474452555,12,4.37956204379562
VIDEO,0.5,P=E≠I,60,21.897810218978105,18,6.569343065693431
VIDEO,0.5,P≠E=I,71,25.91240875912409,61,22.26277372262774
VIDEO,0.5,P≠E≠I,76,27.73722627737226,183,66.78832116788321
AUDIO,0.5,P=E=I,54,19.708029197080293,55,20.072992700729927
AUDIO,0.5,P=E≠I,16,5.839416058394161,44,16.05839416058394
AUDIO,0.5,P≠E=I,107,39.05109489051095,75,27.37226277372263
AUDIO,0.5,P≠E≠I,97,35.4014598540146,100,36.496350364963504
VIDEO,0.75,P=E=I,117,42.700729927007295,37,13.503649635036496
VIDEO,0.75,P=E≠I,42,15.328467153284672,19,6.934306569343065
VIDEO,0.75,P≠E=I,78,28.467153284671532,79,28.832116788321166
VIDEO,0.75,P≠E≠I,37,13.503649635036496,139,50.72992700729927
AUDIO,0.75,P=E=I,85,31.02189781021898,93,33.941605839416056
AUDIO,0.75,P=E≠I,23,8.394160583941606,46,16.78832116788321
AUDIO,0.75,P≠E=I,102,37.22627737226277,65,23.722627737226276
AUDIO,0.75,P≠E≠I,64,23.357664233576642,70,25.547445255474454
VIDEO,1.0,P=E=I,160,58.3941605839416,73,26.642335766423358
VIDEO,1.0,P=E≠I,28,10.218978102189782,17,6.204379562043796
VIDEO,1.0,P≠E=I,73,26.642335766423358,81,29.56204379562044
VIDEO,1.0,P≠E≠I,13,4.744525547445255,103,37.591240875912405
AUDIO,1.0,P=E=I,122,44.52554744525548,152,55.47445255474452
AUDIO,1.0,P=E≠I,13,4.744525547445255,29,10.583941605839415
AUDIO,1.0,P≠E=I,100,36.496350364963504,60,21.897810218978105
AUDIO,1.0,P≠E≠I,39,14.233576642335766,33,12.043795620437956
