clip1_title,clip2_title,user_id,clip1_E_val,clip1_E_aro,clip1_P_val,clip1_P_aro,clip1_I1_val,clip1_I1_aro,clip1_I2_val,clip1_I2_aro,clip2_E_val,clip2_E_aro,clip2_P_val,clip2_P_aro,clip2_I1_val,clip2_I1_aro,clip2_I2_val,clip2_I2_aro,clip1_E_quad,clip2_E_quad,switching,delta_I1_val,delta_I1_aro,delta_I2_val,delta_I2_aro,clip1_B_I1_tau025,clip1_B_I2_tau025,clip2_B_I1_tau025,clip2_B_I2_tau025,clip2_combined_tau025,clip1_B_I1_tau050,clip1_B_I2_tau050,clip2_B_I1_tau050,clip2_B_I2_tau050,clip2_combined_tau050,clip1_B_I1_tau075,clip1_B_I2_tau075,clip2_B_I1_tau075,clip2_B_I2_tau075,clip2_combined_tau075,clip1_B_I1_tau100,clip1_B_I2_tau100,clip2_B_I1_tau100,clip2_B_I2_tau100,clip2_combined_tau100
TheFaultInOurStars_053.mp4,AboutTime_069.mp4,Nishant,4.2,4.52,4.667,4.0,4.667,4.0,2.77,3.08,4.08,4.279999999999999,4.5,4.667,4.167,3.833,2.8,3.06,Q1,Q1,False,-0.5,-0.1669999999999998,0.0299999999999998,-0.02,B2,B10,B5,B10,B5+B10,B2,B10,B3,B8,B3+B8,B1,B8,B3,B8,B3+B8,B1,B8,B1,B8,B1+B8
AboutTime_069.mp4,TheFaultInOurStars_069.mp4,Nishant,4.08,4.279999999999999,4.5,4.667,4.167,3.833,2.8,3.06,3.68,4.12,3.333,2.667,3.333,2.833,2.82,2.84,Q1,Q1,False,-0.8339999999999996,-1.0,0.02,-0.2200000000000002,B5,B10,B2,B10,B2+B10,B3,B8,B2,B10,B2+B10,B3,B8,B2,B7,B2+B7,B1,B8,B2,B7,B2+B7
TheFaultInOurStars_069.mp4,TheFaultInOurStars_064.mp4,Nishant,3.68,4.12,3.333,2.667,3.333,2.833,2.82,2.84,3.8,3.96,4.333,4.0,4.333,4.167,2.83,2.89,Q1,Q1,False,1.0,1.3339999999999996,0.0100000000000002,0.0500000000000002,B2,B10,B2,B10,B2+B10,B2,B10,B2,B10,B2+B10,B2,B7,B1,B8,B1+B8,B2,B7,B1,B8,B1+B8
TheFaultInOurStars_064.mp4,TheBlindSide_015.mp4,Nishant,3.8,3.96,4.333,4.0,4.333,4.167,2.83,2.89,4.2,4.12,3.0,2.5,2.667,2.333,2.8,2.97,Q1,Q1,False,-1.6660000000000004,-1.834,-0.0300000000000002,0.08,B2,B10,B5,B10,B5+B10,B2,B10,B2,B7,B2+B7,B1,B8,B2,B7,B2+B7,B1,B8,B2,B7,B2+B7
TheBlindSide_015.mp4,TheFaultInOurStars_046.mp4,Nishant,4.2,4.12,3.0,2.5,2.667,2.333,2.8,2.97,3.8,3.96,4.167,3.0,4.167,3.0,2.65,2.96,Q1,Q1,False,1.5,0.6669999999999998,-0.1499999999999999,-0.0100000000000002,B5,B10,B2,B10,B2+B10,B2,B7,B2,B10,B2+B10,B2,B7,B2,B10,B2+B10,B2,B7,B1,B8,B1+B8
TheFaultInOurStars_046.mp4,TheFaultInOurStars_045.mp4,Nishant,3.8,3.96,4.167,3.0,4.167,3.0,2.65,2.96,4.2,4.52,4.333,3.333,4.5,3.333,2.89,2.64,Q1,Q1,False,0.3330000000000002,0.3330000000000002,0.2400000000000002,-0.3199999999999998,B2,B10,B2,B10,B2+B10,B2,B10,B2,B10,B2+B10,B2,B10,B2,B10,B2+B10,B1,B8,B2,B10,B2+B10
TheFaultInOurStars_045.mp4,TheBlindSide_014.mp4,Nishant,4.2,4.52,4.333,3.333,4.5,3.333,2.89,2.64,3.68,4.12,3.0,2.333,2.5,2.167,2.89,2.72,Q1,Q1,False,-2.0,-1.1660000000000004,0.0,0.08,B2,B10,B5,B10,B5+B10,B2,B10,B2,B7,B2+B7,B2,B10,B2,B7,B2+B7,B2,B10,B2,B7,B2+B7
TheBlindSide_014.mp4,AboutTime_013.mp4,Nishant,3.68,4.12,3.0,2.333,2.5,2.167,2.89,2.72,3.8,3.96,2.833,2.667,2.333,1.667,2.73,2.89,Q1,Q1,False,-0.1669999999999998,-0.4999999999999998,-0.1600000000000001,0.1699999999999999,B5,B10,B5,B7,B5+B7,B2,B7,B5,B7,B5+B7,B2,B7,B5,B7,B5+B7,B2,B7,B2,B7,B2+B7
AboutTime_013.mp4,TheBlindSide_072.mp4,Nishant,3.8,3.96,2.833,2.667,2.333,1.667,2.73,2.89,3.8,3.96,3.667,2.5,3.0,2.167,2.7,2.7,Q1,Q1,False,0.6669999999999998,0.4999999999999998,-0.0299999999999998,-0.1899999999999999,B5,B7,B5,B10,B5+B10,B5,B7,B5,B10,B5+B10,B5,B7,B2,B10,B2+B10,B2,B7,B2,B7,B2+B7
TheBlindSide_072.mp4,TheTheoryOfEverything_042.mp4,Nishant,3.8,3.96,3.667,2.5,3.0,2.167,2.7,2.7,3.48,3.76,2.5,2.167,2.0,1.833,2.76,3.17,Q1,Q1,False,-1.0,-0.3339999999999998,0.0599999999999996,0.4699999999999997,B5,B10,B5,B10,B5+B10,B5,B10,B2,B10,B2+B10,B2,B10,B2,B9,B2+B9,B2,B7,B2,B9,B2+B9
