clip_id,Nishant,ajaycc17,aritra,debjit2001,pranjal123,sayantankuila,avg_inferred_arousal
AboutTime_000,2.25,4.2,2.5,2.5,,2.35,2.76
AboutTime_001,2.91,4.1,2.5,2.2,,4.2,3.18
AboutTime_002,2.4,4.2,2.3,1.91,,2.25,2.61
AboutTime_003,2.9,4.2,2.25,1.87,2.41,4.1,2.95
AboutTime_004,2.93,4.21,2.4,1.85,2.93,2.2,2.75
AboutTime_005,2.95,4.5,2.93,2.15,2.19,2.93,2.94
AboutTime_006,2.91,4.2,2.9,2.5,2.93,4.2,3.27
AboutTime_007,2.93,4.1,2.25,2.15,,4.2,3.13
AboutTime_008,3.1,4.2,2.3,2.19,,4.5,3.26
AboutTime_009,2.95,4.5,2.3,2.05,2.19,4.2,3.03
AboutTime_010,2.9,4.1,4.1,2.15,,4.2,3.49
AboutTime_011,2.25,4.5,2.4,2.05,2.91,3.9,3.0
AboutTime_012,2.95,4.2,2.2,2.15,,2.93,2.89
AboutTime_013,2.2,4.2,2.4,2.09,2.35,4.1,2.89
AboutTime_014,2.85,,2.19,2.15,,4.2,2.85
AboutTime_015,2.95,4.1,2.85,1.91,,2.35,2.83
AboutTime_016,2.4,4.2,2.15,1.91,2.35,3.9,2.82
AboutTime_017,2.9,4.5,2.4,1.91,,3.05,2.95
AboutTime_018,2.9,4.2,2.4,2.25,2.35,2.25,2.72
AboutTime_019,2.85,4.2,2.4,1.85,,4.2,3.1
AboutTime_020,3.1,4.1,2.3,2.05,2.25,4.1,2.98
AboutTime_021,3.21,4.1,2.25,2.15,,4.2,3.18
AboutTime_022,2.95,4.2,1.91,2.1,,4.2,3.07
AboutTime_024,3.1,4.5,3.1,1.91,2.35,4.2,3.19
AboutTime_031,2.91,4.21,2.4,2.35,,2.91,2.96
AboutTime_032,2.25,4.2,2.2,1.91,2.93,2.25,2.62
AboutTime_035,2.91,4.2,2.19,2.1,2.21,4.2,2.97
AboutTime_038,2.85,3.21,2.19,2.15,,4.2,2.92
AboutTime_042,2.85,4.2,2.4,1.87,2.19,4.2,2.95
AboutTime_046,2.93,4.2,2.4,2.15,,4.2,3.18
AboutTime_048,3.2,3.1,2.19,1.95,2.19,4.2,2.8
AboutTime_052,2.9,4.2,3.15,2.13,2.19,4.1,3.11
AboutTime_056,2.9,4.2,2.25,2.15,,4.2,3.14
AboutTime_066,2.25,4.1,1.91,2.41,2.25,2.35,2.54
AboutTime_068,3.1,4.2,2.9,2.5,,4.21,3.38
AboutTime_069,2.4,4.21,2.4,2.09,,4.2,3.06
AboutTime_071,2.85,4.21,2.21,1.87,,4.1,3.05
AboutTime_073,2.41,4.21,2.5,2.4,,3.1,2.92
AboutTime_075,2.85,4.2,2.3,1.91,2.21,4.2,2.94
AboutTime_077,3.1,4.5,2.15,1.91,2.35,4.1,3.02
AboutTime_085,3.1,4.1,2.2,1.91,,4.1,3.08
AboutTime_086,2.85,4.2,2.2,1.87,,3.9,3.0
AboutTime_091,2.91,4.2,2.4,1.8,2.2,2.4,2.65
AboutTime_095,2.91,4.2,2.2,1.91,,3.9,3.02
AboutTime_117,2.4,4.5,2.4,1.91,2.25,4.2,2.94
AboutTime_120,2.93,4.5,2.25,2.15,2.15,2.85,2.8
AboutTime_130,2.85,,1.91,2.15,2.15,2.2,2.25
AboutTime_131,2.93,4.1,2.3,1.87,3.21,3.1,2.92
AboutTime_132,2.91,2.19,2.4,1.91,,3.41,2.56
AboutTime_133,3.4,4.2,2.15,2.2,,4.2,3.23
AboutTime_134,2.93,4.2,2.95,1.8,,4.2,3.22
AboutTime_135,2.2,4.1,1.87,2.3,,4.2,2.93
AboutTime_136,2.91,4.2,2.85,2.15,2.15,4.2,3.08
Gifted_041,2.93,4.2,2.15,2.15,,4.2,3.13
Gifted_045,3.9,4.2,2.21,2.5,1.85,4.2,3.14
Gifted_049,2.93,2.95,2.3,2.05,,3.1,2.67
LadyBird_001,3.1,4.2,2.2,1.85,2.15,3.15,2.78
LadyBird_003,2.93,4.1,2.91,2.25,2.25,4.1,3.09
LadyBird_005,3.15,4.1,2.35,1.91,,3.15,2.93
LadyBird_011,2.9,4.2,2.25,2.15,2.25,4.2,2.99
LadyBird_013,2.93,4.1,2.9,2.35,,4.2,3.3
LadyBird_017,2.4,4.2,2.9,2.15,2.19,3.9,2.96
LadyBird_019,2.25,4.2,2.4,1.91,2.15,4.1,2.83
LadyBird_024,3.1,4.2,2.2,1.95,,2.5,2.79
LadyBird_030,2.9,4.2,2.4,1.91,2.15,3.9,2.91
LadyBird_031,3.1,4.2,2.95,1.91,,4.2,3.27
LadyBird_045,2.85,4.1,2.3,1.91,2.4,2.4,2.66
LadyBird_048,2.92,2.9,2.15,1.91,,4.2,2.82
LadyBird_054,2.91,4.2,2.25,2.25,,3.9,3.1
LadyBird_055,3.1,4.5,1.91,1.91,2.41,4.2,3.01
LadyBird_056,2.92,4.2,2.95,3.01,,3.9,3.4
LadyBird_057,2.4,4.2,2.2,2.2,,4.2,3.04
LadyBird_066,2.91,4.2,2.91,2.15,2.25,4.2,3.1
LadyBird_068,2.95,4.5,2.85,1.91,2.4,4.1,3.12
LadyBird_069,2.95,4.2,2.4,2.15,,4.2,3.18
LadyBird_077,2.92,4.2,2.15,2.3,,4.2,3.15
LadyBird_080,3.1,4.2,2.15,1.95,,4.2,3.12
LadyBird_081,2.4,4.2,3.1,2.5,2.35,4.2,3.12
LadyBird_088,2.19,4.5,2.85,3.01,1.95,3.15,2.94
LadyBird_092,2.2,4.21,2.2,1.91,2.21,2.35,2.51
LadyBird_093,2.85,4.2,2.4,1.91,2.93,4.1,3.06
LadyBird_099,2.25,4.2,4.1,1.91,,4.2,3.33
LadyBird_104,2.95,4.1,2.9,1.91,,4.1,3.19
LadyBird_109,2.9,4.1,4.1,2.3,2.2,4.2,3.3
LadyBird_110,2.93,4.2,2.25,2.13,2.85,4.2,3.09
TheBlindSide_000,2.9,4.2,2.85,1.91,,4.1,3.19
TheBlindSide_001,2.91,4.5,2.15,1.91,2.19,3.9,2.93
TheBlindSide_002,2.91,4.2,1.89,2.15,2.5,2.25,2.65
TheBlindSide_003,2.85,4.1,2.2,1.91,,4.1,3.03
TheBlindSide_004,2.95,4.1,2.3,2.5,,4.2,3.21
TheBlindSide_005,2.93,4.2,2.95,2.4,2.91,4.2,3.27
TheBlindSide_006,2.4,4.5,2.4,1.91,3.1,4.1,3.07
TheBlindSide_007,2.91,4.2,2.95,1.95,1.8,4.2,3.0
TheBlindSide_008,2.35,4.2,2.4,2.15,2.85,4.1,3.01
TheBlindSide_009,3.15,4.5,2.4,2.13,,3.9,3.22
TheBlindSide_010,2.85,4.2,2.4,1.91,2.41,4.2,3.0
TheBlindSide_011,2.85,4.2,2.2,2.35,2.95,4.5,3.18
TheBlindSide_012,2.4,4.2,2.4,1.91,1.95,4.1,2.83
TheBlindSide_013,2.95,4.2,2.91,1.91,,3.9,3.17
TheBlindSide_014,2.85,4.2,2.15,2.13,,2.25,2.72
TheBlindSide_015,2.4,4.1,2.3,1.9,2.91,4.2,2.97
TheBlindSide_016,2.91,4.5,2.05,1.91,2.15,2.25,2.63
TheBlindSide_017,2.4,3.05,2.15,1.91,2.41,4.1,2.67
TheBlindSide_018,2.4,4.2,2.19,1.89,2.4,4.1,2.86
TheBlindSide_019,2.85,4.1,2.4,2.15,,2.41,2.78
TheBlindSide_020,2.4,4.1,2.4,1.91,,4.2,3.0
TheBlindSide_021,2.91,4.5,3.1,1.9,2.15,4.2,3.13
TheBlindSide_022,3.1,4.2,4.1,1.91,1.8,4.1,3.2
TheBlindSide_024,3.15,4.5,2.15,2.4,,3.92,3.22
TheBlindSide_025,2.93,4.2,2.4,1.91,2.4,2.21,2.68
TheBlindSide_027,2.95,4.1,1.89,1.91,1.85,3.15,2.64
TheBlindSide_028,2.91,2.95,2.4,1.91,,3.9,2.81
TheBlindSide_029,2.2,,2.2,2.15,2.15,4.2,2.58
TheBlindSide_031,3.1,2.95,2.85,2.4,2.19,2.25,2.62
TheBlindSide_032,3.2,4.2,2.2,1.95,2.15,4.2,2.98
TheBlindSide_033,2.85,4.1,2.35,1.91,3.05,4.2,3.08
TheBlindSide_034,2.41,4.21,2.25,2.15,,3.92,2.99
TheBlindSide_035,2.21,2.95,2.9,2.15,1.85,4.2,2.71
TheBlindSide_036,2.2,4.1,2.9,2.4,,4.1,3.14
TheBlindSide_037,2.85,4.2,2.15,1.91,2.21,3.9,2.87
TheBlindSide_038,2.95,4.2,2.2,1.91,2.41,4.1,2.96
TheBlindSide_039,2.95,,2.25,2.15,,4.1,2.86
TheBlindSide_040,2.85,4.5,2.19,2.5,2.25,3.92,3.04
TheBlindSide_041,2.35,4.2,2.15,2.15,,4.2,3.01
TheBlindSide_042,2.95,,3.01,2.35,,4.2,3.13
TheBlindSide_043,3.05,4.2,2.9,1.85,,2.25,2.85
TheBlindSide_044,2.85,4.5,2.15,1.78,,4.1,3.08
TheBlindSide_045,2.85,4.2,2.3,1.8,,4.2,3.07
TheBlindSide_046,2.85,4.2,2.25,1.91,,3.1,2.86
TheBlindSide_049,2.15,4.2,2.25,2.05,,2.5,2.63
TheBlindSide_050,3.1,4.2,2.91,1.91,2.25,2.25,2.77
TheBlindSide_052,2.9,2.93,2.4,2.41,2.19,3.21,2.67
TheBlindSide_053,2.2,4.5,2.19,2.15,2.93,4.2,3.03
TheBlindSide_054,2.2,4.2,1.89,1.91,2.09,3.9,2.7
TheBlindSide_055,2.41,4.2,2.35,1.91,2.25,4.2,2.89
TheBlindSide_056,2.91,4.2,2.93,2.35,,4.1,3.3
TheBlindSide_057,2.95,4.2,2.35,1.78,2.93,4.2,3.07
TheBlindSide_058,4.1,,2.93,2.15,,2.25,2.86
TheBlindSide_059,2.95,4.2,2.3,2.15,,4.2,3.16
TheBlindSide_060,2.93,4.5,1.91,2.05,,3.21,2.92
TheBlindSide_061,2.25,4.1,2.19,2.13,2.19,4.2,2.84
TheBlindSide_062,2.91,4.2,2.19,2.5,2.92,3.9,3.1
TheBlindSide_063,2.85,4.2,2.15,1.8,,4.2,3.04
TheBlindSide_064,2.85,4.2,2.4,2.15,,2.5,2.82
TheBlindSide_065,2.95,4.2,2.19,2.15,2.25,3.9,2.94
TheBlindSide_066,3.1,4.2,2.3,2.35,,4.2,3.23
TheBlindSide_067,2.4,4.2,2.85,1.91,,4.5,3.17
TheBlindSide_068,3.1,4.2,2.9,2.15,2.2,4.2,3.12
TheBlindSide_069,2.25,4.2,2.25,2.15,2.91,4.2,2.99
TheBlindSide_071,2.85,4.2,2.25,2.15,,4.1,3.11
