clip_id,Nishant,ajaycc17,aritra,debjit2001,pranjal123,sayantankuila,avg_inferred_valence
AboutTime_000,2.55,2.15,3.2,3.2,,2.55,2.73
AboutTime_001,2.59,2.5,3.2,2.55,,2.5,2.67
AboutTime_002,2.9,2.5,2.9,3.42,,2.55,2.85
AboutTime_003,2.45,2.5,2.95,3.21,2.59,2.5,2.7
AboutTime_004,2.59,2.29,2.9,2.41,2.41,2.9,2.58
AboutTime_005,2.55,2.1,2.59,3.42,2.41,2.59,2.61
AboutTime_006,2.59,2.5,2.5,3.2,2.59,2.55,2.66
AboutTime_007,2.59,2.4,2.95,3.42,,2.5,2.77
AboutTime_008,2.5,2.5,3.2,3.42,,2.1,2.74
AboutTime_009,2.55,2.1,3.2,3.42,2.41,2.5,2.7
AboutTime_010,2.45,2.5,2.5,3.21,,2.45,2.62
AboutTime_011,2.55,2.1,3.2,3.21,2.59,2.5,2.69
AboutTime_012,2.55,2.5,2.9,3.42,,2.41,2.76
AboutTime_013,2.5,2.5,2.9,3.42,2.55,2.5,2.73
AboutTime_014,2.55,,2.91,3.42,,2.5,2.84
AboutTime_015,2.55,2.4,2.55,3.42,,2.95,2.77
AboutTime_016,2.9,2.5,2.45,3.42,2.95,2.5,2.79
AboutTime_017,2.5,2.1,2.9,3.42,,2.55,2.69
AboutTime_018,2.5,2.5,3.2,2.95,2.55,2.55,2.71
AboutTime_019,2.55,2.5,3.2,2.91,,2.5,2.73
AboutTime_020,2.9,2.5,2.9,3.21,2.55,2.5,2.76
AboutTime_021,2.59,2.4,2.55,2.95,,2.5,2.6
AboutTime_022,2.45,2.5,3.42,3.4,,2.5,2.85
AboutTime_024,2.9,2.1,2.5,3.42,2.55,2.5,2.66
AboutTime_031,2.59,2.29,2.9,2.95,,2.59,2.66
AboutTime_032,2.55,2.5,2.9,3.42,2.59,2.55,2.75
AboutTime_035,2.59,2.5,2.91,3.2,2.59,2.5,2.72
AboutTime_038,2.55,2.59,2.91,3.42,,2.5,2.79
AboutTime_042,2.55,2.5,3.2,3.21,2.41,2.5,2.73
AboutTime_046,2.59,2.5,3.2,2.55,,2.5,2.67
AboutTime_048,2.55,2.5,2.41,3.21,2.41,2.5,2.6
AboutTime_052,2.5,2.5,2.55,3.42,2.41,2.5,2.65
