hyp_id,tau,modality,sigma_switching,n_switching,sigma_nonswitching,n_nonswitching,sigma_all,n_all
Hyp-1,025,AUDIO,0.020713463751438434,869,0.01871657754010695,374,0.02011263073209976,1243
Hyp-2_opposing,025,AUDIO,0.0,240,0.0,374,,0
Hyp-2_adjacent,025,AUDIO,0.0,629,0.0,374,,0
Hyp-3,025,AUDIO,,0,,0,,0
Hyp-3_relaxed,025,AUDIO,0.2753623188405797,69,0.21052631578947367,38,,0
Hyp-4_chaos,025,AUDIO,0.021314387211367674,563,0.00904977375565611,221,0.017857142857142856,784
Hyp-4_baseline,025,AUDIO,,0,,0,,0
Hyp-5_B4,025,AUDIO,0.02186421173762946,869,0.045454545454545456,374,,0
Hyp-5_B9,025,AUDIO,0.0,869,0.0,374,,0
Hyp-6_B3B6,025,AUDIO,0.0,240,0.0,629,,0
Hyp-6_B9,025,AUDIO,0.0,240,0.0,629,,0
Hyp-7,025,AUDIO,0.0,869,0.0,374,,0
Hyp-8_full,025,AUDIO,1.1301975737601793,869,1.1720590289045447,374,,0
Hyp-8_aro,025,AUDIO,0.5877790563866512,869,0.5465106951871658,374,,0
Hyp-9,025,AUDIO,,0,,0,0.24242424242424243,66
Hyp-9_relaxed,025,AUDIO,0.47368421052631576,19,0.25,8,0.35185185185185186,54
Hyp-10_B10,025,AUDIO,2.9806931964056482,779,2.980747663551402,321,2.979296657381616,1436
Hyp-10_B6,025,AUDIO,,0,,0,,0
Maintenance_vs_Drift,025,AUDIO,1.2706875000000002,16,1.1245000000000003,4,,0
Hyp-1,050,AUDIO,0.18872266973532797,869,0.20588235294117646,374,0.19388576025744167,1243
Hyp-2_opposing,050,AUDIO,0.029166666666666667,240,0.0,374,,0
Hyp-2_adjacent,050,AUDIO,0.009538950715421303,629,0.0,374,,0
Hyp-3,050,AUDIO,,0,,0,,0
Hyp-3_relaxed,050,AUDIO,0.6376811594202898,69,0.5263157894736842,38,,0
Hyp-4_chaos,050,AUDIO,0.16842105263157894,95,0.030303030303030304,33,0.1328125,128
Hyp-4_baseline,050,AUDIO,0.15789473684210525,19,0.16666666666666666,6,0.16,25
Hyp-5_B4,050,AUDIO,0.019562715765247412,869,0.01871657754010695,374,,0
Hyp-5_B9,050,AUDIO,0.03222094361334868,869,0.0213903743315508,374,,0
Hyp-6_B3B6,050,AUDIO,0.029166666666666667,240,0.009538950715421303,629,,0
Hyp-6_B9,050,AUDIO,0.05,240,0.025437201907790145,629,,0
Hyp-7,050,AUDIO,0.03222094361334868,869,0.0213903743315508,374,,0
Hyp-8_full,050,AUDIO,1.1301975737601793,869,1.1720590289045447,374,,0
Hyp-8_aro,050,AUDIO,0.5877790563866512,869,0.5465106951871658,374,,0
Hyp-9,050,AUDIO,,0,,0,0.3854166666666667,96
Hyp-9_relaxed,050,AUDIO,0.5227272727272727,44,0.2,20,0.4421052631578947,95
Hyp-10_B10,050,AUDIO,2.990958904109589,511,2.9852988047808764,251,2.986656346749226,969
Hyp-10_B6,050,AUDIO,3.0424137931034485,29,3.0036363636363643,11,3.017407407407407,54
Maintenance_vs_Drift,050,AUDIO,0.6277222222222222,90,0.2753478260869565,23,,0
Hyp-1,075,AUDIO,0.31070195627157654,869,0.3663101604278075,374,0.3274336283185841,1243
Hyp-2_opposing,075,AUDIO,0.016666666666666666,240,0.0,374,,0
Hyp-2_adjacent,075,AUDIO,0.0047694753577106515,629,0.0,374,,0
Hyp-3,075,AUDIO,,0,,0,,0
Hyp-3_relaxed,075,AUDIO,0.43478260869565216,69,0.3157894736842105,38,,0
Hyp-4_chaos,075,AUDIO,0.2222222222222222,18,0.2222222222222222,9,0.2222222222222222,27
Hyp-4_baseline,075,AUDIO,0.36363636363636365,66,0.3333333333333333,18,0.35714285714285715,84
Hyp-5_B4,075,AUDIO,0.01380897583429229,869,0.013368983957219251,374,,0
Hyp-5_B9,075,AUDIO,0.06444188722669736,869,0.05080213903743316,374,,0
Hyp-6_B3B6,075,AUDIO,0.016666666666666666,240,0.0047694753577106515,629,,0
Hyp-6_B9,075,AUDIO,0.075,240,0.06041335453100159,629,,0
Hyp-7,075,AUDIO,0.06444188722669736,869,0.05080213903743316,374,,0
Hyp-8_full,075,AUDIO,1.1301975737601793,869,1.1720590289045447,374,,0
Hyp-8_aro,075,AUDIO,0.5877790563866512,869,0.5465106951871658,374,,0
Hyp-9,075,AUDIO,,0,,0,0.4583333333333333,72
Hyp-9_relaxed,075,AUDIO,0.6,30,0.4166666666666667,12,0.5277777777777778,72
Hyp-10_B10,075,AUDIO,2.988224852071006,338,2.9816145833333336,192,2.986765625,640
Hyp-10_B6,075,AUDIO,3.041527777777778,72,3.0104761904761905,21,3.0272992700729926,137
Maintenance_vs_Drift,075,AUDIO,0.5771470588235295,136,0.20373333333333332,45,,0
Hyp-1,100,AUDIO,0.5350978135788262,869,0.5775401069518716,374,0.5478680611423974,1243
Hyp-2_opposing,100,AUDIO,0.0,240,0.0,374,,0
Hyp-2_adjacent,100,AUDIO,0.0,629,0.0,374,,0
Hyp-3,100,AUDIO,,0,,0,,0
Hyp-3_relaxed,100,AUDIO,0.057971014492753624,69,0.02631578947368421,38,,0
Hyp-4_chaos,100,AUDIO,,0,,0,,0
Hyp-4_baseline,100,AUDIO,0.532967032967033,182,0.5686274509803921,51,0.5407725321888412,233
Hyp-5_B4,100,AUDIO,0.0,869,0.0,374,,0
Hyp-5_B9,100,AUDIO,0.05178365937859609,869,0.0213903743315508,374,,0
Hyp-6_B3B6,100,AUDIO,0.0,240,0.0,629,,0
Hyp-6_B9,100,AUDIO,0.058333333333333334,240,0.0492845786963434,629,,0
Hyp-7,100,AUDIO,0.05178365937859609,869,0.0213903743315508,374,,0
Hyp-8_full,100,AUDIO,1.1301975737601793,869,1.1720590289045447,374,,0
Hyp-8_aro,100,AUDIO,0.5877790563866512,869,0.5465106951871658,374,,0
Hyp-9,100,AUDIO,,0,,0,0.6111111111111112,18
Hyp-9_relaxed,100,AUDIO,0.75,4,1.0,1,0.6666666666666666,12
Hyp-10_B10,100,AUDIO,2.999235668789809,157,2.970353982300885,113,2.987570977917981,317
Hyp-10_B6,100,AUDIO,3.0057692307692303,182,2.9931372549019604,51,2.994075144508671,346
Maintenance_vs_Drift,100,AUDIO,0.4685652173913043,207,0.17854285714285717,70,,0
