hyp_id,tau,modality,sigma_switching,n_switching,sigma_nonswitching,n_nonswitching,sigma_all,n_all
Hyp-1,025,INTERSECT,,0,0.0,81,0.0,81
Hyp-2_opposing,025,INTERSECT,,0,0.0,81,,0
Hyp-2_adjacent,025,INTERSECT,,0,0.0,81,,0
Hyp-3,025,INTERSECT,,0,,0,,0
Hyp-3_relaxed,025,INTERSECT,,0,,0,,0
Hyp-4_chaos,025,INTERSECT,,0,0.0,45,0.0,45
Hyp-4_baseline,025,INTERSECT,,0,,0,,0
Hyp-5_B4,025,INTERSECT,,0,0.012345679012345678,81,,0
Hyp-5_B9,025,INTERSECT,,0,0.0,81,,0
Hyp-6_B3B6,025,INTERSECT,,0,,0,,0
Hyp-6_B9,025,INTERSECT,,0,,0,,0
Hyp-7,025,INTERSECT,,0,0.0,81,,0
Hyp-8_full,025,INTERSECT,,0,1.3876878083632525,81,,0
Hyp-8_aro,025,INTERSECT,,0,0.686962962962963,81,,0
Hyp-9,025,INTERSECT,,0,,0,0.0,306
Hyp-10_B10,025,INTERSECT,,0,2.969375,80,2.9803431066749844,1603
Hyp-10_B6,025,INTERSECT,,0,,0,,0
Maintenance_vs_Drift,025,INTERSECT,,0,,0,,0
Hyp-1,050,INTERSECT,,0,0.16049382716049382,81,0.16049382716049382,81
Hyp-2_opposing,050,INTERSECT,,0,0.0,81,,0
Hyp-2_adjacent,050,INTERSECT,,0,0.0,81,,0
Hyp-3,050,INTERSECT,,0,,0,,0
Hyp-3_relaxed,050,INTERSECT,,0,,0,,0
Hyp-4_chaos,050,INTERSECT,,0,0.0,9,0.0,9
Hyp-4_baseline,050,INTERSECT,,0,,0,,0
Hyp-5_B4,050,INTERSECT,,0,0.037037037037037035,81,,0
Hyp-5_B9,050,INTERSECT,,0,0.0,81,,0
Hyp-6_B3B6,050,INTERSECT,,0,,0,,0
Hyp-6_B9,050,INTERSECT,,0,,0,,0
Hyp-7,050,INTERSECT,,0,0.0,81,,0
Hyp-8_full,050,INTERSECT,,0,1.3876878083632525,81,,0
Hyp-8_aro,050,INTERSECT,,0,0.686962962962963,81,,0
Hyp-9,050,INTERSECT,,0,,0,0.0,1019
Hyp-10_B10,050,INTERSECT,,0,2.9740322580645167,62,2.9814763636363635,1375
Hyp-10_B6,050,INTERSECT,,0,,0,,0
Maintenance_vs_Drift,050,INTERSECT,,0,0.2308461538461538,13,,0
Hyp-1,075,INTERSECT,,0,0.4444444444444444,81,0.4444444444444444,81
Hyp-2_opposing,075,INTERSECT,,0,0.0,81,,0
Hyp-2_adjacent,075,INTERSECT,,0,0.0,81,,0
Hyp-3,075,INTERSECT,,0,,0,,0
Hyp-3_relaxed,075,INTERSECT,,0,,0,,0
Hyp-4_chaos,075,INTERSECT,,0,0.5,2,0.5,2
Hyp-4_baseline,075,INTERSECT,,0,,0,,0
Hyp-5_B4,075,INTERSECT,,0,0.0,81,,0
Hyp-5_B9,075,INTERSECT,,0,0.0,81,,0
Hyp-6_B3B6,075,INTERSECT,,0,,0,,0
Hyp-6_B9,075,INTERSECT,,0,,0,,0
Hyp-7,075,INTERSECT,,0,0.0,81,,0
Hyp-8_full,075,INTERSECT,,0,1.3876878083632525,81,,0
Hyp-8_aro,075,INTERSECT,,0,0.686962962962963,81,,0
Hyp-9,075,INTERSECT,,0,,0,0.0,1180
Hyp-10_B10,075,INTERSECT,,0,2.9578125,32,2.9767223769730737,1077
Hyp-10_B6,075,INTERSECT,,0,,0,,0
Maintenance_vs_Drift,075,INTERSECT,,0,0.23605555555555557,36,,0
Hyp-1,100,INTERSECT,,0,0.7777777777777778,81,0.7777777777777778,81
Hyp-2_opposing,100,INTERSECT,,0,0.0,81,,0
Hyp-2_adjacent,100,INTERSECT,,0,0.0,81,,0
Hyp-3,100,INTERSECT,,0,,0,,0
Hyp-3_relaxed,100,INTERSECT,,0,,0,,0
Hyp-4_chaos,100,INTERSECT,,0,,0,,0
Hyp-4_baseline,100,INTERSECT,,0,0.75,4,0.75,4
Hyp-5_B4,100,INTERSECT,,0,0.0,81,,0
Hyp-5_B9,100,INTERSECT,,0,0.0,81,,0
Hyp-6_B3B6,100,INTERSECT,,0,,0,,0
Hyp-6_B9,100,INTERSECT,,0,,0,,0
Hyp-7,100,INTERSECT,,0,0.0,81,,0
Hyp-8_full,100,INTERSECT,,0,1.3876878083632525,81,,0
Hyp-8_aro,100,INTERSECT,,0,0.686962962962963,81,,0
Hyp-9,100,INTERSECT,,0,,0,0.0,1276
Hyp-10_B10,100,INTERSECT,,0,2.9346666666666668,15,2.970911424903723,779
Hyp-10_B6,100,INTERSECT,,0,2.845,4,3.033333333333333,24
Maintenance_vs_Drift,100,INTERSECT,,0,0.2327777777777778,63,,0
