hyp_id,tau,switching,sigma,n
Hyp-1,025,True,0.04354587869362364,643
Hyp-1,025,False,0.054271356783919596,995
Hyp-2,025,True,0.0,68
Hyp-3,025,True,0.0,12
Hyp-4_chaos,025,True,0.04363636363636364,550
Hyp-4_baseline,025,True,0.034482758620689655,29
Hyp-4_chaos,025,False,0.054906542056074766,856
Hyp-4_baseline,025,False,0.07407407407407407,54
Hyp-5_B4,025,True,0.02332814930015552,643
Hyp-5_B9,025,True,0.10730948678071539,643
Hyp-5_B4,025,False,0.044221105527638194,995
Hyp-5_B9,025,False,0.008040201005025126,995
Hyp-6_diag,025,True,0.0,68
Hyp-6_adj,025,True,0.0,539
Hyp-7,025,True,0.10730948678071539,643
Hyp-7,025,False,0.008040201005025126,995
Hyp-8,025,True,1.1186608241334526,643
Hyp-8,025,False,1.1565214677248037,995
Hyp-10_B10,025,all,2.9774274809160306,1310
Hyp-1,050,True,0.24727838258164853,643
Hyp-1,050,False,0.3256281407035176,995
Hyp-2,050,True,0.0,68
Hyp-3,050,True,0.6666666666666666,12
Hyp-4_chaos,050,True,0.2507936507936508,315
Hyp-4_baseline,050,True,0.17791411042944785,163
Hyp-4_chaos,050,False,0.3130081300813008,492
Hyp-4_baseline,050,False,0.35103244837758113,339
Hyp-5_B4,050,True,0.003110419906687403,643
Hyp-5_B9,050,True,0.15863141524105753,643
Hyp-5_B4,050,False,0.016080402010050253,995
Hyp-5_B9,050,False,0.02914572864321608,995
Hyp-6_diag,050,True,0.0,68
Hyp-6_adj,050,True,0.01855287569573284,539
Hyp-7,050,True,0.15863141524105753,643
Hyp-7,050,False,0.02914572864321608,995
Hyp-8,050,True,1.1186608241334526,643
Hyp-8,050,False,1.1565214677248037,995
Hyp-10_B10,050,all,2.981578947368421,741
Hyp-10_B6,050,all,2.9187499999999997,24
Hyp-1,075,True,0.5318818040435459,643
Hyp-1,075,False,0.6271356783919598,995
Hyp-2,075,True,0.029411764705882353,68
Hyp-3,075,True,0.6666666666666666,12
Hyp-4_chaos,075,True,0.552,125
Hyp-4_baseline,075,True,0.49014084507042255,355
Hyp-4_chaos,075,False,0.6560509554140127,157
Hyp-4_baseline,075,False,0.6471518987341772,632
Hyp-5_B4,075,True,0.01088646967340591,643
Hyp-5_B9,075,True,0.14774494556765164,643
Hyp-5_B4,075,False,0.005025125628140704,995
Hyp-5_B9,075,False,0.031155778894472363,995
Hyp-6_diag,075,True,0.029411764705882353,68
Hyp-6_adj,075,True,0.02040816326530612,539
Hyp-7,075,True,0.14774494556765164,643
Hyp-7,075,False,0.031155778894472363,995
Hyp-8,075,True,1.1186608241334526,643
Hyp-8,075,False,1.1565214677248037,995
Hyp-10_B10,075,all,2.9883333333333337,240
Hyp-10_B6,075,all,3.002222222222222,144
Hyp-1,100,True,0.8133748055987559,643
Hyp-1,100,False,0.8492462311557789,995
Hyp-2,100,True,0.0,68
Hyp-3,100,True,0.0,12
Hyp-4_chaos,100,True,0.6842105263157895,19
Hyp-4_baseline,100,True,0.8166023166023166,518
Hyp-4_chaos,100,False,0.9411764705882353,17
Hyp-4_baseline,100,False,0.8568075117370892,852
Hyp-5_B4,100,True,0.0,643
Hyp-5_B9,100,True,0.05754276827371695,643
Hyp-5_B4,100,False,0.0,995
Hyp-5_B9,100,False,0.017085427135678392,995
Hyp-6_diag,100,True,0.0,68
Hyp-6_adj,100,True,0.0,539
Hyp-7,100,True,0.05754276827371695,643
Hyp-7,100,False,0.017085427135678392,995
Hyp-8,100,True,1.1186608241334526,643
Hyp-8,100,False,1.1565214677248037,995
Hyp-10_B10,100,all,2.963333333333333,36
Hyp-10_B6,100,all,2.9976470588235293,442
