hyp_id,tau,modality,sigma_switching,n_switching,sigma_nonswitching,n_nonswitching,sigma_all,n_all
Hyp-1,025,VIDEO,,0,0.0,1638,0.0,1638
Hyp-2_opposing,025,VIDEO,,0,0.0,1638,,0
Hyp-2_adjacent,025,VIDEO,,0,0.0,1638,,0
Hyp-3_relaxed,025,VIDEO,,0,1.0,6,,0
Hyp-4_chaos,025,VIDEO,,0,0.0,1126,0.0,1126
Hyp-4_baseline,025,VIDEO,,0,,0,,0
Hyp-5_B4,025,VIDEO,,0,0.014652014652014652,1638,,0
Hyp-5_B9,025,VIDEO,,0,0.0,1638,,0
Hyp-6_B3B6,025,VIDEO,,0,,0,,0
Hyp-6_B9,025,VIDEO,,0,,0,,0
Hyp-7,025,VIDEO,,0,0.0,1638,,0
Hyp-8_full,025,VIDEO,,0,1.1416592004297863,1638,,0
Hyp-8_aro,025,VIDEO,,0,0.5694084249084249,1638,,0
Hyp-10_B10,025,VIDEO,,0,2.9797287066246056,1585,2.9797287066246056,1585
Hyp-10_B6,025,VIDEO,,0,,0,,0
Maintenance_vs_Drift,025,VIDEO,,0,,0,,0
Hyp-1,050,VIDEO,,0,0.08669108669108669,1638,0.08669108669108669,1638
Hyp-2_opposing,050,VIDEO,,0,0.0,1638,,0
Hyp-2_adjacent,050,VIDEO,,0,0.0,1638,,0
Hyp-3_relaxed,050,VIDEO,,0,1.0,6,,0
Hyp-4_chaos,050,VIDEO,,0,0.08095238095238096,210,0.08095238095238096,210
Hyp-4_baseline,050,VIDEO,,0,,0,,0
Hyp-5_B4,050,VIDEO,,0,0.014652014652014652,1638,,0
Hyp-5_B9,050,VIDEO,,0,0.0,1638,,0
Hyp-6_B3B6,050,VIDEO,,0,,0,,0
Hyp-6_B9,050,VIDEO,,0,,0,,0
Hyp-7,050,VIDEO,,0,0.0,1638,,0
Hyp-8_full,050,VIDEO,,0,1.1416592004297863,1638,,0
Hyp-8_aro,050,VIDEO,,0,0.5694084249084249,1638,,0
Hyp-10_B10,050,VIDEO,,0,2.981736716891356,1261,2.981736716891356,1261
Hyp-10_B6,050,VIDEO,,0,,0,,0
Maintenance_vs_Drift,050,VIDEO,,0,0.3837887323943662,142,,0
Hyp-1,075,VIDEO,,0,0.2326007326007326,1638,0.2326007326007326,1638
Hyp-2_opposing,075,VIDEO,,0,0.0,1638,,0
Hyp-2_adjacent,075,VIDEO,,0,0.0,1638,,0
Hyp-3_relaxed,075,VIDEO,,0,1.0,6,,0
Hyp-4_chaos,075,VIDEO,,0,0.3,30,0.3,30
Hyp-4_baseline,075,VIDEO,,0,0.08333333333333333,12,0.08333333333333333,12
Hyp-5_B4,075,VIDEO,,0,0.0,1638,,0
Hyp-5_B9,075,VIDEO,,0,0.003663003663003663,1638,,0
Hyp-6_B3B6,075,VIDEO,,0,,0,,0
Hyp-6_B9,075,VIDEO,,0,,0,,0
Hyp-7,075,VIDEO,,0,0.003663003663003663,1638,,0
Hyp-8_full,075,VIDEO,,0,1.1416592004297863,1638,,0
Hyp-8_aro,075,VIDEO,,0,0.5694084249084249,1638,,0
Hyp-10_B10,075,VIDEO,,0,2.9764038231780168,837,2.9764038231780168,837
Hyp-10_B6,075,VIDEO,,0,3.0,12,3.0,12
Maintenance_vs_Drift,075,VIDEO,,0,0.41467716535433075,381,,0
Hyp-1,100,VIDEO,,0,0.4554334554334554,1638,0.4554334554334554,1638
Hyp-2_opposing,100,VIDEO,,0,0.0,1638,,0
Hyp-2_adjacent,100,VIDEO,,0,0.0,1638,,0
Hyp-3_relaxed,100,VIDEO,,0,0.0,6,,0
Hyp-4_chaos,100,VIDEO,,0,,0,,0
Hyp-4_baseline,100,VIDEO,,0,0.46017699115044247,113,0.46017699115044247,113
Hyp-5_B4,100,VIDEO,,0,0.0,1638,,0
Hyp-5_B9,100,VIDEO,,0,0.018315018315018316,1638,,0
Hyp-6_B3B6,100,VIDEO,,0,,0,,0
Hyp-6_B9,100,VIDEO,,0,,0,,0
Hyp-7,100,VIDEO,,0,0.018315018315018316,1638,,0
Hyp-8_full,100,VIDEO,,0,1.1416592004297863,1638,,0
Hyp-8_aro,100,VIDEO,,0,0.5694084249084249,1638,,0
Hyp-10_B10,100,VIDEO,,0,2.9815580736543903,353,2.9815580736543903,353
Hyp-10_B6,100,VIDEO,,0,3.037345132743363,113,3.037345132743363,113
Maintenance_vs_Drift,100,VIDEO,,0,0.35632841823056305,746,,0
