from,to,n,mean_delta_I1_val,mean_delta_I1_aro,frac_B1,frac_B2
Q1,Q2,52,-0.8045192307692309,-0.4166538461538462,0.1346153846153846,0.5384615384615384
Q1,Q3,42,-0.6665952380952381,-0.8213809523809525,0.09523809523809523,0.7142857142857143
Q1,Q4,135,-0.07404444444444445,-0.3468740740740741,0.17037037037037037,0.6962962962962963
Q2,Q1,43,1.04646511627907,0.8565348837209303,0.46511627906976744,0.32558139534883723
Q2,Q3,42,-0.12707142857142853,-0.3372380952380952,0.07142857142857142,0.6666666666666666
Q2,Q4,78,0.818397435897436,0.0661538461538462,0.08974358974358974,0.7948717948717948
Q3,Q1,45,0.7999777777777777,1.0741111111111112,0.4666666666666667,0.4222222222222222
Q3,Q2,32,0.005218749999999994,0.45318749999999997,0.03125,0.5625
Q3,Q4,97,0.8745154639175258,0.6769999999999999,0.20618556701030927,0.7010309278350515
Q4,Q1,142,0.04223943661971832,0.4084295774647888,0.34507042253521125,0.44366197183098594
Q4,Q2,75,-0.8533599999999999,-0.14664000000000002,0.04,0.56
Q4,Q3,86,-0.7131279069767443,-0.5465116279069767,0.06976744186046512,0.6976744186046512
