user_id,true_session,block_type,clip1_title,clip1_E_quad,clip2_title,clip2_E_quad,E_val,E_aro,P_val,P_aro,I1_val,I1_aro,I2_val,I2_aro,phys_hr_mean,phys_eda_mean,transition_type,B3_n_B6,B3_n_B6_quad,closer_I2
1,12,Hyp9_Transition_Block,TheFaultInOurStars_003.mp4,Q1,TheTheoryOfEverything_040.mp4,Q4,3.36,2.76,5,1,3,1,,,,,Soft,False,False,False
1,2,Drift_Block,TheFaultInOurStars_045.mp4,Q3,Gifted_041.mp4,Q4,3.76,2.24,3,2,3,2,4.0,2.0,80.0,0.36,Soft,False,False,True
1,8,Drift_Block,Gifted_045.mp4,Q3,LadyBird_017.mp4,Q4,3.36,2.24,4,2,3,2,4.0,2.0,79.0,0.245,Soft,False,False,False
2,11,Hyp9_Maintenance_Block,LadyBird_056.mp4,Q1,TheTheoryOfEverything_040.mp4,Q4,3.36,2.76,3,2,3,2,,,,,Soft,False,False,False
2,15,Drift_Block,TheFaultInOurStars_006.mp4,Q2,TheBlindSide_009.mp4,Q4,3.36,2.76,3,3,3,3,,,,,Hard,False,False,False
2,19,Drift_Block,LadyBird_003.mp4,Q2,LadyBird_017.mp4,Q4,3.36,2.24,4,4,4,4,,,,,Hard,False,False,False
2,23,Hyp9_Transition_Block,LadyBird_019.mp4,Q1,TheFaultInOurStars_033.mp4,Q4,3.36,2.52,4,4,4,4,,,,,Soft,False,False,False
2,17,Drift_Block,LadyBird_003.mp4,Q2,TheBlindSide_009.mp4,Q4,3.36,2.76,2,2,2,2,1.0,5.0,98.0,0.12,Hard,False,False,False
3,22,Hyp9_Transition_Block,TheFaultInOurStars_003.mp4,Q1,TheFaultInOurStars_033.mp4,Q4,3.36,2.52,3,1,3,1,5.0,1.0,72.0,0.05,Soft,False,False,False
3,34,Drift_Block,TheBlindSide_001.mp4,Q2,Wonder_120.mp4,Q4,4.76,1.76,5,1,5,1,5.0,1.0,73.5,0.25,Hard,False,False,False
3,16,Drift_Block,TheFaultInOurStars_006.mp4,Q2,AboutTime_000.mp4,Q4,3.88,1.48,3,4,3,3,4.0,2.0,84.0,0.07,Hard,False,False,True
4,19,Drift_Block,TheBlindSide_003.mp4,Q3,AboutTime_000.mp4,Q4,3.88,1.48,5,4,5,4,,,,,Soft,False,False,False
