clip_id,expressed_value
AboutTime_002,3.52
AboutTime_003,4.2
AboutTime_005,3.36
AboutTime_006,4.2
AboutTime_007,4.2
AboutTime_008,3.0
AboutTime_010,3.68
AboutTime_011,4.52
AboutTime_012,3.64
AboutTime_013,3.8
AboutTime_014,4.2
AboutTime_015,3.28
AboutTime_016,3.8
AboutTime_018,3.68
AboutTime_019,4.12
AboutTime_020,3.68
AboutTime_021,3.8
AboutTime_022,4.36
AboutTime_035,4.2
AboutTime_038,3.48
AboutTime_042,4.36
AboutTime_052,3.68
AboutTime_056,4.36
AboutTime_068,3.8
AboutTime_069,4.76
AboutTime_071,4.64
AboutTime_073,4.36
AboutTime_075,3.2
AboutTime_085,3.68
AboutTime_086,3.68
AboutTime_095,4.52
AboutTime_117,1.64
AboutTime_130,4.0
AboutTime_132,3.8
AboutTime_133,4.52
AboutTime_135,4.64
AboutTime_136,4.88
Gifted_041,3.8
Gifted_045,4.2
LadyBird_001,4.2
LadyBird_003,3.68
LadyBird_017,4.2
LadyBird_024,2.36
LadyBird_030,4.24
LadyBird_031,3.52
LadyBird_048,3.68
LadyBird_055,3.72
LadyBird_068,1.88
LadyBird_069,3.8
LadyBird_077,3.68
LadyBird_080,3.8
LadyBird_088,3.8
LadyBird_092,3.8
LadyBird_099,4.24
LadyBird_104,4.2
TheBlindSide_000,4.2
TheBlindSide_001,4.2
TheBlindSide_002,3.8
TheBlindSide_003,3.48
TheBlindSide_004,3.68
TheBlindSide_005,3.64
TheBlindSide_006,4.2
TheBlindSide_007,4.2
TheBlindSide_008,2.24
TheBlindSide_009,4.2
TheBlindSide_012,3.68
TheBlindSide_013,4.2
TheBlindSide_014,3.68
TheBlindSide_015,4.2
TheBlindSide_018,4.2
TheBlindSide_019,3.68
TheBlindSide_020,4.2
TheBlindSide_021,4.2
TheBlindSide_022,4.2
TheBlindSide_024,3.68
TheBlindSide_025,3.68
TheBlindSide_027,3.68
TheBlindSide_028,4.2
TheBlindSide_029,3.24
TheBlindSide_031,3.8
TheBlindSide_032,3.68
TheBlindSide_033,4.2
TheBlindSide_034,3.48
TheBlindSide_035,3.68
TheBlindSide_036,3.68
TheBlindSide_037,4.2
TheBlindSide_038,3.68
TheBlindSide_039,3.8
TheBlindSide_040,3.0
TheBlindSide_043,3.8
TheBlindSide_044,3.68
TheBlindSide_046,3.68
TheBlindSide_049,4.2
TheBlindSide_050,4.2
TheBlindSide_053,3.24
TheBlindSide_054,3.52
TheBlindSide_055,4.2
TheBlindSide_057,3.68
TheBlindSide_058,3.68
TheBlindSide_059,4.76
TheBlindSide_060,4.88
TheBlindSide_062,3.68
TheBlindSide_063,3.68
TheBlindSide_064,4.64
TheBlindSide_066,2.36
TheBlindSide_067,3.8
TheBlindSide_068,3.48
TheBlindSide_069,3.68
TheBlindSide_071,2.52
TheBlindSide_072,2.88
TheBlindSide_073,3.12
TheBlindSide_076,4.2
TheBlindSide_077,3.68
TheBlindSide_078,3.8
TheBlindSide_079,4.88
TheBlindSide_081,3.68
TheBlindSide_082,4.2
TheBlindSide_083,3.2
TheBlindSide_084,3.68
TheBlindSide_086,3.2
TheBlindSide_087,3.8
TheBlindSide_088,3.68
TheBlindSide_089,3.68
TheBlindSide_091,4.0
TheBlindSide_092,3.68
TheFaultInOurStars_002,4.36
TheFaultInOurStars_003,4.0
TheFaultInOurStars_004,4.2
TheFaultInOurStars_005,3.88
TheFaultInOurStars_006,3.48
TheFaultInOurStars_007,3.76
TheFaultInOurStars_008,3.76
TheFaultInOurStars_010,3.68
TheFaultInOurStars_011,3.68
TheFaultInOurStars_012,4.36
TheFaultInOurStars_013,4.52
TheFaultInOurStars_014,4.2
TheFaultInOurStars_015,3.64
TheFaultInOurStars_016,4.2
TheFaultInOurStars_018,3.72
TheFaultInOurStars_019,4.24
TheFaultInOurStars_020,4.36
TheFaultInOurStars_022,4.36
TheFaultInOurStars_023,4.64
TheFaultInOurStars_024,3.68
TheFaultInOurStars_025,3.68
TheFaultInOurStars_026,4.12
TheFaultInOurStars_027,4.0
TheFaultInOurStars_028,4.2
TheFaultInOurStars_030,4.76
TheFaultInOurStars_031,3.36
TheFaultInOurStars_032,3.48
TheFaultInOurStars_033,3.36
TheFaultInOurStars_034,4.36
TheFaultInOurStars_035,4.36
TheFaultInOurStars_036,4.52
TheFaultInOurStars_037,3.64
TheFaultInOurStars_040,4.52
TheFaultInOurStars_041,4.52
TheFaultInOurStars_043,3.8
TheFaultInOurStars_045,4.2
TheFaultInOurStars_048,4.76
TheFaultInOurStars_049,4.52
TheFaultInOurStars_050,4.52
TheFaultInOurStars_051,4.24
TheFaultInOurStars_052,4.2
TheFaultInOurStars_054,3.68
TheFaultInOurStars_058,4.0
TheFaultInOurStars_060,3.68
TheFaultInOurStars_061,1.24
TheFaultInOurStars_062,2.24
TheFaultInOurStars_063,3.68
TheFaultInOurStars_067,3.68
TheFaultInOurStars_069,2.36
TheFaultInOurStars_070,3.68
TheFaultInOurStars_071,3.8
TheFaultInOurStars_074,2.36
TheFaultInOurStars_075,3.76
TheFaultInOurStars_076,3.64
TheSpectacularNow_023,3.52
TheTheoryOfEverything_003,4.2
TheTheoryOfEverything_005,3.8
TheTheoryOfEverything_016,4.52
TheTheoryOfEverything_018,1.36
TheTheoryOfEverything_022,4.2
TheTheoryOfEverything_037,4.2
TheTheoryOfEverything_039,1.88
TheTheoryOfEverything_041,2.24
TheTheoryOfEverything_042,3.48
TheTheoryOfEverything_048,3.68
TheTheoryOfEverything_054,3.88
TheTheoryOfEverything_057,4.2
