clip_id,expressed_valence,expressed_arousal
Gifted_000,2.3600000000000003,3.24
Gifted_001,2.6399999999999997,2.52
Gifted_002,2.3600000000000003,3.0
Gifted_003,2.6399999999999997,3.24
Gifted_004,2.88,2.24
Gifted_005,2.3600000000000003,3.0
Gifted_006,2.76,3.24
Gifted_007,3.88,1.76
Gifted_008,4.12,1.76
Gifted_009,2.0,3.0
Gifted_010,3.0,3.0
Gifted_011,3.36,3.24
Gifted_012,2.88,2.76
Gifted_013,2.52,3.0
Gifted_014,2.0,3.0
Gifted_015,2.12,3.0
Gifted_016,2.24,3.24
Gifted_017,2.24,3.76
Gifted_018,1.88,4.24
Gifted_019,1.6400000000000001,4.52
Gifted_020,1.6400000000000001,4.24
Gifted_021,1.88,3.0
Gifted_022,2.0,4.0
Gifted_023,2.52,2.0
Gifted_024,2.6399999999999997,2.24
Gifted_025,4.359999999999999,1.76
Gifted_026,4.0,1.76
Gifted_027,1.3599999999999999,4.76
Gifted_028,1.24,4.76
Gifted_029,2.24,2.52
Gifted_030,2.6399999999999997,2.0
Gifted_031,3.64,2.0
Gifted_032,2.76,2.52
Gifted_033,3.12,2.52
Gifted_034,3.12,2.24
Gifted_035,3.48,2.76
Gifted_036,3.64,3.0
Gifted_037,3.76,2.24
Gifted_038,2.52,4.0
Gifted_039,3.0,2.76
Gifted_040,4.359999999999999,3.0
Gifted_041,3.76,2.24
Gifted_042,3.0,3.0
Gifted_043,3.24,2.24
Gifted_044,4.0,2.0
Gifted_045,2.88,2.24
Gifted_046,4.0,2.24
Gifted_047,2.88,2.0
Gifted_048,2.12,2.76
Gifted_049,4.640000000000001,2.76
Gifted_050,4.640000000000001,3.0
Gifted_051,4.640000000000001,2.76
Gifted_052,1.6400000000000001,2.0
Gifted_053,1.0,4.24
Gifted_054,1.12,4.76
Gifted_055,1.24,3.0
Gifted_056,2.3600000000000003,2.76
Gifted_057,3.24,2.76
Gifted_058,1.6400000000000001,4.76
Gifted_059,1.3599999999999999,4.76
Gifted_060,1.48,3.0
Gifted_061,2.24,1.76
Gifted_062,2.3600000000000003,2.52
Gifted_063,2.6399999999999997,1.76
Gifted_064,3.88,2.76
Gifted_065,4.12,3.0
Gifted_066,4.640000000000001,4.0
LadyBird_000,3.24,2.0
LadyBird_001,2.6399999999999997,1.76
LadyBird_002,3.0,2.52
LadyBird_003,1.88,4.52
LadyBird_004,1.48,4.52
LadyBird_005,1.48,4.76
LadyBird_006,1.12,5.0
LadyBird_007,2.88,2.52
LadyBird_008,3.76,1.76
LadyBird_009,2.24,4.0
LadyBird_010,2.88,3.0
LadyBird_011,2.76,4.24
LadyBird_012,3.24,2.76
LadyBird_013,2.24,4.0
LadyBird_014,3.36,2.52
LadyBird_015,4.24,2.76
LadyBird_016,3.48,2.76
LadyBird_017,3.36,2.24
LadyBird_018,4.24,3.24
LadyBird_019,4.359999999999999,4.52
LadyBird_020,2.76,2.52
LadyBird_021,1.88,2.76
LadyBird_022,4.0,3.76
LadyBird_023,2.76,3.0
LadyBird_024,2.3600000000000003,2.52
LadyBird_025,4.0,3.0
LadyBird_026,4.52,3.24
LadyBird_027,3.0,2.24
LadyBird_028,3.76,4.24
LadyBird_029,4.52,2.76
LadyBird_030,4.24,2.52
LadyBird_031,4.359999999999999,4.24
LadyBird_032,1.3599999999999999,3.76
LadyBird_033,1.48,2.76
LadyBird_034,3.88,2.0
LadyBird_035,4.0,1.48
LadyBird_036,4.359999999999999,2.0
LadyBird_037,4.359999999999999,3.24
LadyBird_038,3.0,2.76
LadyBird_039,2.0,3.24
LadyBird_040,2.0,4.24
LadyBird_041,4.12,3.48
LadyBird_042,3.36,3.24
LadyBird_043,4.12,3.0
LadyBird_044,4.12,3.0
LadyBird_045,4.359999999999999,2.76
LadyBird_046,4.24,3.48
LadyBird_047,3.24,3.0
LadyBird_048,4.359999999999999,4.76
LadyBird_049,2.76,2.24
LadyBird_050,3.12,2.0
LadyBird_051,4.24,4.76
LadyBird_052,2.6399999999999997,3.76
LadyBird_053,4.76,3.48
LadyBird_054,4.88,3.48
LadyBird_055,4.76,3.24
LadyBird_056,3.48,3.24
LadyBird_057,3.88,2.76
LadyBird_058,3.12,2.52
LadyBird_059,2.24,3.24
LadyBird_060,2.12,3.0
LadyBird_061,2.88,3.0
LadyBird_062,3.0,3.0
LadyBird_063,1.76,2.52
LadyBird_064,3.12,2.24
LadyBird_065,2.0,3.0
LadyBird_066,1.76,4.52
LadyBird_067,1.6400000000000001,4.24
LadyBird_068,1.88,3.24
LadyBird_069,1.88,3.76
LadyBird_070,1.24,4.76
LadyBird_071,1.24,5.0
LadyBird_072,2.76,2.0
LadyBird_073,3.64,3.48
LadyBird_074,4.359999999999999,5.0
LadyBird_075,2.52,3.24
LadyBird_076,3.0,2.76
LadyBird_077,1.88,2.52
LadyBird_078,2.76,3.0
LadyBird_079,1.0,5.0
LadyBird_080,1.0,5.0
LadyBird_081,1.0,4.0
LadyBird_082,1.76,4.52
LadyBird_083,1.48,2.52
LadyBird_084,2.24,2.76
LadyBird_085,3.0,2.52
LadyBird_086,3.36,4.24
LadyBird_087,3.12,3.48
LadyBird_088,3.12,3.76
LadyBird_089,2.3600000000000003,3.24
LadyBird_090,3.48,2.76
LadyBird_091,1.48,4.0
LadyBird_092,1.3599999999999999,4.52
LadyBird_093,2.0,2.76
LadyBird_094,2.76,4.0
LadyBird_095,3.12,3.0
LadyBird_096,3.36,2.76
LadyBird_097,2.24,3.24
LadyBird_098,2.0,2.0
LadyBird_099,4.24,3.0
LadyBird_100,2.12,2.76
LadyBird_101,4.640000000000001,4.24
LadyBird_102,4.12,2.0
LadyBird_103,3.88,2.0
LadyBird_104,4.88,3.24
LadyBird_105,1.6400000000000001,3.76
LadyBird_106,3.88,2.24
LadyBird_107,3.24,1.48
LadyBird_108,2.0,2.0
LadyBird_109,2.3600000000000003,3.0
LadyBird_110,3.76,1.76
LadyBird_111,3.36,3.0
LadyBird_112,3.0,3.48
LadyBird_113,5.0,1.76
TheFaultInOurStars_000,3.76,2.76
TheFaultInOurStars_001,4.359999999999999,2.76
TheFaultInOurStars_002,4.359999999999999,2.52
TheFaultInOurStars_003,4.0,3.24
TheFaultInOurStars_004,3.36,2.0
TheFaultInOurStars_005,3.88,3.76
TheFaultInOurStars_006,1.76,4.52
TheFaultInOurStars_007,3.76,3.0
TheFaultInOurStars_008,3.76,3.24
TheFaultInOurStars_009,4.0,2.76
TheFaultInOurStars_010,3.64,2.52
TheFaultInOurStars_011,3.88,3.0
TheFaultInOurStars_012,4.359999999999999,3.0
TheFaultInOurStars_013,4.52,3.0
TheFaultInOurStars_014,3.24,2.24
TheFaultInOurStars_015,3.64,3.76
TheFaultInOurStars_016,3.24,4.0
TheFaultInOurStars_017,3.88,2.76
TheFaultInOurStars_018,4.52,4.76
TheFaultInOurStars_019,4.24,5.0
TheFaultInOurStars_020,4.359999999999999,2.76
TheFaultInOurStars_021,4.24,2.24
TheFaultInOurStars_022,4.359999999999999,1.48
TheFaultInOurStars_023,4.640000000000001,1.76
TheFaultInOurStars_024,4.24,3.24
TheFaultInOurStars_025,4.0,3.0
TheFaultInOurStars_026,4.12,2.52
TheFaultInOurStars_027,4.0,2.24
TheFaultInOurStars_028,3.76,2.24
TheFaultInOurStars_029,4.24,3.0
TheFaultInOurStars_030,4.76,4.76
TheFaultInOurStars_031,3.36,2.24
TheFaultInOurStars_032,2.6399999999999997,3.76
TheFaultInOurStars_033,3.36,2.52
TheFaultInOurStars_034,4.359999999999999,2.24
TheFaultInOurStars_035,4.359999999999999,3.24
TheFaultInOurStars_036,4.52,4.24
TheFaultInOurStars_037,3.64,3.24
TheFaultInOurStars_038,3.64,2.52
TheFaultInOurStars_039,4.640000000000001,4.24
TheFaultInOurStars_040,4.52,3.0
TheFaultInOurStars_041,4.52,1.48
TheFaultInOurStars_042,3.64,2.0
TheFaultInOurStars_043,4.12,2.24
TheFaultInOurStars_044,3.76,2.0
TheFaultInOurStars_045,2.88,2.0
TheFaultInOurStars_046,4.12,2.24
TheFaultInOurStars_047,3.64,2.24
TheFaultInOurStars_048,4.76,3.0
TheFaultInOurStars_049,4.52,2.24
TheFaultInOurStars_050,4.52,1.76
TheFaultInOurStars_051,4.24,4.0
TheFaultInOurStars_052,2.52,3.76
TheFaultInOurStars_053,4.88,3.24
TheFaultInOurStars_054,4.88,2.76
TheFaultInOurStars_055,3.48,1.76
TheFaultInOurStars_056,4.359999999999999,3.0
TheFaultInOurStars_057,4.640000000000001,2.76
TheFaultInOurStars_058,4.0,1.24
TheFaultInOurStars_059,3.24,2.0
TheFaultInOurStars_060,1.0,2.52
TheFaultInOurStars_061,1.24,3.48
TheFaultInOurStars_062,2.24,2.0
TheFaultInOurStars_063,3.0,2.0
TheFaultInOurStars_064,3.64,2.52
TheFaultInOurStars_065,2.52,1.24
TheFaultInOurStars_066,4.0,2.24
TheFaultInOurStars_067,3.76,1.76
TheFaultInOurStars_068,4.0,1.76
TheFaultInOurStars_069,2.3600000000000003,1.76
TheFaultInOurStars_070,1.88,2.0
TheFaultInOurStars_071,2.24,4.76
TheFaultInOurStars_072,3.76,1.76
TheFaultInOurStars_073,3.48,2.52
TheFaultInOurStars_074,2.3600000000000003,2.24
TheFaultInOurStars_075,3.76,1.76
TheFaultInOurStars_076,3.64,3.24
TheFaultInOurStars_077,3.64,2.76
TheSpectacularNow_000,4.12,3.0
TheSpectacularNow_001,4.12,3.76
TheSpectacularNow_002,1.88,4.24
TheSpectacularNow_003,3.88,3.0
TheSpectacularNow_004,2.12,2.76
TheSpectacularNow_005,1.88,3.0
TheSpectacularNow_006,3.12,2.76
TheSpectacularNow_007,3.0,2.52
TheSpectacularNow_008,3.64,2.24
TheSpectacularNow_009,3.12,2.24
TheSpectacularNow_010,3.76,2.76
TheSpectacularNow_011,4.640000000000001,3.48
TheSpectacularNow_012,2.52,3.0
TheSpectacularNow_013,3.88,2.76
TheSpectacularNow_014,4.12,3.24
TheSpectacularNow_015,3.0,2.52
TheSpectacularNow_016,4.24,2.76
TheSpectacularNow_017,3.76,2.52
TheSpectacularNow_018,3.64,2.24
TheSpectacularNow_019,3.36,2.52
TheSpectacularNow_020,4.52,3.48
TheSpectacularNow_021,3.48,2.76
TheSpectacularNow_022,2.88,2.52
TheSpectacularNow_023,2.12,2.52
TheSpectacularNow_024,4.12,3.0
TheSpectacularNow_025,3.64,2.52
TheSpectacularNow_026,3.76,3.24
TheSpectacularNow_027,3.76,3.0
TheSpectacularNow_028,2.76,2.76
TheSpectacularNow_029,3.24,4.0
TheSpectacularNow_030,4.359999999999999,4.24
TheSpectacularNow_031,4.52,4.76
TheSpectacularNow_032,2.76,2.52
TheSpectacularNow_033,3.36,2.24
TheSpectacularNow_034,1.6400000000000001,4.52
TheSpectacularNow_035,1.24,4.24
TheSpectacularNow_036,2.76,2.52
TheSpectacularNow_037,4.0,3.48
TheSpectacularNow_038,4.0,3.0
TheSpectacularNow_039,4.24,2.24
TheSpectacularNow_040,4.24,3.48
TheSpectacularNow_041,4.12,3.48
TheSpectacularNow_042,2.6399999999999997,2.76
TheSpectacularNow_043,4.52,4.0
TheSpectacularNow_044,3.76,3.48
TheSpectacularNow_045,2.88,2.76
TheSpectacularNow_046,4.0,1.0
TheSpectacularNow_047,4.0,1.76
TheSpectacularNow_048,4.24,3.24
TheSpectacularNow_049,4.24,3.24
TheSpectacularNow_050,3.88,4.0
TheSpectacularNow_051,3.36,3.24
TheSpectacularNow_052,1.3599999999999999,2.52
TheSpectacularNow_053,2.76,3.48
TheSpectacularNow_054,1.6400000000000001,5.0
TheSpectacularNow_055,1.76,3.0
TheSpectacularNow_056,4.24,3.76
TheSpectacularNow_057,3.88,3.24
TheSpectacularNow_058,3.76,3.76
TheSpectacularNow_059,3.76,2.76
TheSpectacularNow_060,3.0,2.52
TheSpectacularNow_061,3.88,2.24
TheSpectacularNow_062,2.88,3.0
TheSpectacularNow_063,2.52,2.76
TheSpectacularNow_064,1.48,2.76
TheSpectacularNow_065,2.6399999999999997,2.76
TheSpectacularNow_066,1.88,3.0
TheSpectacularNow_067,1.48,3.48
TheSpectacularNow_068,1.48,2.24
TheSpectacularNow_069,1.24,2.0
TheSpectacularNow_070,1.12,4.76
TheSpectacularNow_071,1.0,5.0
TheSpectacularNow_072,3.12,1.76
TheSpectacularNow_073,3.0,2.52
TheSpectacularNow_074,3.64,2.24
TheSpectacularNow_075,2.0,2.76
TheSpectacularNow_076,4.0,2.24
TheSpectacularNow_077,1.3599999999999999,1.76
TheSpectacularNow_078,1.24,4.76
TheSpectacularNow_079,2.12,3.48
TheSpectacularNow_080,1.24,2.24
TheSpectacularNow_081,2.12,3.48
TheSpectacularNow_082,3.12,3.24
TheTheoryOfEverything_000,3.88,3.24
TheTheoryOfEverything_001,3.64,2.76
TheTheoryOfEverything_002,3.24,2.52
TheTheoryOfEverything_003,4.12,3.0
TheTheoryOfEverything_004,2.3600000000000003,3.0
TheTheoryOfEverything_005,4.12,2.52
TheTheoryOfEverything_006,4.52,2.76
TheTheoryOfEverything_007,3.76,2.0
TheTheoryOfEverything_008,3.12,2.76
TheTheoryOfEverything_009,4.0,2.76
TheTheoryOfEverything_010,3.64,2.52
TheTheoryOfEverything_011,4.76,3.0
TheTheoryOfEverything_012,4.359999999999999,2.52
TheTheoryOfEverything_013,4.88,3.0
TheTheoryOfEverything_014,4.359999999999999,1.24
TheTheoryOfEverything_015,4.76,1.76
TheTheoryOfEverything_016,4.52,4.52
TheTheoryOfEverything_017,2.0,2.0
TheTheoryOfEverything_018,1.3599999999999999,2.52
TheTheoryOfEverything_019,1.88,3.24
TheTheoryOfEverything_020,1.3599999999999999,3.24
TheTheoryOfEverything_021,1.12,4.76
TheTheoryOfEverything_022,1.6400000000000001,4.76
TheTheoryOfEverything_023,3.76,2.24
TheTheoryOfEverything_024,4.88,2.52
TheTheoryOfEverything_025,4.88,2.0
TheTheoryOfEverything_026,4.0,2.52
TheTheoryOfEverything_027,2.76,1.76
TheTheoryOfEverything_028,2.24,1.76
TheTheoryOfEverything_029,3.88,2.52
TheTheoryOfEverything_030,3.88,2.24
TheTheoryOfEverything_031,3.12,3.48
TheTheoryOfEverything_032,1.6400000000000001,4.24
TheTheoryOfEverything_033,2.52,2.24
TheTheoryOfEverything_034,3.64,2.76
TheTheoryOfEverything_035,2.76,1.76
TheTheoryOfEverything_036,2.6399999999999997,3.0
TheTheoryOfEverything_037,2.12,4.0
TheTheoryOfEverything_038,2.24,3.24
TheTheoryOfEverything_039,1.88,2.76
TheTheoryOfEverything_040,3.36,2.76
TheTheoryOfEverything_041,2.24,2.76
TheTheoryOfEverything_042,2.76,2.24
TheTheoryOfEverything_043,1.3599999999999999,4.0
TheTheoryOfEverything_044,1.48,3.24
TheTheoryOfEverything_045,3.64,2.76
TheTheoryOfEverything_046,4.24,3.24
TheTheoryOfEverything_047,4.24,2.76
TheTheoryOfEverything_048,2.3600000000000003,2.52
TheTheoryOfEverything_049,1.76,3.0
TheTheoryOfEverything_050,3.0,2.52
TheTheoryOfEverything_051,1.76,2.76
TheTheoryOfEverything_052,2.6399999999999997,2.52
TheTheoryOfEverything_053,4.0,4.0
TheTheoryOfEverything_054,3.88,3.0
TheTheoryOfEverything_055,4.12,3.0
TheTheoryOfEverything_056,4.0,2.52
TheTheoryOfEverything_057,3.64,2.52
TheTheoryOfEverything_058,4.640000000000001,2.76
TheBlindSide_000,2.6399999999999997,3.0
TheBlindSide_001,2.76,3.48
TheBlindSide_002,3.64,3.0
TheBlindSide_003,2.76,2.76
TheBlindSide_004,4.12,3.0
TheBlindSide_005,3.64,3.24
TheBlindSide_006,3.0,2.76
TheBlindSide_007,3.0,2.52
TheBlindSide_008,2.24,3.0
TheBlindSide_009,3.36,2.76
TheBlindSide_010,4.24,2.76
TheBlindSide_011,3.48,2.0
TheBlindSide_012,2.88,3.0
TheBlindSide_013,4.0,2.76
TheBlindSide_014,2.76,2.24
TheBlindSide_015,3.24,2.76
TheBlindSide_016,3.0,3.24
TheBlindSide_017,4.0,2.76
TheBlindSide_018,3.36,2.52
TheBlindSide_019,3.24,2.0
TheBlindSide_020,4.12,2.0
TheBlindSide_021,3.64,2.52
TheBlindSide_022,3.24,2.76
TheBlindSide_023,2.6399999999999997,2.24
TheBlindSide_024,2.6399999999999997,2.0
TheBlindSide_025,3.48,3.0
TheBlindSide_026,2.6399999999999997,3.48
TheBlindSide_027,2.12,2.76
TheBlindSide_028,1.88,1.76
TheBlindSide_029,3.24,2.52
TheBlindSide_030,3.24,2.52
TheBlindSide_031,4.24,2.76
TheBlindSide_032,3.48,2.76
TheBlindSide_033,4.12,1.76
TheBlindSide_034,4.0,2.76
TheBlindSide_035,3.64,2.52
TheBlindSide_036,2.24,2.76
TheBlindSide_037,3.88,3.0
TheBlindSide_038,4.52,3.76
TheBlindSide_039,3.64,3.0
TheBlindSide_040,3.0,2.76
TheBlindSide_041,3.76,3.0
TheBlindSide_042,3.48,2.76
TheBlindSide_043,2.52,2.52
TheBlindSide_044,1.48,2.0
TheBlindSide_045,4.640000000000001,1.76
TheBlindSide_046,4.76,2.52
TheBlindSide_047,4.12,3.0
TheBlindSide_048,4.24,2.76
TheBlindSide_049,3.64,3.0
TheBlindSide_050,3.64,2.76
