clip_id,expressed_valence,expressed_arousal
Gifted_035,3.68,4.12
Gifted_020,3.68,4.12
Gifted_063,4.2,4.52
Gifted_039,3.68,4.12
Gifted_010,3.68,4.12
Gifted_022,4.2,4.52
Gifted_028,4.2,4.52
Gifted_009,4.2,4.12
Gifted_005,3.68,4.12
Gifted_013,4.2,4.12
Gifted_002,3.8,3.96
Gifted_062,3.8,3.96
Gifted_026,3.8,3.88
Gifted_052,3.68,4.12
Gifted_000,4.2,4.52
Gifted_049,3.68,4.12
Gifted_015,3.8,3.96
Gifted_036,4.2,4.52
Gifted_007,4.2,4.52
Gifted_042,3.48,3.76
Gifted_004,4.2,4.52
Gifted_040,4.2,4.12
Gifted_060,3.68,4.12
Gifted_065,3.68,4.12
Gifted_058,4.2,4.52
Gifted_023,4.2,4.52
Gifted_014,3.68,4.12
Gifted_012,4.2,4.52
Gifted_037,4.2,4.52
Gifted_032,4.2,4.52
Gifted_044,3.8,3.88
Gifted_029,3.68,4.12
Gifted_006,3.68,4.12
Gifted_050,4.2,4.12
Gifted_018,3.68,4.12
Gifted_016,3.68,4.12
Gifted_053,3.68,4.12
Gifted_055,3.68,4.12
Gifted_017,4.2,4.52
Gifted_011,3.68,4.12
Gifted_061,3.68,4.12
Gifted_019,3.68,4.12
Gifted_046,3.68,4.12
Gifted_021,3.68,4.12
Gifted_059,3.68,4.12
Gifted_045,4.2,4.12
Gifted_057,3.8,3.96
Gifted_027,3.68,4.12
Gifted_030,3.68,4.12
Gifted_048,3.68,4.12
Gifted_054,3.68,4.12
Gifted_064,4.2,4.52
Gifted_038,4.2,4.52
Gifted_024,4.2,4.12
Gifted_008,4.2,4.52
Gifted_003,3.68,4.12
Gifted_001,3.48,3.76
Gifted_034,3.68,4.12
Gifted_041,3.8,3.96
Gifted_066,3.28,4.16
Gifted_051,4.2,4.52
Gifted_025,3.8,3.88
Gifted_056,4.2,4.52
Gifted_043,3.48,3.76
Gifted_031,4.2,4.12
Gifted_033,3.52,4.4
Gifted_047,3.48,3.76
LadyBird_087,4.2,4.12
LadyBird_032,3.2,3.88
LadyBird_078,3.68,4.12
LadyBird_016,4.2,4.52
LadyBird_048,3.68,4.12
LadyBird_056,3.68,4.12
LadyBird_054,4.2,4.52
LadyBird_089,3.68,4.12
LadyBird_003,3.68,4.12
LadyBird_093,3.48,3.76
LadyBird_075,3.52,4.4
