clip_id,Nishant,avg_inferred_arousal
AboutTime_000,4.0,4.0
AboutTime_001,4.0,4.0
AboutTime_002,4.0,4.0
AboutTime_003,4.0,4.0
AboutTime_004,4.0,4.0
AboutTime_005,3.0,3.0
AboutTime_006,4.0,4.0
AboutTime_007,2.0,2.0
AboutTime_008,2.0,2.0
AboutTime_009,4.0,4.0
AboutTime_010,3.0,3.0
AboutTime_011,4.0,4.0
AboutTime_012,4.0,4.0
AboutTime_013,3.0,3.0
AboutTime_014,4.0,4.0
AboutTime_015,2.0,2.0
AboutTime_016,2.0,2.0
AboutTime_017,2.0,2.0
AboutTime_018,2.0,2.0
AboutTime_019,3.0,3.0
AboutTime_020,4.0,4.0
AboutTime_021,2.0,2.0
AboutTime_022,3.0,3.0
AboutTime_024,2.0,2.0
AboutTime_031,2.0,2.0
AboutTime_032,2.0,2.0
AboutTime_035,3.0,3.0
AboutTime_038,4.0,4.0
AboutTime_042,4.0,4.0
AboutTime_046,3.0,3.0
AboutTime_048,2.0,2.0
AboutTime_052,3.0,3.0
AboutTime_056,4.0,4.0
AboutTime_066,4.0,4.0
AboutTime_068,4.0,4.0
AboutTime_069,3.0,3.0
AboutTime_071,4.0,4.0
AboutTime_073,4.0,4.0
AboutTime_075,2.0,2.0
AboutTime_077,4.0,4.0
AboutTime_085,4.0,4.0
AboutTime_086,4.0,4.0
AboutTime_091,2.0,2.0
AboutTime_095,2.0,2.0
AboutTime_117,4.0,4.0
AboutTime_120,2.0,2.0
AboutTime_130,4.0,4.0
AboutTime_131,4.0,4.0
AboutTime_132,4.0,4.0
AboutTime_133,2.0,2.0
AboutTime_134,3.0,3.0
AboutTime_135,4.0,4.0
AboutTime_136,4.0,4.0
Gifted_041,3.0,3.0
Gifted_045,2.0,2.0
Gifted_049,3.0,3.0
LadyBird_001,2.0,2.0
LadyBird_003,2.0,2.0
LadyBird_005,2.0,2.0
LadyBird_011,3.0,3.0
LadyBird_013,4.0,4.0
LadyBird_017,2.0,2.0
LadyBird_019,4.0,4.0
LadyBird_024,4.0,4.0
LadyBird_030,4.0,4.0
LadyBird_031,2.0,2.0
LadyBird_045,4.0,4.0
LadyBird_048,2.0,2.0
LadyBird_054,2.0,2.0
LadyBird_055,2.0,2.0
LadyBird_056,4.0,4.0
LadyBird_057,4.0,4.0
LadyBird_066,2.0,2.0
LadyBird_068,3.0,3.0
LadyBird_069,4.0,4.0
LadyBird_077,4.0,4.0
LadyBird_080,2.0,2.0
LadyBird_081,2.0,2.0
LadyBird_088,4.0,4.0
LadyBird_092,4.0,4.0
LadyBird_093,2.0,2.0
LadyBird_099,4.0,4.0
LadyBird_104,2.0,2.0
LadyBird_109,3.0,3.0
LadyBird_110,4.0,4.0
TheBlindSide_000,2.0,2.0
TheBlindSide_001,4.0,4.0
TheBlindSide_002,4.0,4.0
TheBlindSide_003,4.0,4.0
TheBlindSide_004,4.0,4.0
TheBlindSide_005,2.0,2.0
TheBlindSide_006,3.0,3.0
TheBlindSide_007,2.0,2.0
TheBlindSide_008,3.0,3.0
TheBlindSide_009,4.0,4.0
TheBlindSide_010,2.0,2.0
TheBlindSide_011,4.0,4.0
TheBlindSide_012,2.0,2.0
TheBlindSide_013,4.0,4.0
TheBlindSide_014,3.0,3.0
TheBlindSide_015,3.0,3.0
TheBlindSide_016,3.0,3.0
TheBlindSide_017,3.0,3.0
TheBlindSide_018,4.0,4.0
TheBlindSide_019,2.0,2.0
TheBlindSide_020,2.0,2.0
TheBlindSide_021,3.0,3.0
TheBlindSide_022,4.0,4.0
TheBlindSide_024,2.0,2.0
TheBlindSide_025,2.0,2.0
TheBlindSide_027,4.0,4.0
TheBlindSide_028,3.0,3.0
TheBlindSide_029,4.0,4.0
TheBlindSide_031,2.0,2.0
TheBlindSide_032,2.0,2.0
TheBlindSide_033,3.0,3.0
TheBlindSide_034,2.0,2.0
TheBlindSide_035,4.0,4.0
TheBlindSide_036,4.0,4.0
TheBlindSide_037,2.0,2.0
TheBlindSide_038,4.0,4.0
TheBlindSide_039,2.0,2.0
TheBlindSide_040,2.0,2.0
TheBlindSide_041,2.0,2.0
TheBlindSide_042,4.0,4.0
TheBlindSide_043,2.0,2.0
TheBlindSide_044,4.0,4.0
TheBlindSide_045,3.0,3.0
TheBlindSide_046,2.0,2.0
TheBlindSide_049,3.0,3.0
TheBlindSide_050,4.0,4.0
TheBlindSide_052,3.0,3.0
TheBlindSide_053,4.0,4.0
TheBlindSide_054,4.0,4.0
