clip_id,Nishant,avg_inferred_valence
AboutTime_000,3.0,3.0
AboutTime_001,3.0,3.0
AboutTime_002,3.0,3.0
AboutTime_003,3.0,3.0
AboutTime_004,3.0,3.0
AboutTime_005,3.0,3.0
AboutTime_006,3.0,3.0
AboutTime_007,3.0,3.0
AboutTime_008,3.0,3.0
AboutTime_009,3.0,3.0
AboutTime_010,3.0,3.0
AboutTime_011,3.0,3.0
AboutTime_012,3.0,3.0
AboutTime_013,3.0,3.0
AboutTime_014,3.0,3.0
AboutTime_015,3.0,3.0
AboutTime_016,3.0,3.0
AboutTime_017,3.0,3.0
AboutTime_018,3.0,3.0
AboutTime_019,3.0,3.0
AboutTime_020,3.0,3.0
AboutTime_021,3.0,3.0
AboutTime_022,3.0,3.0
AboutTime_024,3.0,3.0
AboutTime_031,3.0,3.0
AboutTime_032,3.0,3.0
AboutTime_035,3.0,3.0
AboutTime_038,3.0,3.0
AboutTime_042,3.0,3.0
AboutTime_046,3.0,3.0
AboutTime_048,3.0,3.0
AboutTime_052,3.0,3.0
AboutTime_056,3.0,3.0
AboutTime_066,3.0,3.0
AboutTime_068,3.0,3.0
AboutTime_069,3.0,3.0
AboutTime_071,3.0,3.0
AboutTime_073,3.0,3.0
AboutTime_075,3.0,3.0
AboutTime_077,3.0,3.0
AboutTime_085,3.0,3.0
AboutTime_086,3.0,3.0
AboutTime_091,3.0,3.0
AboutTime_095,3.0,3.0
AboutTime_117,3.0,3.0
AboutTime_120,3.0,3.0
AboutTime_130,3.0,3.0
AboutTime_131,3.0,3.0
AboutTime_132,3.0,3.0
AboutTime_133,3.0,3.0
AboutTime_134,3.0,3.0
AboutTime_135,3.0,3.0
AboutTime_136,3.0,3.0
Gifted_041,3.0,3.0
Gifted_045,3.0,3.0
Gifted_049,3.0,3.0
LadyBird_001,3.0,3.0
LadyBird_003,3.0,3.0
LadyBird_005,3.0,3.0
LadyBird_011,3.0,3.0
LadyBird_013,3.0,3.0
LadyBird_017,3.0,3.0
LadyBird_019,3.0,3.0
LadyBird_024,3.0,3.0
LadyBird_030,3.0,3.0
LadyBird_031,3.0,3.0
LadyBird_045,3.0,3.0
LadyBird_048,3.0,3.0
LadyBird_054,3.0,3.0
LadyBird_055,3.0,3.0
LadyBird_056,3.0,3.0
LadyBird_057,3.0,3.0
LadyBird_066,3.0,3.0
LadyBird_068,3.0,3.0
LadyBird_069,3.0,3.0
LadyBird_077,3.0,3.0
LadyBird_080,3.0,3.0
LadyBird_081,3.0,3.0
LadyBird_088,3.0,3.0
LadyBird_092,3.0,3.0
LadyBird_093,3.0,3.0
LadyBird_099,3.0,3.0
LadyBird_104,3.0,3.0
LadyBird_109,3.0,3.0
LadyBird_110,3.0,3.0
