clip_id,Nishant,ajaycc17,aritra,debjit2001,pranjal123,sayantankuila,avg_inferred_valence
AboutTime_000,4.0,3.0,3.0,2.0,,4.0,3.2
AboutTime_001,4.0,5.0,4.0,5.0,,4.0,4.4
AboutTime_002,4.0,5.0,4.0,3.0,,4.0,4.0
AboutTime_003,5.0,2.0,5.0,3.0,4.0,4.0,3.8333333333333335
AboutTime_004,4.0,3.0,4.0,4.0,4.0,4.0,3.8333333333333335
AboutTime_005,4.0,5.0,4.0,3.0,4.0,2.0,3.6666666666666665
AboutTime_006,4.0,4.0,3.0,2.0,3.0,3.0,3.1666666666666665
AboutTime_007,3.5,5.0,4.0,5.0,,2.0,3.9
AboutTime_008,3.5,3.0,3.0,3.0,,3.0,3.1
AboutTime_009,3.0,5.0,4.0,4.0,3.0,3.0,3.6666666666666665
AboutTime_010,4.0,4.0,4.0,4.0,,4.0,4.0
AboutTime_011,3.0,3.0,2.5,2.0,3.0,3.0,2.75
AboutTime_012,4.0,5.0,4.0,4.0,,4.0,4.2
AboutTime_013,5.0,4.0,3.0,4.0,3.0,4.5,3.9166666666666665
AboutTime_014,4.0,,3.0,2.0,,4.0,3.25
AboutTime_015,3.0,3.0,2.0,2.0,,3.0,2.6
AboutTime_016,3.0,2.0,5.0,2.0,3.0,4.0,3.1666666666666665
AboutTime_017,3.0,3.0,3.0,2.0,,4.0,3.0
AboutTime_018,5.0,,4.0,3.0,4.0,,4.0
AboutTime_046,4.0,3.0,4.0,3.0,,5.0,3.8
AboutTime_048,3.0,5.0,3.0,3.0,3.0,2.0,3.1666666666666665
AboutTime_052,3.0,2.0,5.0,3.0,3.0,3.0,3.1666666666666665
AboutTime_056,3.0,3.0,4.0,4.0,,2.0,3.2
AboutTime_066,5.0,5.0,3.0,2.0,4.0,3.0,3.6666666666666665
AboutTime_068,4.0,4.0,4.0,3.0,,3.0,3.6
AboutTime_069,4.0,4.0,2.0,2.0,,5.0,3.4
AboutTime_071,3.0,3.0,3.0,3.0,,5.0,3.4
AboutTime_073,3.0,5.0,3.0,2.0,,3.0,3.2
AboutTime_075,3.0,3.0,4.0,2.0,3.0,4.0,3.1666666666666665
AboutTime_077,4.0,5.0,5.0,4.0,4.0,4.0,4.333333333333333
AboutTime_085,5.0,5.0,3.0,3.0,,4.0,4.0
AboutTime_086,4.0,,,,,,4.0
AboutTime_091,,3.0,,,,,3.0
AboutTime_095,4.0,4.0,4.0,3.0,,4.0,3.8
AboutTime_117,3.0,4.0,5.0,3.0,3.0,2.0,3.3333333333333335
AboutTime_120,4.0,5.0,3.0,3.0,3.0,3.0,3.5
AboutTime_130,4.0,,3.0,3.0,4.0,4.0,3.6
AboutTime_131,3.0,3.0,4.0,2.0,4.0,5.0,3.5
AboutTime_132,3.0,4.0,3.0,4.0,,4.0,3.6
AboutTime_133,2.0,5.0,3.0,3.0,,4.0,3.4
AboutTime_134,5.0,4.0,3.0,2.0,,3.0,3.4
AboutTime_135,4.0,3.0,4.0,3.0,,4.0,3.6
AboutTime_136,4.0,3.0,3.0,3.0,4.0,2.0,3.1666666666666665
Gifted_041,4.0,5.0,4.0,4.0,,3.0,4.0
Gifted_045,2.0,5.0,5.0,2.0,4.0,4.0,3.6666666666666665
Gifted_049,4.0,4.0,4.0,3.0,,4.0,3.8
LadyBird_001,4.0,3.0,3.0,3.0,4.0,3.0,3.3333333333333335
LadyBird_003,4.0,4.0,4.0,4.0,4.0,4.0,4.0
LadyBird_005,4.0,3.0,4.0,5.0,,3.0,3.8
LadyBird_011,4.0,2.0,3.0,3.0,4.0,3.0,3.1666666666666665
LadyBird_013,4.0,5.0,4.0,4.0,,3.0,4.0
LadyBird_017,2.0,3.0,3.0,2.0,3.0,3.0,2.6666666666666665
LadyBird_019,4.0,4.0,5.0,3.0,3.0,3.0,3.6666666666666665
LadyBird_024,2.0,3.0,3.0,3.0,,4.0,3.0
LadyBird_030,4.0,4.0,3.0,3.0,4.0,4.0,3.6666666666666665
LadyBird_031,4.0,3.0,3.0,2.0,,3.0,3.0
LadyBird_045,4.0,5.0,4.0,3.0,3.0,3.0,3.6666666666666665
LadyBird_048,4.0,4.0,3.0,3.0,,4.0,3.6
LadyBird_054,4.0,4.0,3.0,2.0,,3.0,3.2
LadyBird_055,4.0,5.0,3.0,4.0,2.0,4.0,3.6666666666666665
LadyBird_056,3.0,4.0,3.0,2.0,,3.0,3.0
LadyBird_057,2.0,5.0,2.0,3.0,,4.0,3.2
LadyBird_066,4.0,4.0,3.0,2.0,4.0,5.0,3.6666666666666665
LadyBird_068,3.0,5.0,4.0,4.0,3.0,5.0,4.0
LadyBird_069,4.0,3.0,4.0,4.0,,4.0,3.8
LadyBird_077,4.0,4.0,4.0,3.0,,4.0,3.8
LadyBird_080,4.0,3.0,4.0,2.0,,4.0,3.4
LadyBird_081,4.0,4.0,4.0,2.0,3.0,4.0,3.5
LadyBird_088,5.0,3.0,4.0,2.0,3.0,4.0,3.5
LadyBird_092,4.0,5.0,5.0,2.0,2.0,3.0,3.5
LadyBird_093,2.0,4.0,4.0,3.0,4.0,3.0,3.3333333333333335
LadyBird_099,2.0,3.0,4.0,3.0,,3.0,3.0
LadyBird_104,3.0,5.0,4.0,3.0,,3.0,3.6
LadyBird_109,4.0,5.0,2.0,3.0,2.0,5.0,3.5
LadyBird_110,3.0,4.0,3.0,4.0,3.0,2.0,3.1666666666666665
TheBlindSide_000,4.0,3.0,5.0,3.0,,4.0,3.8
TheBlindSide_001,3.0,2.0,3.0,3.0,3.0,4.0,3.0
TheBlindSide_002,4.0,4.0,3.0,2.0,3.0,4.0,3.3333333333333335
TheBlindSide_003,4.0,4.0,3.0,2.0,,4.0,3.4
TheBlindSide_004,3.0,3.0,3.0,2.0,,4.0,3.0
TheBlindSide_005,2.0,4.0,4.0,4.0,4.0,4.0,3.6666666666666665
TheBlindSide_006,5.0,4.0,3.0,3.0,4.0,5.0,4.0
TheBlindSide_007,4.0,3.0,3.0,4.0,3.0,3.0,3.3333333333333335
TheBlindSide_008,4.0,3.0,3.0,2.0,3.0,3.0,3.0
TheBlindSide_009,4.0,2.0,3.0,3.0,,3.0,3.0
TheBlindSide_010,3.0,2.0,5.0,3.0,3.0,3.0,3.1666666666666665
TheBlindSide_011,4.0,4.0,3.0,3.0,3.0,4.0,3.5
TheBlindSide_012,4.0,3.0,3.0,2.0,3.0,4.0,3.1666666666666665
TheBlindSide_013,4.0,3.0,3.0,3.0,,3.0,3.2
TheBlindSide_014,3.0,4.0,2.0,4.0,,3.0,3.2
TheBlindSide_015,4.0,4.0,3.0,3.0,3.0,3.0,3.3333333333333335
TheBlindSide_016,3.0,5.0,2.0,2.0,4.0,3.0,3.1666666666666665
TheBlindSide_017,2.0,4.0,4.0,2.0,3.0,4.0,3.1666666666666665
TheBlindSide_018,3.0,4.0,4.0,2.0,3.0,4.0,3.3333333333333335
TheBlindSide_019,4.0,3.0,3.0,3.0,,4.0,3.4
TheBlindSide_020,4.0,3.0,3.0,2.0,,4.0,3.2
TheBlindSide_021,3.0,5.0,5.0,3.0,4.0,3.0,3.8333333333333335
TheBlindSide_022,5.0,4.0,4.0,3.0,3.0,4.0,3.8333333333333335
TheBlindSide_024,4.0,4.0,3.0,4.0,,5.0,4.0
TheBlindSide_025,4.0,4.0,4.0,2.0,3.0,3.0,3.3333333333333335
TheBlindSide_027,3.0,4.0,2.0,3.0,3.0,4.0,3.1666666666666665
TheBlindSide_028,4.0,4.0,3.0,3.0,,4.0,3.6
TheBlindSide_029,4.0,,3.0,2.0,2.0,3.0,2.8
