clip_id,p_value,e_value
AboutTime_002,4.333,3.52
AboutTime_003,4.167,4.2
AboutTime_005,3.5,3.36
AboutTime_006,3.833,4.2
AboutTime_008,3.167,3.0
AboutTime_010,3.5,3.68
AboutTime_011,3.667,4.52
AboutTime_012,3.667,3.64
AboutTime_013,2.833,3.8
AboutTime_014,3.667,4.2
AboutTime_015,3.667,3.28
AboutTime_016,4.0,3.8
AboutTime_018,4.0,3.68
AboutTime_019,4.167,4.12
AboutTime_020,3.333,3.68
AboutTime_021,3.167,3.8
AboutTime_022,4.833,4.36
AboutTime_038,3.667,3.48
AboutTime_042,4.5,4.36
AboutTime_052,4.167,3.68
AboutTime_056,4.5,4.36
AboutTime_068,4.167,3.8
AboutTime_069,4.5,4.76
AboutTime_071,4.5,4.64
AboutTime_073,4.5,4.36
AboutTime_085,3.333,3.68
AboutTime_086,4.333,3.68
AboutTime_095,4.167,4.52
AboutTime_130,4.0,4.0
AboutTime_132,4.167,3.8
AboutTime_133,4.0,4.52
AboutTime_135,4.667,4.64
AboutTime_136,4.667,4.88
Gifted_041,3.0,3.8
LadyBird_001,3.333,4.2
LadyBird_017,3.667,4.2
LadyBird_030,4.333,4.24
LadyBird_031,2.667,3.52
LadyBird_055,3.667,3.72
LadyBird_068,2.167,1.88
LadyBird_077,4.167,3.68
LadyBird_088,3.167,3.8
LadyBird_092,3.0,3.8
TheBlindSide_000,3.333,4.2
TheBlindSide_001,3.333,4.2
TheBlindSide_002,3.667,3.8
TheBlindSide_003,3.333,3.48
TheBlindSide_004,4.167,3.68
TheBlindSide_005,4.0,3.64
TheBlindSide_008,3.167,2.24
TheBlindSide_012,3.667,3.68
TheBlindSide_013,3.833,4.2
TheBlindSide_014,3.0,3.68
TheBlindSide_019,4.167,3.68
TheBlindSide_020,4.333,4.2
TheBlindSide_021,3.833,4.2
TheBlindSide_022,4.0,4.2
TheBlindSide_024,3.0,3.68
TheBlindSide_025,3.667,3.68
TheBlindSide_027,3.0,3.68
TheBlindSide_029,2.5,3.24
TheBlindSide_031,4.0,3.8
TheBlindSide_032,3.833,3.68
TheBlindSide_033,4.0,4.2
TheBlindSide_034,3.833,3.48
TheBlindSide_035,3.667,3.68
TheBlindSide_036,3.333,3.68
TheBlindSide_037,3.333,4.2
TheBlindSide_038,4.5,3.68
TheBlindSide_039,3.333,3.8
TheBlindSide_040,3.667,3.0
TheBlindSide_043,3.667,3.8
TheBlindSide_044,3.0,3.68
TheBlindSide_046,4.5,3.68
TheBlindSide_049,4.167,4.2
TheBlindSide_050,4.0,4.2
TheBlindSide_053,3.5,3.24
TheBlindSide_054,4.0,3.52
TheBlindSide_055,4.333,4.2
TheBlindSide_057,3.667,3.68
TheBlindSide_058,4.0,3.68
TheBlindSide_059,4.333,4.76
TheBlindSide_060,4.833,4.88
TheBlindSide_062,3.833,3.68
TheBlindSide_063,3.833,3.68
TheBlindSide_064,4.5,4.64
TheBlindSide_066,3.333,2.36
TheBlindSide_068,3.5,3.48
TheBlindSide_069,4.167,3.68
TheBlindSide_071,3.333,2.52
TheBlindSide_072,3.667,2.88
TheBlindSide_073,3.167,3.12
TheBlindSide_077,4.167,3.68
TheBlindSide_078,4.0,3.8
TheBlindSide_079,4.667,4.88
TheBlindSide_083,3.0,3.2
TheBlindSide_084,4.0,3.68
TheBlindSide_086,3.5,3.2
TheBlindSide_087,3.667,3.8
TheBlindSide_088,4.333,3.68
TheBlindSide_089,4.167,3.68
TheBlindSide_091,4.0,4.0
TheBlindSide_092,4.167,3.68
TheFaultInOurStars_002,4.5,4.36
TheFaultInOurStars_003,4.167,4.0
TheFaultInOurStars_004,3.833,4.2
TheFaultInOurStars_005,4.333,3.88
TheFaultInOurStars_006,3.667,3.48
TheFaultInOurStars_007,4.0,3.76
TheFaultInOurStars_008,2.833,3.76
TheFaultInOurStars_010,4.167,3.68
TheFaultInOurStars_011,3.833,3.68
TheFaultInOurStars_012,4.5,4.36
TheFaultInOurStars_013,4.167,4.52
TheFaultInOurStars_014,3.333,4.2
TheFaultInOurStars_015,3.5,3.64
TheFaultInOurStars_016,3.5,4.2
TheFaultInOurStars_018,4.333,3.72
TheFaultInOurStars_019,4.5,4.24
TheFaultInOurStars_020,4.333,4.36
TheFaultInOurStars_022,4.5,4.36
TheFaultInOurStars_023,4.333,4.64
TheFaultInOurStars_024,4.0,3.68
TheFaultInOurStars_025,4.5,3.68
TheFaultInOurStars_026,4.0,4.12
TheFaultInOurStars_027,4.667,4.0
TheFaultInOurStars_028,4.5,4.2
TheFaultInOurStars_030,4.5,4.76
TheFaultInOurStars_031,4.0,3.36
TheFaultInOurStars_032,2.833,3.48
TheFaultInOurStars_033,3.833,3.36
TheFaultInOurStars_034,4.333,4.36
TheFaultInOurStars_035,4.167,4.36
TheFaultInOurStars_036,4.5,4.52
TheFaultInOurStars_037,3.5,3.64
TheFaultInOurStars_040,4.833,4.52
TheFaultInOurStars_041,4.667,4.52
TheFaultInOurStars_043,4.5,3.8
TheFaultInOurStars_045,4.333,4.2
TheFaultInOurStars_048,4.5,4.76
TheFaultInOurStars_049,4.5,4.52
TheFaultInOurStars_050,4.667,4.52
TheFaultInOurStars_051,4.167,4.24
TheFaultInOurStars_054,4.5,3.68
TheFaultInOurStars_058,4.167,4.0
TheFaultInOurStars_061,2.167,1.24
TheFaultInOurStars_062,2.833,2.24
TheFaultInOurStars_063,3.667,3.68
TheFaultInOurStars_067,4.5,3.68
TheFaultInOurStars_069,3.333,2.36
TheFaultInOurStars_071,2.833,3.8
TheFaultInOurStars_074,3.167,2.36
TheFaultInOurStars_075,4.0,3.76
TheFaultInOurStars_076,4.167,3.64
TheSpectacularNow_023,3.167,3.52
TheTheoryOfEverything_003,3.333,4.2
TheTheoryOfEverything_005,3.833,3.8
TheTheoryOfEverything_016,4.5,4.52
TheTheoryOfEverything_022,4.167,4.2
TheTheoryOfEverything_037,3.333,4.2
TheTheoryOfEverything_039,2.167,1.88
TheTheoryOfEverything_041,2.667,2.24
TheTheoryOfEverything_042,2.5,3.48
TheTheoryOfEverything_048,3.5,3.68
TheTheoryOfEverything_054,4.0,3.88
TheTheoryOfEverything_057,4.0,4.2
